Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
3547002A	Mission	CONSTRUCTION	06-Dec-12	194	Demolish light industrial bldg and construct 194-unit PUD with commercial and 225 parking spaces.		Mixed Use	Mission Street	236	0	0	0	0	0	0	0	2003.0758	200710014208	10-Jul-03		65-X	Mission St NCT	10-Jul-03	Resident	-1	194	-63512	0	0	0	-63512	0	0	"1880 Mission St
(37.767068000000002, -122.420027)"
3547032	Mission	PL Approved	26-Jan-12	8	Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.		Mixed Use	UMU	236	0	0	0	0	0	0	0	2005.0233		26-May-05		45-X	UMU	26-May-05	Resident	-1	8	-2914	0	0	0	-2914	0	0	"49 Julian Av
(37.767434999999999, -122.420946)"
3548032	Mission	BP ISSUED	12-Dec-12	23	The proposed project is renovation and interior remodeling of an existing commercial building to residential units and commercial space. The project is proposing 38 residential units, 23 off-street parking spaces, and 2,800 square-feet of commercial space	ADAPTIVE RE-USE OF (E) 4 STORY CONCRETE FRAMED BUILDING. CHANGE OF USE FROM STORAGE TO MIXED US (PRI	Mixed Use	Mission Street	230	2800					2800		2010.0787	201012237367	21-Oct-10	23-Dec-10	40-X/65-X	Mission St NCT	21-Oct-10	Mixres	-1	23	-34895					-34895		"1875 Mission St
(37.767166000000003, -122.41969400000001)"
3507042	Downtown	PL FILED	08-Apr-09	165	THC/Citizens Housing (MOH) proposal for 165-du 100% affordable housing project, 15-story, w/ 18 parking spaces and 3,640-gsf retail at ground level.  Related to Addendum 2003.0262E EIR.		Commercial	C-3-G	608	3640	0	0	0	0	3640	0	2008.0553		08-Apr-09	24-Jun-09	150-S/200-S	C-3-G	08-Apr-09	Mixres	0	165	3640	0	0	0	0	3640	0	"1400 Mission St
(37.775274000000003, -122.415971)"
0221020	Northeast	CONSTRUCTION	02-Oct-12	3	Two-floor vertical addition of a residential unit and 2 parking spaces.	ADDITION OF 2 NEW FLOORS, 2 ONSITE PARKING SPACES, CONVERSION OF RESIDENTIAL DUPLEX INTO RESIDENTIAL	Residential	RM-3	341	0							2009.0906	200905077950	28-Sep-09	07-May-09	65-A	RM-3	07-May-09	Resident	-1	1	0							"34 Pleasant St
(37.793047000000001, -122.413365)"
0331001A	Downtown	PL Filed	04-May-09	7	Interior structural improvements and addition of 4 residential units on top of existing office building.		Mixed Use	RC-4	678	12460	12460						2009.0343		04-May-09		80-130-T	RC-4	04-May-09	Mixres	0	4	0			0				"231 Ellis St
(37.785117, -122.410011)"
3722027	Downtown	PL Approved	13-Jul-10	0	Expansion of SFMOMA to SE with 40,000-sf gallery wing at Natoma Street, acquisition and replacement of Heald College building on Howard Street with 62,000-sf new construction for back-of-house and admin functions, vacation of portion of Hunt Alley, and ac		Commercial	C-3-S	743	298378	0	298378					2009.0291		09-Apr-09		320-I/500-I	C-3-S	09-Apr-09	CIE	-1		66685	101710		-35025				"151 Third St
(37.785549000000003, -122.40093899999999)"
1533017	Richmond	BP Filed	28-May-09	2		THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F	Residential	RH-2	284	0								200905289263		28-May-09	40-X	RH-2	28-May-09	Resident	0	1	0							"473 11th Av
(37.779432, -122.46971600000001)"
0185029	Northeast	BP Filed	31-Oct-12	9		CONVERT WAREHOUSE BLDG TO 9 UNIT RESID, 21 OFF-STREET PARKING SPACE, RETAINS EAST, SOUTH & WEST WALL	Residential	RM-1	345	0								201210313210		31-Oct-12	40-X	RM-1	31-Oct-12	Resident	0	9	3999			3999				"1469 Pacific Av
(37.795180999999999, -122.419434)"
0192014	Northeast	PL Approved	12-Jul-12	0	Hospital Replacement and expansion, adding 68,010 gsf total, building new seven-story acute care hospital, moving medical office building uses to existing five-story hospital, and demolishing existing Chinese Hospital and Chinese Hospital Garage (MOB and 		Mixed Use	CRNC	346	140990		140990					2008.0762		26-Jun-08		65-N	CRNC	26-Jun-08	CIE	-1	0	68010	68010						"835-845 Jackson St
(37.795639000000001, -122.40885400000001)"
0201012	Northeast	PL Approved	19-Jun-12	170	The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential u		Mixed Use	RC-4	814	32100	1500	0	0	0	30600	0	2007.003		04-Dec-07		84-E	RC-4	04-Dec-07	Mixres	-1	170	32100	0	0	1500	0	30600	0	"8 Washington Street
(37.796691000000003, -122.39575600000001)"
0074001	Northeast	BP ISSUED	29-Mar-12	0	Library Bond project combined with Park Plan.  Project includes new library on the lot at the corner of Columbus & Lombard Streets (0074/001), demolition of existing branch library, and plan for reorganization and improvements to Joe DiMaggio Playground (	ERECT 2-STORY PUBLIC BRANCH LIBRARY	Mixed Use	NO BEACH	381	8900		8900			0		2008.0968	201109235397	01-Sep-09	23-Sep-11	40-X	NO BEACH	01-Sep-09	CIE	-1	0	3563	3563				0		"701 Lombard St
(37.802762999999999, -122.413076)"
0077004	Northeast	BP Filed	31-Dec-08	3		CONVERT ONE (1) UNIT TO THREE (3) UNIT CONDOS & ADD TWO (2) NEW STORIES. REMODEL (E) BLDG INCLUDING 	Residential	RH-3	382	0	0	0	0	0	0	0		200812319407		31-Dec-08	40-X	RH-3	31-Dec-08	Resident	0	2	0	0	0	0	0	0	0	"30 Edith St
(37.802985999999997, -122.408231)"
0025017	Northeast	BP APPROVED	10-Dec-12	1	Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 12	TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.	Commercial	C-2	847	5589	0	0	0	0	5589	0	2006.0441	201011295645	07-Nov-06	29-Nov-10	40-X	C-2	07-Nov-06	Mixres	-1	1	5589	0	0	0	0	5589	0	"721 Beach St
(37.806807999999997, -122.420554)"
0028014	Northeast	PL Approved	08-Jun-11	20	Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.		Commercial	C-2	832	6500	0				6500		2008.0723		29-Jul-09		40-X	C-2	29-Jul-09	Mixres	-1	20	-9352			-15852		6500		"1255- 1275 Columbus Av
(37.805689999999998, -122.418199)"
0041039	Northeast	BP Filed	17-Dec-07	2	Variance from parking requirements to allow the addition of two stories with four dwelling units to an existing one-story commercial building, with no parking to be provided. 	Remodel (E) restaurant #1 at ground floor and  convert (E) restaurant #2 space to two car garage. Ad	Commercial	C-2	833	2251					2251		2008.121	200712170659	20-Oct-08	17-Dec-07	40-X	C-2	17-Dec-07	Mixres	-1	2	-500					-500		"377 Bay St
(37.805557, -122.413093)"
0069011	Northeast	CONSTRUCTION	15-Nov-12	2	Construction of a new 4-story, 2-unit residential building.	TO ERECT A NEW FOUR STORY TWO FAMILY DWELLING UNIT.	Residential	RH-3	849	0							2009.0907	200809262740	28-Sep-09	26-Sep-08	40-X	RH-3	26-Sep-08	Resident	-1	1	0							"2626 Larkin St
(37.802093999999997, -122.421117)"
0101004	Northeast	BP APPROVED	02-Nov-12	18	The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.	PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH 	Mixed Use	NO BEACH	376	3525					3525		2007.1117	200908124639	15-Dec-08	12-Aug-09	40-X	NO BEACH	15-Dec-08	Mixres	-1	18	-11795					-11795		"1741 Powell St
(37.800477999999998, -122.411045)"
0119025	Northeast	BP ISSUED	13-Jul-11	3	Add dwelling unit on ground floor with no expansion of the building	SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB	Residential	RM-2	371	0							2010.0786	200709193055	08-Sep-10	19-Sep-07	40-X	RM-2	19-Sep-07	Resident	-1	1	0							"1812 Taylor St
(37.799112999999998, -122.413802)"
0133006A	Northeast	PL Approved	26-Sep-08	2	The proposal is construction of a new three-story single-family house behind an existing one-story single family 850-square-foot house at 1131 Montgomery Street.  THe original foundation of the existing house would be replaced, restructured, excavated and		Residential	RH-3	372	0	0	0	0	0	0	0	2007.0201		23-Feb-07		40-X	RH-3	23-Feb-07	Resident	-1	1	0	0	0	0	0	0	0	"1131 Montgomery St
(37.799467, -122.40427)"
0133012	Northeast	CONSTRUCTION	16-Nov-12	3	RELOCATION AND UPGRADE OF EGRESS STAIRS IN REAR YARD.  UPGRADE HOUSE KEEPING UNIT INTO 3RD DWELLING UNIT	Seismic reinforcement front and rear, partial relocation of (e) interior stairway. Construction of (	Residential	RH-3	372	0							2008.0221	200712281517	25-Feb-08	28-Dec-07	40-X	RH-3	28-Dec-07	Resident	-1	1	0							"414 Vallejo St
(37.799224000000002, -122.40486900000001)"
0165021	Northeast	BP ISSUED	09-Aug-12	75	Broadway/Sansome Family Housing: 100% affordable 50-du residential mid-rise bldg with 5,000-sf retail on former Fwy parcel, 50-70' deep lot entire south side of Broadway between Sansome and Battery Streets, replacing surface parking and portion Stevens Al	ERECT A FIVE STORY RESIDENTIAL & COMMERCIAL BUILDING	Commercial	C-2	826	5000					5000		2008.0797	201105166063	17-Jun-10	16-May-11	65-A	C-2	17-Jun-10	Mixres	-1	75	5000					5000		"235 Broadway
(37.798409999999997, -122.401464)"
0165022	Northeast	BP Filed	01-Dec-08	0	Two story penthouse addition to three-story office building, for office use, new three-story bldg of 9,000-gsf office over retail; 24,870-sf additions to historic Musto Bldg.	ALTERNATION TO EXISTING BUILD, NEW 2 STORY VERTICAL ADDITION ON THE EXISTING BUILD, 3 STORY HORIZONT	Commercial	C-2	826	59700	56700				3000		2007.146	200812017534	18-Feb-09	01-Dec-08	65-A	C-2	01-Dec-08	MIPS	0	0	27870			24870		3000		"717 Battery St
(37.797868000000001, -122.401084)"
0238002	Downtown	PL Filed	12-Sep-12	0	Vertical addition of 4 floors of office to an existing 8 story office building.  The existing rooftop penthouse will be removed.  Existing basement parking and ground-floor retail uses would remain.  Publicly accessible open space would be provided at a r		Commercial	C-3-O	945	177255	165843				11412		2012.0605		12-Sep-12		400-S	C-3-O	12-Sep-12	MIPS	0	0	58582			58582		0		"300 California St
(37.793329999999997, -122.400114)"
0250001	Northeast	PL Filed	20-Oct-08	95	Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.		Neighborhood Commercial	POLK	334	31000					31000		2008.07		13-Jun-08		65-A	POLK	13-Jun-08	Mixres	0	95	-19056	0	0	0	0	-19056	0	"1401 California St
(37.790855999999998, -122.417554)"
0254080	Northeast	BP ISSUED	12-Apr-10	15		CONVERT AND RENOVATE THE EXTG PARTIAL BASEMENT, 1ST AND 2ND FLOOR LEVEL COMMERCIAL SPACE INTO 2 RESI	Residential	RM-4	761	0								200809252623		25-Sep-08	65-A	RM-4	25-Sep-08	Resident	-1	2	0							"1001 California St
(37.791747999999998, -122.410883)"
0258033	Downtown	PL APPROVED	15-Mar-01	0	On a vacant 13,800-sq.-ft. site, construction of a five-story, 61-ft. high office building w/ 11,220 sq. ft. of ground floor retail, 45,610 sq. ft. of office space and one subsurface level of parking w/ 39 spaces, and under the basement parking level woul		Commercial	C-3-O	785	56830	45610	0	0	0	11220	0	2000.539		29-Nov-00		300-S	C-3-O	29-Nov-00	MIPS	-1		56830	0	0	45610	0	11220	0	"500 Pine St
(37.791701000000003, -122.404641)"
0336017	Downtown	PL Approved	10-Apr-08	65	Partial interior demo of existing 2-story office/retail structure to insert an additional floor level & construct an 1-story vertial addition for a total of 4-stories to house 65 dwelling units.		Mixed Use	RC-4	300	0	0				0		2005.0762		16-Oct-06		80-T	RC-4	16-Oct-06	Resident	-1	65	-26640			-24240		-2400		"245 Hyde St
(37.782980000000002, -122.415949)"
0269028	Downtown	BP Filed	07-Aug-07	0	Demolition of buildings, except for the Mining Exchange Bldg. at 350 Bush St., which would be converted to retail use.  Then new construction of a 19-story office bldg. w/ 20,400 sq. ft. of retail space in two galleria levels, 344,540 sq. ft. of office sp	ERECT 20 STORIES 3 BASEMENTS OFFICE BLDG.	Commercial	C-3-O	789	347300	340000	0	0	0	7300	0	2000.541	200708078938	10-Jan-01		250-S	C-3-O	10-Jan-01	MIPS	-1	0	347300	0	0	340000	0	7300	0	"350 Bush St
(37.790996, -122.403221)"
0500015	Northeast	CONSTRUCTION	22-Oct-12	4	Vacant lot. New construction of 4-unit, 5-story residential building with basement.	ERECT 5 STORIES, 4 UNITS, TYPE 3, RESIDENTIAL BUILDING.	Residential	RH-3	817	0							2009.1029	201012227210	17-Nov-09	22-Dec-10	40-X	RH-3	17-Nov-09	Resident	-1	4	0							"1268-1270 Lombard St
(37.801743999999999, -122.42234000000001)"
0503015	Marina	CONSTRUCTION	11-Mar-09	2		CREATE NEW 2-STORY RESIDENCE ABOVE EXISTING.REMODEL EXIST RES & GARAGE.NEW REAR ADDITION&2-STORY....	Mixed Use	NC-3	378	0	0	0	0	0	0	0		200501042534		04-Jan-05	40-X	NC-3	04-Jan-05	Resident	-1	1	0	0	0	0	0	0	0	"2842 Franklin St
(37.800645000000003, -122.425978)"
0510029	Marina	BP REINSTATED	27-Aug-12	3		TO COMPLY WITH NOV#200665975 TO ESTABLISH LEGALITY OF UNITS # OF (3) TOTAL, TO ESTABLISH LEGALITY OF	Mixed Use	NC-3	815	0								200705211788		21-May-07	40-X	NC-3	21-May-07	Resident	-1	1	0							"2157 Lombard St
(37.799599999999998, -122.43693399999999)"
0279011	Downtown	PL Approved	28-May-09	35	The project site is current vacant and used as a 20-space parking lot. The proposed project would construct 35 dwelling units and 1,339 sq. ft. of ground floor commercial space, and 13 parking spaces. The new structure would be approximately 51,950 sq. ft		Mixed Use	RC-4	322	1339	0	0	0	0	1339	0	2006.0431		30-Apr-09		130-E	RC-4	30-Apr-09	Mixres	-1	35	1339	0	0	0	0	1339	0	"1080 Sutter St
(37.788156000000001, -122.41807799999999)"
0281003	Downtown	PL Filed	24-Aug-08	27	The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.  		Mixed Use	RC-4	734	1176					1176		2007.0392		15-May-07		80-A	RC-4	15-May-07	Mixres	0	27	1176					1176		"832 Sutter St
(37.788652999999996, -122.414151)"
0287013	Downtown	PL Approved	06-Oct-11	45	Extension of entitlements for previously approved project (Case No. 2004.1245EKVX) to demolish 272 and 292 Sutter Street containing 35,600-gsf retail and construct a 12-story, 113,526-gsf residential mixed-use structure in K-M-M-S Conservation District wi		Commercial	C-3-R	932	16000					16000		2011.0567		01-Jun-11		80-130-F	C-3-R	01-Jun-11	Mixres	-1	45	-19600					-19600		"300 Grant Ave.
(37.789703000000003, -122.40534100000001)"
0297009	Downtown	CONSTRUCTION	17-Jul-12	17		Revision to previous approved permits, 2008/0429/0902, 2007/1224/1222, 2005/0824/1157, 2004/0917/449	Commercial	C-3-G	736	0	0	0	0	0	0	0		200912243842		24-Dec-09	80-130-F	C-3-G	24-Dec-09	Resident	-1	1	-12178	0	0	-12178	0	0	0	"693 Sutter St
(37.788708, -122.41159399999999)"
0303014	Downtown	BP ISSUED	20-Jul-12	50	9  new construction	Vacant ground floor space to be converted to 4 dwelling units on existin builidng. Work to include remodel at 2nd floor manager's apt to raise floor for headroom below. Convert tourist hotel to sro residental hotel.	Mixed Use	RC-4	707	0						0	2007.1056	200712311569		31-Dec-07	80-T	RC-4	31-Dec-07	Resident	-1	4	-15764						-15764	"875 Post St
(37.787177, -122.416104)"
0317005	Downtown	BP Filed	05-Aug-08	9	Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSUD	CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS	Mixed Use	RC-4	711	0	0						2009.0258	200808058406	01-Apr-09	05-Aug-08	80-130-T	RC-4	05-Aug-08	Resident	0	9	-9709			-9709	0	0	0	"436 Ofarrell St
(37.786031000000001, -122.411993)"
0318020	Downtown	PL FILED	15-Aug-08	46	"Demolition of a three-story, 19,900-sf office building and construction of a 14- story, 40-unit residential building with 5,945 sf of retail and 5,945 sf of office use.  No off-street parking is proposed.  ""V"" for off-street parking ""C"" for height over 40"		Mixed Use	RC-4	711	5945	0	0	0	0	5945	0	2008.0981		15-Aug-08		80-130-T	RC-4	15-Aug-08	Mixres	0	46	-8010	0	0	-13955	0	5945	0	"651 Geary St
(37.786515000000001, -122.41393100000001)"
0323015	Downtown	CONSTRUCTION	01-Jun-12	151	Variances for off-street parking for zero spaces where 21 parking spaces would otherwise be required; and variance for open space for no usable open space where approx. 975 sq. ft. would otherwise be required.  Project is to convert 82 tourist hotel units		Mixed Use	RC-4	702	0						0	2008.0392	200811076130	02-Apr-08		80-T	RC-4	02-Apr-08	Resident	-1	60	-65926	0	0	0	0	0	-65926	"472 Ellis St
(37.784875, -122.41393100000001)"
0327011	Downtown	PL Approved	25-Mar-10	0	Extension of entitlements (Case Nos. 200.383CX and 2004.1047CX) for demolition of an existing surface parking lot and construction of an 11-story, 156 room hotel with ground floor retail.		Commercial	C-3-R	750	79054					2500	76554	2009.1105		02-Dec-09		80-130-F	C-3-R	02-Dec-09	Visitor	-1		79054					2500	76554	"72 Ellis St
(37.785691, -122.40738399999999)"
0331010	Downtown	PL Approved	26-Mar-09	170	100% Affordable housing, approx 170-u over 15,000 retail. TNDC.		Mixed Use	RC-4	678	15000					15000		2007.1342		30-Jul-08		80-130-T	RC-4	30-Jul-08	Mixres	-1	170	15000					15000		"168 Eddy St
(37.784368999999998, -122.410403)"
0818048	Market Octavia	BP ISSUED	04-Oct-12	2		construct new 4-story, 2-unit building.	Residential	RTO	268	0								200912304034		30-Dec-09	40-X	RTO	30-Dec-09	Resident	-1	2	0							"447 Linden St
(37.775965900000003, -122.42527699999999)"
0339006	Downtown	CONSTRUCTION	14-Feb-11	9	"convert vacant commercial building (retail / bathhouse) to up to 28 dwelling units (needs ""EE"")"	CONVERSION OF (E) 3 STORY OVER BASEMENT BLDG. TO A 5 STORY OVER BASEMENT BLDG. WITH G/F OFFICE PSACE, 9 RESIDENTIAL UNITS AT UPPER FLOORS AND PARKING AT BASEMENT. THE HISTORICAL FACADE AT TURK STREET TO BE RESTORED WITH NEW G/F STORE FRONT AND GARAGE DOOR	Mixed Use	RC-4	304	4999	0	0	0	0	4999	0	2005.031	200605232239	30-Mar-05	23-May-06	80-120-T	RC-4	30-Mar-05	Mixres	-1	9	-6116	0	0	0	0	-6116	0	"130 Turk St
(37.783270000000002, -122.41136)"
0343014	Downtown	BP REINSTATED	10-Mar-09	32	Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.	ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING	Mixed Use	RC-4	296	3060	0	0	0	0	3060	0	2005.0267	200608230323	16-Mar-05	23-Aug-06	80-120-T	RC-4	16-Mar-05	Mixres	-1	32	3060	0	0	0	0	3060	0	"181 Turk St
(37.782919999999997, -122.41196600000001)"
0349001	Downtown	BP ISSUED	24-Aug-11	90	Ten story mixed-use affordable housing project; Request for a Conditional Use authorization for a mixed-use building exceeding 40 feet in an R District, for future philanthropic uses above the ground floor, and exceptions to parking, rear yard, upper stor	ERECT 10 STORIES, 90 DWELLING UNITS, 1 BASEMENT, DINING, SOCIAL SERVICES, AFFORDABLE APARTMENTS BUIL	Mixed Use	RC-4	296	0							2005.0869	201012156753		15-Dec-10	80-120-T	RC-4	15-Dec-10	Resident	-1	90	12312	20000		-7688				"101 Golden Gate Av
(37.781936000000002, -122.412374)"
0491020	Marina	BP Filed	17-Jan-08	1		Interior remodel of (E) second floor. Convert (E) office use to residential (1 unit).	Mixed Use	NC-2	815	0								200801172733		17-Jan-08	40-X	NC-2	17-Jan-08	Resident	0	1	0							"3342 Steiner St
(37.800086, -122.4376)"
0711031	Western Addition	PL Approved	06-Aug-09	0	New theater within courtyard of Sacred Heart Cathedral Preparatory School, within the St. Mary's Cathedral complex, 11,513-sf of new construction, interior alterations.		Residential	RM-4	681	65282		65282					2008.1286		26-Mar-09		80-B/240-E	RM-4	26-Mar-09	CIE	-1	0	11513	11513						"1100 Ellis St
(37.783489000000003, -122.42465799999999)"
