PROJECT_TYPE	BLKLOT	NAMEADDR	alias	BESTDATE	BESTSTAT	Entitlement	UNITS	UNITSNET	PLN_CASENO	PLN_DESC	BP_APPLNO	PROPUSE	BP_DESC	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	RET	MIPS	CIE	MED	PDR	VISIT	NET_GSF	NET_CIE	NET_MED	NET_MIPS	NET_PDR	NET_RET	NET_VISIT	FILEDATE	NEIGHBORHOOD	ZONING_GEN	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	APPLICANT	CONTACT	Geography
Resident	3736078A	57 TEHAMA ST		04/30/2014	BP FILED	false	418	418			201404304554	APARTMENTS	TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Financial District	Commercial	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	360-S	Birmingha	During As	(37.787039, -122.396591)
Mixres	3756003	350 08TH ST		03/17/2015	CONSTRUCTION	true	416	416	2007.1035	Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf	201307303137	APARTMENTS	TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.	0	0	61700	53000	0	0	0	8700	0	56700	0	0	0	3700	53000	0	09/07/2007	South of Market	Mixed Use	WMUG	WSOMA MIXED USE-GENERAL	55/65-X	Amir Massih	Amir Massih	(37.773693999999999, -122.40965799999999)
Mixres	0814020	100 VAN NESS AV		03/30/2015	CONSTRUCTION	true	399	399	2012.0032	100 Van Ness is an existing 29 story office building that is currently 96% vacant.  The proposal is to change the use from office to multi-family residential, renovate the interior of the building to create 399 multi-family residential units, and re-skin	201208026344	APARTMENTS	CONVERT (E) OFFICE BUILDING INT 399 RESIDENTIAL APARTMENTS GROUND FLOOR RETAIL AND ROOF DECK. MAINTA	0	0	1820	1820	0	0	0	0	0	-423740	0	0	-421005	0	-2735	0	03/30/2012	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120/200-R-2	Marc Babsin	Marc Babsin	(37.776427900000002, -122.4194191)
Resident	3736074	41 TEHAMA ST		11/14/2013	BP FILED	true	398	398	2013.0256	The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p	201404304554	APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/08/2013	Financial District	Commercial	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	360-S	Nancy Clark	Nancy Clark	(37.787269000000002, -122.39631)
Mixres	3949001	1200 17TH STREET		04/04/2012	PL FILED	false	395	395	2011.1300	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;				0	0	463149	24468	438681	0	0	0	0	358149	0	0	438681	-105000	24468	0	04/04/2012	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	48-X	Attn: Indrajit Obeysekere	Jay Murphy	(37.765577999999998, -122.395421)
Resident	8710007	718 LONG BRIDGE ST		03/30/2015	CONSTRUCTION	true	263	263			201212246822	APARTMENTS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/24/2012	South of Market	Mixed Use	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	MB-RA			(37.773372999999999, -122.3915696)
Mixres	3748006	340 FREMONT ST		08/03/2012	BP FILED	true	355	355	2004.0552	Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.		APARTMENTS	TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.	0	0	2350	2350	0	0	0	0	0	-42650	0	0	-45000	0	2350	0	05/12/2006	South of Market	High Density Residential	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	85/250-R	Oyster Development Corp.	Andrew Junius	(37.787363999999997, -122.39304)
Resident	3553052	1979 MISSION ST		12/17/2013	BP FILED	false	351	351	2013.1543	Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements	201312174382	APARTMENTS	ERECT 10-STORY MIXED-USE NEW BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Neighborhood Commercial	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	105-E			(37.765355999999997, -122.419702)
Resident	4105009	800 INDIANA STREET		10/10/2013	PL FILED	false	326	326	2011.1374	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.				0	0	0	0	0	0	0	0	0	-78240	0	0	0	-78240	0	0	10/10/2013	Potrero Hill	Public	P	PUBLIC	58-X	Lou Vasquez	Joe Kirchofer	(37.760328999999999, -122.39128100000001)
Mixres	0342001	950 MARKET ST		11/19/2013	PL FILED	false	316	305	2013.1049	The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim				0	0	229000	15000	24000	0	0	0	190000	169834	0	0	24000	0	-6321	152155	11/19/2013	South of Market	Commercial	C-3-R	DOWNTOWN- RETAIL	120-X	Michelle  Lin	Michelle  Lin	(37.783479, -122.40861)
Resident	3749059	45 LANSING ST		03/26/2015	CONSTRUCTION	true	305	305	2004.0481	Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.	201009140800	APARTMENTS	TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.	0	0	1000	1000	0	0	0	0	0	-14000	0	0	-15000	0	1000	0	05/19/2004	South of Market	High Density Residential	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	45/65-R	Ezra Mersey	James A. Reuben	(37.786042000000002, -122.39385900000001)
Mixres	0350003	1066 MARKET ST		06/18/2014	PL FILED	false	304	304	2013.1753	The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim				0	0	4540	4540	0	0	0	0	0	-526	0	0	0	0	-526	0	06/18/2014	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120-X	Thomas Hart	Thomas Hart	(37.781798999999999, -122.411742)
Mixres	4172022	1201-1225 TENNESSEE STREET		04/01/2015	BP ISSUED	true	300	300	2012.0493	Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.	201312234917	APARTMENTS	ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.	0	0	5078	5078	0	0	0	0	0	-139594	0	0	0	-79336	-60258	0	04/11/2013	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	68-X	Morton Rothman	Jesse Herzog	(37.755927999999997, -122.388603)
Mixres	3708006	50 01ST ST		06/04/2014	PL FILED	false	292	292	2006.1523	The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec				0	0	1970000	310000	1050000	0	0	0	610000	1704000	0	0	806000	0	288000	610000	12/21/2006	Financial District	Commercial	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	550-S	Mark Solit	Joel Yodowitz	(37.790324499999997, -122.3982439)
Resident	3954016	1301 - 16TH STREET		09/16/2013	PL FILED	false	276	276	2013.0698	The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The				0	0	0	0	0	0	0	0	0	-38600	0	0	0	-38600	0	0	09/16/2013	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	68-X	William Mollard	William Mollard	(37.766229000000003, -122.399781)
Resident	4022001	2070 BRYANT ST		06/12/2014	PL FILED	false	274	274	2013.0677	The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr				0	0	15000	15000	0	0	0	0	0	-67000	0	0	-5000	-47000	-15000	0	06/12/2014	Mission	Mixed Use	UMU	URBAN MIXED USE	68-X	Nick Podell	Linsey Perlov	(37.760899999999999, -122.410038)
Resident	5431A001	5800 03RD ST		03/30/2015	CONSTRUCTION	true	271	271	2012.0045	The proposed project would construct buildings #3 and #4 as a modification to the previously approved project (case # 2003.0672CE). Building #3 will construct 150 market rate residential units with 141 at-grade parking spaces. Building #4 would construct	201211073775	APARTMENTS	ERECT 4-STORY, TYPE 5, 121 DWELLING UNITS BUILDING.	0	30	0	0	0	0	0	0	0	13000	0	0	0	13000	0	0		Bayview	Industrial	M-1	LIGHT INDUSTRIAL	65-J	Robert Kagan	Jared Eigerman, Esq,	(37.725430000000003, -122.39448299999999)
Mixres	0647007	1634-1690 PINE ST		07/17/2012	PL FILED	false	260	260	2011.1306	1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm				0	0	4886	4886	0	0	0	0	0	6666	0	0	0	0	6666	0	09/28/2007	Western Addition	Mixed Use	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	130-V	AIS	AIS	(37.789546399999999, -122.42276149999999)
Resident	4167011	1395 22ND ST		01/13/2014	PL FILED	false	251	251	2011.0671	The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/13/2014	Potrero Hill	Mixed Use	UMU	URBAN MIXED USE	40-X	Redmond Lyons	Redmond Lyons	(37.757528999999998, -122.394661)
Mixres	3733008	250 4TH ST		09/12/2014	BP ISSUED	true	220	220	2011.0038	The project proposes to demolish an existing three-story office building and construct a hotel building with 215-guest bedrooms that would be 93,460 square-feet, and 119-feet tall.	201306280802	TOURIST HOTEL/MOTEL	TO ERECT 11 STORIES, 1 BASEMENT, 208 UNITS HOTEL, COMMERCIAL & RESTAURANT BUILDING	0	0	83865	5865	0	0	0	0	78000	52665	0	0	-31200	0	5865	78000	01/14/2011	South of Market	Commercial	C-3-S	DOWNTOWN SUPPORT	130-L	Michael Stanton	Michael Stanton	(37.782449, -122.401973)
Resident	7331003	800 BROTHERHOOD WAY		09/11/2012	CONSTRUCTION	true	210	210	2003.0536	The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit b	201209119428	2 FAMILY DWELLING		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/23/2003	Lakeshore	Residential	PM-OS	PARKMERCED-OPEN SPACE	40-OS-PM	Steve Riter,	Mission Development Group	(37.714747000000003, -122.47841)
Resident	3703059	1095 MARKET ST		09/11/2014	BP FILED	false	202	202			201409116118	TOURIST HOTEL/MOTEL	CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		South of Market	Commercial	C-3-G	DOWNTOWN- GENERAL	90-X			(37.780520000000003, -122.412273)
Resident	0857001A	218 BUCHANAN ST		03/19/2015	CONSTRUCTION	true	191	191	2004.0773		201209059006	APARTMENTS	BLDG 2 - ERECT 6 STORY, 2 BASEMENT, 191 DWELLING UNITS, TYPE 1A, NEW BUILDING. (AKA: 68, 88 HERMAN STREET AND 155 LAGUNA STREET).	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	40-X			(37.772350000000003, -122.42627899999999)
Resident	3507039	1420 MISSION ST		03/03/2015	CONSTRUCTION	true	190	190	2011.1043	New high rise residential building with approximately 190 dwelling units and a podium courtyard, parking, retail, residential entrance and utility spaces will be located on the ground floor.	201212216752	APARTMENTS	ERECT 15-STORY, 190 DWELLING UNITS, TYPE 1, NEW BUILDING.	190	190	12250	12250	0	0	0	0	0	12250	0	0	0	0	12250	0		South of Market	Commercial	C-3-G	DOWNTOWN- GENERAL	200-S/150-S			(37.775094600000003, -122.4162006)
Mixres	0350002	1028 MARKET ST		04/29/2014	PL FILED	false	186	186	2014.0241	The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t		CLUB		0	0	9675	9675	0	0	0	0	0	9675	0	0	0	0	9675	0	04/29/2014	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120-X	Sally Maxwell	Sally Maxwell	(37.781883000000001, -122.411323)
Mixres	3741031	75 HOWARD ST		01/13/2012	PL FILED	false	186	186	2011.1122	Proposes to demolish the existing 8 -story parking garage (containing 550 parking spaces). The project would construct a residential bldg. containing 175 residential units and a below-grade parking garage. The parking garage would contain accessory parki				0	0	17900	17900	0	0	0	0	0	17900	0	0	0	0	17900	0	01/13/2012	Financial District	Commercial	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	200-S	Jim Abrams	Jim Abrams	(37.791558000000002, -122.391672)
Mixres	3706093	706 MISSION ST		07/31/2013	PL APPROVED	true	185	185	2008.1084	The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i				0	0	174400	174400	0	0	0	0	0	25570	0	0	-119330	0	144900	0	10/26/2012	Financial District	Commercial	C-3-R	DOWNTOWN- RETAIL	400-I	Sean Jeffries	Sean Jeffries	(37.786009900000003, -122.40253869999999)
Mixres	0831023	MARKET OCTAVIA - PARCEL P		12/31/2014	CONSTRUCTION	true	182	182	2011.0744	Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.	201210051462	APARTMENTS	TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.	0	0	3897	3897	0	0	0	0	0	3897	0	0	0	0	3897	0	08/03/2011	Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X	Meg Spriggs	Meg Spriggs	(37.774762299999999, -122.4259404)
Resident	3732150	240 05TH ST		08/27/2012	BP ISSUED	true	182	182			201203196326	APARTMENTS	SHORING DURING CONSTRUCTION EXCAVATION. NEW CONSTRUCTION UNDER SEPARATE APPLN #201106017202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		South of Market	Mixed Use	MUR	MIXED USE-RESIDENTIAL	85-X			(37.780956799999998, -122.4042771)
Mixres	0201012	8 WASHINGTON STREET		06/19/2012	PL APPROVED	true	170	170	2007.0030	The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential				0	0	32100	30600	1500	0	0	0	0	32100	0	0	1500	0	30600	0	12/04/2007	Financial District	Commercial	C-2	COMMUNITY BUSINESS	84-E	Hamilton	Hamilton	(37.795891599999997, -122.4005452)
Mixres	3702047	1125 MARKET ST		12/18/2013	PL FILED	false	164	164	2013.0511	Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.				0	0	3005	3005	0	0	0	0	0	3005	0	0	0	0	3005	0	12/18/2013	South of Market	Commercial	C-3-G	DOWNTOWN- GENERAL	120-X	Maritz Pr	Patri Mer	(37.779755999999999, -122.412736)
Mixres	0811002	101 POLK ST		03/31/2015	CONSTRUCTION	true	162	162	2011.0702	The proposed project is the construction of a 14 story, 163 unit residential building with 52 subgrade parking spaces on an existing surface parking lot.	201307051190	APARTMENTS	ERECT 13 STORIES, 162 DWELLING UNITS, WITH PARKING AND OFFICE BUILDING.	0	0	523	523	0	0	0	0	0	523	0	0	0	0	523	0	04/13/2012	Downtown/Civic Center	Public	P	PUBLIC	120-X	Emerald Fund, Inc.	Marc Babsin	(37.777539900000001, -122.4179975)
Mixres	3509043	1321 MISSION STREET	104 9th Street	03/31/2015	CONSTRUCTION	true	160	160	2011.0312	To demolish existing building and construct a nex mixed-use building of 120 feet in height, 11 stories, with 180 dwelling units, over 4,400 sf ground level commercial and a basement in a C-3-S zoning district. The project would provide one car-share spac	201301319232	APARTMENTS	TO ERECT 160 UNITS, 11 STORIES WITH BASEMENT MIX USE BUILDING.	10	10	5311	5311	0	0	0	0	0	-7907	0	0	0	0	-7907	0	09/29/2011	South of Market	Commercial	C-3-S	DOWNTOWN SUPPORT	55-X	1985 Shelley Living Trust	William Mollard	(37.775904799999999, -122.41496650000001)
Mixres	3510001	1415 MISSION ST		04/01/2015	CONSTRUCTION	true	156	156	2005.0540	Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.	200810315586	APARTMENTS	CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE	0	0	4780	2350	2430	0	0	0	0	300	0	0	2430	-4480	2350	0	08/27/2009	South of Market	Commercial	C-3-G	DOWNTOWN- GENERAL	130-L	Charles J. Higley	Charles J. Higley	(37.774896499999997, -122.4159124)
Resident	0330004	33 POWELL ST		10/01/2014	BP FILED	false	155	17			201410017815	TOURIST HOTEL/MOTEL	UPGRADE THROUGHOUT. REMODEL BASEMENT, GROUND FLOOR LOBBY & MEZZANINE. REMODEL HOTEL ROOMS & INCREASE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Downtown/Civic Center	Commercial	C-3-R	DOWNTOWN- RETAIL	80-130-F			(37.784885000700001, -122.40814882399999)
Mixres	0340002	19-25 MASON ST & 2-16 TURK ST		03/04/2014	PL APPROVED	true	155	155	2012.0678	Development of the two adjoining parking lots on either side of The Metropolis Hotel. The Metropolis will stay in place and continue as a hotel. The schematic design is to replace the existing surface parking lot with a residential development, including				0	0	2825	2825	0	0	0	0	0	2825	0	0	0	0	2825	0	08/14/2012	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120-X	John Kevlin	John Kevlin	(37.783439000000001, -122.4091452)
