PROJECT_TYPE	BLKLOT	NAMEADDR	ENTITLED	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLE_NET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANT_NET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	YEAR_	QTR	YEAR_QTR	PD	SD	PLANAREA	PDA	Location 1
Resident	7029A014	10 RESTANI WY	FALSE	BP FILED	11/18/2016 12:00:00 AM	1	1	0	0						"TO ERECT 2 STORY, NO BASEMENT, TYPE VB, SINGLE FAMILY DWELLING.
** MAHER: N/A **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TKENNEDY				2017	Q4	2017_Q4	12 - South Central	11		Mission-San Jose Corridor	(37.71770468040, -122.44298096400)
Mixres	3506004	10 SOUTH VAN NESS AV	FALSE	PL FILED	04/11/2016 12:00:00 AM	855	855	0	0				2015-004568PRJ	New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, wit		28100	-71900	0	0	0	0	0	0	0	0	0	0	0	0	100000	28100	-71900	0	0	0	0	0	0	0	0	VBYRD				2017	Q4	2017_Q4	8 - Mission	6	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	Market & Octavia	(37.77425927580, -122.41948598900)
Resident	6800004	10 TINGLEY ST	FALSE	BP FILED	07/09/2015 12:00:00 AM	1	1	0	0				2014	Merging Lots 001, 004 and 405.  Demolish existing single story restaurant.  Constructing a new four-story mixed-use structure including 10 residential dwelling units, 1,700 sq.ft. first floor commercial space and 10 spaces off-street parking garage.	ERECT A THREE STORY SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRANNANC				2017	Q4	2017_Q4	12 - South Central	11		Mission-San Jose Corridor	(37.72856383930, -122.43210261900)
Resident	2609066	100 ALPINE TER	TRUE	BP ISSUED	07/05/2017 12:00:00 AM	1	1	0	0				2014-002093PRJ	New construction of a single family dwelling on an existing lot containing only a 3 stall garage used as storage.	VERTICAL ADDITION. ADD 2-STORY TO EXISTING GARAGE CREATE NEW SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DWASHING	Roma Design Group		415-616-9900	2017	Q4	2017_Q4	6 - Buena Vista	8		Rest of the City	(37.76889953520, -122.43776414600)
MIPS	3808003	100 HOOPER ST	TRUE	CONSTRUCTION	12/27/2017 12:00:00 AM	0	0	0	0				2012	The Project Sponsor proposes to replace the property?s existing mini-storage with truck rental use with three new four-story buildings, up to 58 feet in height. These new buildings consist of a stand-alone, 100% ?PDR Building? that includes 56,402 sf of	ERECT A FOUR STORY OFFICE AND RETAIL COMMERCIAL BUILDING. COMPLIANCE W/ ORDINANCE 155-13 IS NOT REQUIRED.	284471	284471	0	0	0	0	0	0	0	284471	284471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTOWNES				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.76868678040, -122.39939102700)
Resident	1104001	100 TERRA VISTA AV	TRUE	CONSTRUCTION	09/05/2017 12:00:00 AM	5	1	0	0				2015-012123PRJ	ADDING ADDITIONAL UNIT IN (E) 4-UNIT RESIDENTIAL BUILDING. DEVELOP (E) BASEMENT (426 SQ FT) ON SUB-LEVEL (C) FOR NEW UNIT W/ LIVING, KITCHEN, BEDROOM & BATHROOM. SPRINKLERS UNDER SEPARATE PERMIT.	ADDING ADDITIONAL UNIT IN (E) 4-UNIT RESIDENTIAL BUILDING. DEVELOP (E) BASEMENT (426 SQ FT) ON SUB-LEVEL (C) FOR NEW UNIT W/ LIVING, KITCHEN, BEDROOM & BATHROOM. SPRINKLERS to NFPA 13-R UNDER SEPARATE PERMIT.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WFARRENS		BRAD KING MOY TR		2017	Q4	2017_Q4	5 - Western Addition	2		Downtown-Van Ness-Geary	(37.78161352260, -122.44379214600)
Resident	150054	1000 - 1020 BROADWAY	TRUE	BP FILED	07/12/2016 12:00:00 AM	2	2	0	0				2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT THREE STORY TWO FAMILY DWELLINGS W/ THREE BASEMENTS RESIDENTIAL BUILDING OVER RODIUM.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER				2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79721676020, -122.41381053900)
Resident	150054	1000 - 1020 BROADWAY	TRUE	BP FILED	07/12/2016 12:00:00 AM	1	1	0	0				2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT TWO STORY SINGLE FAMILY DWELLING W/ TWO BASEMENTS OVER RODIUM.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER	Steve Kendrick	Brad Brewster	415-896-5900	2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79721676020, -122.41381053900)
Resident	150054	1000 - 1020 BROADWAY	TRUE	BP FILED	07/12/2016 12:00:00 AM	1	1	0	0				2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT ONE STORY SINGLE FAMILY DWELLING W/ THREE BASEMENTS OVER RODIUM.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER				2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79721676020, -122.41381053900)
Resident	4224038	1000 MISSISSIPPI ST	TRUE	BP ISSUED	04/22/2016 12:00:00 AM	28	28	3	3	On-site BMR Project	90% AMI;	Ownership	2008	Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.	ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75346262210, -122.39437351500)
Resident	150053	1000-1020 BROADWAY	FALSE	BP FILED	07/12/2016 12:00:00 AM	4	4	0	0				2006	Proposed project would involve a three-lot subdivision and the new construction of three buildings, one on each newly subdivided lot, two single-family dwellings and one duplex. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, a		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AHOLLIST	David P. Cincotta	David P. Cincotta	415-398-8080	2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79718716600, -122.41404553800)
Resident	69020	1001 CHESTNUT ST	TRUE	CONSTRUCTION	11/14/2016 12:00:00 AM	2	1	0	0				2013	Reconstruct existing garage with new 2-story in-law unit; 2-story addition to mud room; reconstruct failing retaining wall	TWO STORY ADDITION TO MUDROM/SOLARIUM AT SIDE OF HOUSE. RECONSTRUCT FAILED RETAINING WALL ALONE CHESTNUT ST & REALIGNED SERVICE STAIRWAY. MINOR REVISION TO REAR ROOF EAVE OF EXISTING HOUSE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SPERDUE	Tom Hardy	Tom Hardy	415-837-0489	2017	Q4	2017_Q4	3 - Northeast	2		Downtown-Van Ness-Geary	(37.80270803890, -122.42006518200)
Mixres	714016	1001 VAN NESS AV	TRUE	BP FILED	10/21/2016 12:00:00 AM	239	239	0	0	Fee Payment			2014	Demolition of existing commercial office buiding and construction of a new mixed-use (multi-family residential over retail) building.	ERECT 14-STORY, 1 BASEMENT, TYPE 1-A, 239 DWELLING UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.	5151	-84347	0	0	0	0	0	0	89498	0	-89498	0	0	0	0	5151	5151	0	0	0	0	0	0	0	0	AA CONV				2017	Q4	2017_Q4	5 - Western Addition	5	Van Ness Corridor	Downtown-Van Ness-Geary	(37.78492975350, -122.42191084500)
Resident	4224015	1004 MISSISSIPPI ST	TRUE	BP ISSUED	04/22/2016 12:00:00 AM	28	28	3	3	On-site BMR Project	90% AMI;	Ownership	2006	Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.	ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AHOLLIST	John Conomos	Bruce Baumann	415-551-7884	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75361946390, -122.39404182400)
Mixres	0346003A	101 HYDE ST	TRUE	BP FILED	06/27/2013 12:00:00 AM	85	85	10	10	On-site BMR Project		Rental	2012	The existing post office is scheduled for closure.  The proposed development would demolish the existing one-story building (built in 1960) and rebuild ground floor retail with residential units above.	ERECT (N) 8-STORY MULTI-RESIDENTIAL & RETAIL BUILDING.	4923	4923	0	0	0	0	0	0	0	0	0	0	0	0	0	4923	4923	0	0	0	0	0	0	0	0	KCONNER	Albert Costa	Albert Costa	415.986.0101	2017	Q4	2017_Q4	4 - Downtown	6	Downtown	Downtown-Van Ness-Geary	(37.78180373680, -122.41589654800)
Resident	3282001	101 KENWOOD WY	FALSE	BP Filed	05/25/2017 12:00:00 AM	2	1	0	0						UNIT LEGALIZATION PER ORDINANCE# 43-14. CHANGE OF USE FROM 1 UNIT TO 2 UNITS. 2 BEDROOMS, 1 BATH & 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	13 - Ingleside	7		Rest of the City	(37.72845480060, -122.46077765000)
Resident	6921001	101 URBANO DR	TRUE	BP APPROVED	12/04/2017 12:00:00 AM	2	1	0	0						COMPLY W/ COMPLAINT #201776386, UNIT LEGALIZATION ORD 43-14, LEGALIZATION OF DWELLING UNIT INSTALL W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	13 - Ingleside	7		Rest of the City	(37.72507414560, -122.46454110400)
Resident	1273017	1010 STANYAN ST	FALSE	BP FILED	12/17/2015 12:00:00 AM	4	4	0	0				2016-000260PRJ	ERECT 4 STORIES OF 4 DWELLING UNIT MULTI FAMILY RES'D. TYPE 5 CONSTRUCTION.	ERECT 4 STORIES OF 4 DWELLING UNIT MULTI FAMILY RES'D. TYPE 5 CONSTRUCTION.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BBENDIX	jonathan pearlman		4155371125	2017	Q4	2017_Q4	6 - Buena Vista	5		Rest of the City	(37.76523247900, -122.45242016600)
Resident	4937018	1014 GILMAN AV	TRUE	CONSTRUCTION	12/28/2017 12:00:00 AM	1	1	0	0						ERECT 3-STORY, NO BASEMENT, TYPE 5 SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.71853919590, -122.38823257300)
Resident	6171035	1015 BRUSSELS ST	FALSE	BP FILED	01/06/2017 12:00:00 AM	2	1	0	0				2017-000835PRJ	Legalize a second unit (2-bedroom Unit No.2) at the ground floor of an existing single-family two-story-over-basement dwelling, per Planning Code Section 207.3 (Ord. 43-14). No front exterior alterations.	LEGALIZE A 2ND DWELLING UNIT ON THE GROUND FLR OF AN (E) SINGLE FAMILY DWELLING PER UNIT LEGALIZATION ORD 43-14. (2) BDRMS, BATHROOMS, KITCHEN AND LIVING ROOM ON THE GROUND FLR TO BE LEGALIZED PER PLANS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLARKECO	LIANG XI QIANG & HUI-XUAN WEN HUI-Z	LIANG XI QIANG & HUI-XUAN WEN		2017	Q4	2017_Q4	12 - South Central	10		Rest of the City	(37.71974411110, -122.40224638800)
Resident	4159004	1016 DE HARO ST	TRUE	BP FILED	09/14/2017 12:00:00 AM	2	1	0	0				2015-002653PRJ	"Demolish an existing one-story, single-family home with one parking space and construct a new four-story, two-family home with a four-vehicle garage.
DEMOLISH SINGLE FAMILY RESIDENCE  
CONSTRUCT (N) 2-FAMILY RESENDENTIAL."	CONSTRUCT (N) 2-FAMILY RESENDENTIAL.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS	D-Scheme Studio Architects		4152520888	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75683223590, -122.40114884700)
Resident	4943006	1018 HOLLISTER AV	FALSE	BP Filed	07/21/2017 12:00:00 AM	2	1	0	0						IN (E) FOOTPRINT: CONVERT BASEMENT INTO ADU. REMODEL UPPER LVL FLR, EXPANDING THE LANDING OF EXISTIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.71909949770, -122.39079917600)
Resident	4158060	1019 KANSAS ST	FALSE	BP FILED	10/29/2014 12:00:00 AM	2	1	0	0						LEGALIZATION OF (E) UNAUTHORIZED (WITH COOKING FARLURES) 2ND DWELLING UNIT. UNIT LEGALIZATION ORDINANCE 43-14.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75675307720, -122.40246037900)
Resident	1219018	102 BAKER ST	TRUE	BP ISSUED	01/19/2017 12:00:00 AM	3	1	0	0				2014-002655PRJ	COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT  STAIR. NEW INTERIOR STAIR TO 3RD & 4TH FLR UNITS. RELOCATE KIT & BATH AT 2ND & 3RD FLR. COMPLETE REMODEL OF 4TH FL-LEGALIZE 4TH FL (N) UNIT C. SEISMIC UPGRADE	COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT & STAIR (UNDER SEP PERMIT). NEW INTERIOR STAIR TO 3RD & 4TH FLR UNITS. RELOCATE KIT & BATH AT 2ND & 3RD FLR. COMPLETE REMODEL OF 4TH FL-LEGALIZE 4TH FL (N)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AKIRBY		NEDEAU 1994 LIVING TRUST THE		2017	Q4	2017_Q4	6 - Buena Vista	5		Rest of the City	(37.77201728680, -122.44024946300)
Resident	3646002	102 SAN JOSE AV	FALSE	BP FILED	02/06/2017 12:00:00 AM	1	1	0	0				2016-003100PRJ	ADU. REAR BUILDING GARAGE/SHED LOCATED IN REAR YARD TO BE TURNED INTO AN ADU SINGLE FAMILY DWELLING PER ORDINANCE 162-16	ADU. REAR BUILDING GARAGE/SHED LOCATED IN REAR YARD TO BE TURNED INTO AN ADU SINGLE FAMILY DWELLING PER ORDINANCE 162-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SOUTHEAS	Lynn Hazen	Lynn Hazen	415-902-0885	2017	Q4	2017_Q4	8 - Mission	8	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75326049390, -122.42179414300)
Vacant	163013	1020-1028 KEARNY ST	FALSE	PL Filed	06/07/2017 12:00:00 AM	0	0	0	0				2017-000282PRJ	The project sponsor proposes converting the building from office use to group housing. In addition to the 24 group housing rooms proposed, 1,575 sf of open space would be provided through two outdoor courtyards and a roof deck. The project would include		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ETUFFY	Starcity Properties, LLC			2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79744449700, -122.40515166000)
Vacant	4153042	1025 HAMPSHIRE ST	FALSE	BP Filed	01/19/2016 12:00:00 AM	0	0	0	0				2017-008133PRJ	Dwelling Unit Merger - Conditional Use Authorization to permit the removal of an unauthorized unit in an existing 2-unit dwelling.	REMOVE KITCHEN & RESTORE OCCUPANCY.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MCHRISTE			4158771293	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75565800410, -122.40727992500)
Visitor	3731095	1025 HOWARD ST	FALSE	PL FILED	04/24/2015 12:00:00 AM	0	0	0	0				2015-005200PRJ	The proposed project consists of the demolition of an existing building on site and construction of a new 8 story high hotel with a ground floor retail space and below ground parking.		72580	54580	0	0	0	0	0	0	0	0	0	0	0	0	18000	780	-17220	0	0	0	71800	71800	0	181	181	DVU	Stanton Architecture	Michael Stanton		2017	Q4	2017_Q4	9 - South of Market	6	East SoMa (EN)	Eastern Neighborhoods	(37.77894805430, -122.40752372300)
Resident	2350001C	1027 SANTIAGO ST	FALSE	BP Filed	06/21/2017 12:00:00 AM	2	1	0	0						LEGALIZE (E) UNIT INSTALLED WITHOUT PERMITS. INSTALL (N) WINDOW. UPGRADE RATING FOR WALLS & A DOOR.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74459994210, -122.47844268400)
Mixres	350002	1028 MARKET ST	TRUE	PL APPROVED	01/26/2017 12:00:00 AM	186	186	0	0				2014	The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t		9657	-23653	0	0	0	0	0	0	0	0	0	0	0	0	33310	9657	-23653	0	0	0	0	0	0	0	0	DDWYER	Sally Maxwell	Sally Maxwell	883-0133	2017	Q4	2017_Q4	4 - Downtown	6	Downtown; Civic Center Public Realm Plan	Downtown-Van Ness-Geary	(37.78188348190, -122.41132333500)
Retail/Ent	0191008A	1030 WASHINGTON ST	TRUE	CONSTRUCTION	04/24/2017 12:00:00 AM	0	0	0	0				2015-006347PRJ	Change of use from existing non-residential use to a new Restaurant.	ADD NON-STRUCTURAL 1 HOUR WALL. ADD KITCHEN AT GROUND LEVEL. ADD NEW DOORS IN  EXTG WINDOW OPENINGS AT REAR FACE OF BLDG. Remodel top level bathroom and relocate kitchen (4th floor). Add Accessory Dwelling Unit	450	0	0	0	-450	0	0	0	0	0	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	ABRASK	Stefan Safko	SACARDUS PROPERTIES LLC	415-812-7648	2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79482861700, -122.41029829200)
Resident	158010	1032 PACIFIC AV	TRUE	CONSTRUCTION	08/09/2017 12:00:00 AM	6	6	0	0				2015-015804PRJ	ERECT 5 STORY 6 UNITS RESIDENTIAL BUILDING.	ERECT 5-STORY, 1 BASEMENT, 6 UNITS RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN	JEFFREY & JEN MEI ENG REVOC TRUST	JEFFREY & JEN MEI ENG REVOC TRUST		2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79637055570, -122.41226344600)
