APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 2609066	0	PL FILED	03/12/2015	100 ALPINE TER		2014-002093PRJ		1	1	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/25/2014	New construction of a single family dwelling on an existing lot containing only a 3 stall garage used as storage.		DWASHING	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Castro/Upper Market		Buena Vista	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.76889953610, -122.43776414600)
APN 1273017	0	BP FILED	12/17/2015	1010 STANYAN ST		2016-000260PRJ	201512175322	4	4	0	0			$1250000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2015		ERECT 4 STORIES OF 4 DWELLING UNIT MULTI FAMILY RES'D. TYPE 5 CONSTRUCTION.	BBENDIX	Application Accepted	Application Accepted	Application Accepted	Haight Ashbury		Buena Vista	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.76523247810, -122.45242016600)
APN 3808003	1	BP ISSUED	12/17/2015	100 HOOPER ST (BLDG 1 OF 3)	1000 07TH ST	2012	201410209377	0	0	0	0			$52500000.00	OFFICE	427255	340723	0	0	0	0	284471	284471	142784	56252	0	0	0	0	10/23/2014		ERECT A FOUR STORY OFFICE AND RETAIL COMMERCIAL BUILDING. COMPLIANCE W/ ORDINANCE 155-13 IS NOT REQUIRED.	CTOWNES	Closed	Closed	Closed	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	58-X	PDR-1-D	PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN	SUPERVISORIAL DISTRICT 10	(37.76868677950, -122.39939102600)
APN 1104001	0	BP FILED	07/09/2015	100 TERRA VISTA AV		2015-012123PRJ	201507091106	5	1	0	0			$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/09/2015	ADDING ADDITIONAL UNIT IN (E) 4-UNIT RESIDENTIAL BUILDING. DEVELOP (E) BASEMENT (426 SQ FT) ON SUB-LEVEL (C) FOR NEW UNIT W/ LIVING, KITCHEN, BEDROOM & BATHROOM. SPRINKLERS UNDER SEPARATE PERMIT.	ADDING ADDITIONAL UNIT IN (E) 4-UNIT RESIDENTIAL BUILDING. DEVELOP (E) BASEMENT (426 SQ FT) ON SUB-LEVEL (C) FOR NEW UNIT W/ LIVING, KITCHEN, BEDROOM & BATHROOM. SPRINKLERS UNDER SEPARATE PERMIT.	WFARRENS	Under Review	Under Review	Under Review	Western Addition		Western Addition	30-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 2	(37.78161352350, -122.44379214600)
APN 0150054	1	BP FILED	07/12/2016	1000 - 1020 BROADWAY (BLDG 1 OF 3)	1000 BROADWAY	2006	201607122139	1	1	0	0			$1500000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/28/2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT TWO STORY SINGLE FAMILY DWELLING W/ TWO BASEMENTS OVER RODIUM.	KCONNER	Closed	Closed	Closed	Russian Hill		Northeast	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 3	(37.79721675930, -122.41381054100)
APN 0150054	1	BP FILED	07/12/2016	1000 - 1020 BROADWAY (BLDG 2 OF 3)	1010 BROADWAY	2006	201607122132	1	1	0	0			$2200000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/28/2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT ONE STORY SINGLE FAMILY DWELLING W/ THREE BASEMENTS OVER RODIUM.	KCONNER	Closed	Closed	Closed	Russian Hill		Northeast	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 3	(37.79721675930, -122.41381054100)
APN 0150054	1	BP FILED	07/12/2016	1000 - 1020 BROADWAY (BLDG 3 OF 3)	1625 TAYLOR ST	2006	201607122140	2	2	0	0			$2600000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/28/2006	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i	ERECT THREE STORY TWO FAMILY DWELLINGS W/ THREE BASEMENTS RESIDENTIAL BUILDING OVER RODIUM.	KCONNER	Closed	Closed	Closed	Russian Hill		Northeast	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 3	(37.79721675930, -122.41381054100)
APN 0069020	1	CONSTRUCTION	06/10/2016	1001 CHESTNUT ST		2013	201407080708	2	1	0	0			$200000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/18/2013	Reconstruct existing garage with new 2-story in-law unit; 2-story addition to mud room; reconstruct failing retaining wall	TWO STORY ADDITION TO MUDROM/SOLARIUM AT SIDE OF HOUSE. RECONSTRUCT FAILED RETAINING WALL ALONE CHESTNUT ST & REALIGNED SERVICE STAIRWAY. MINOR REVISION TO REAR ROOF EAVE OF EXISTING HOUSE.	SPERDUE	Closed	Closed	Closed	Russian Hill		Northeast	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 2	(37.80270803980, -122.42006518200)
APN 0714016	0	PL FILED	01/08/2015	1001 VAN NESS AV		2014		256	256	31	31			$0.00		5151	-84347	0	0	0	0	0	-89498	0	0	5151	5151	0	0	08/22/2014	Demolition of existing commercial office buiding and construction of a new mixed-use (multi-family residential over retail) building.		AA CONV	ON HOLD	ON HOLD	ON HOLD	Western Addition	Van Ness Corridor	Western Addition	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 5	(37.78492975260, -122.42191084700)
APN 4224015	1	BP ISSUED	04/22/2016	1004 MISSISSIPPI ST		2006	200705010141	28	28	3	3			$11107000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2007	Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.	ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.	AHOLLIST	Closed	Closed	Closed	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 10	(37.75361946390, -122.39404182300)
APN 0346003A	1	BP FILED	06/27/2013	101 HYDE ST		2012	201306270692	85	85	10	10	On-site BMR Project	Rental	$17000000.00	APARTMENTS	4923	4923	0	0	0	0	0	0	0	0	4923	4923	0	0	08/15/2012	The existing post office is scheduled for closure.  The proposed development would demolish the existing one-story building (built in 1960) and rebuild ground floor retail with residential units above.	ERECT (N) 8-STORY MULTI-RESIDENTIAL & RETAIL BUILDING.	KCONNER	Closed	Closed	Closed	Downtown/Civic Center	Downtown	Downtown	80-X	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.78180373590, -122.41589654900)
APN 6250036	1	CONSTRUCTION	01/21/2016	101 LELAND AV		2007	200705221925	4	3	0	0			$1500000.00	FOOD/BEVERAGE HNDLNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/22/2007	Demolish an existing 1-story 992 sqft cottage and construct a 4-story mixed use building with underground parking for 8 cars.	"TO ERECT NEW 3 STORY M/R2 BUILDING  TYPE VA CONSTRUCTION, 
5 UNITS OF  RESIDENTIAL. 1 COMMERCIAL UNIT ON GROUND FLOOR. Life safety under separate submittals."	BBENDIX	Closed	Closed	Closed	Visitacion Valley	Schlage Lock	South Central	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	SUPERVISORIAL DISTRICT 10	(37.71176606530, -122.40583053700)
APN 4937018	1	CONSTRUCTION	06/28/2016	1014 GILMAN AV			201209109355	1	1	0	0			$780000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/10/2012		ERECT 3-STORY, NO BASEMENT, TYPE 5 SINGLE FAMILY DWELLING.	EJACKSON				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.71853919680, -122.38823257200)
APN 4159004	0	BP FILED	06/22/2015	1016 DE HARO ST			201506229512	2	2	0	0			$880000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/22/2015		CONSTRUCT (N) 2-FAMILY RESENDENTIAL.	JSPEIRS				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.75683223500, -122.40114884600)
APN 4158060	0	BP FILED	10/29/2014	1019 KANSAS ST			201410290258	2	1	0	0			$6300.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/29/2014		LEGALIZATION OF (E) UNAUTHORIZED (WITH COOKING FARLURES) 2ND DWELLING UNIT. UNIT LEGALIZATION ORDINANCE 43-14.	KCONNER				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.75675307630, -122.40246037800)
APN 1219018	0	BP FILED	11/25/2014	102 BAKER ST			201411252470	3	1	0	0			$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/25/2014		COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT & STAIR (UNDER SEP PERMIT). NEW INTERIOR STAIR TO 3RD & 4TH FLR UNITS. RELOCATE KIT & BATH AT 2ND & 3RD FLR. COMPLETE REMODEL OF 4TH FL-LEGALIZE 4TH FL (N)	AKIRBY				Haight Ashbury		Buena Vista	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.77201728590, -122.44024946500)
APN 3731095	0	PL FILED	04/24/2015	1025 HOWARD ST		2015-005200PRJ		0	0	0	0			$0.00		72580	54580	0	0	0	0	0	0	0	0	780	-17220	71800	71800	04/24/2015	The proposed project consists of the demolition of an existing building on site and construction of a new 8 story high hotel with a ground floor retail space and below ground parking.		DVU	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	East SoMa (EN); South of Market	South of Market	65-X	MUG	MIXED USE-GENERAL	SUPERVISORIAL DISTRICT 6	(37.77894805340, -122.40752372300)
APN 0350002	0	PL FILED	04/29/2014	1028 MARKET ST		2014		186	186	0	0			$70000000.00	CLUB	9657	9657	0	0	0	0	0	0	0	0	9657	9657	0	0	02/11/2014	The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t		DDWYER	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Downtown	Downtown	120-X	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.78188348100, -122.41132333400)
APN 0191008A	1	PL APPROVED	11/24/2015	1030 WASHINGTON ST		2015-006347PRJ		0	0	0	0			$0.00		450	0	0	-450	0	0	0	0	0	0	450	450	0	0	05/20/2015	Change of use from existing non-residential use to a new Restaurant.		ABRASK	Closed	Closed	Closed	Nob Hill		Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79482861790, -122.41029829100)
APN 0158010	1	BP FILED	10/20/2015	1032 PACIFIC AV		2015-015804PRJ	201510200295	6	6	0	0			$1800000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/20/2015		ERECT 5 STORY 6 UNITS RESIDENTIAL BUILDING.	YEUNGMIN	Closed	Closed	Closed	Nob Hill		Northeast	65-A	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79637055670, -122.41226344500)
APN 0212038	0	BP FILED	02/01/2016	1033 - 1037 WASHINGTON ST		2016-001652PRJ	201602018496	4	1	0	0			$250000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/01/2016	4TH FL RESIDENTIAL UNIT ADDITION TO BLDG, RENOVATION OF 3RD FL UNIT ENTRY, RENOVATION OF BASEMENT, REPAIR OF (E) EGRESS STAIR @ REAR OF PROPERTY, SEISMIC & FOUNDATION UPGRADE.	4TH FL RESIDENTIAL UNIT ADDITION TO BLDG, RENOVATION OF 3RD FL UNIT ENTRY, RENOVATION OF BASEMENT, REPAIR OF (E) EGRESS STAIR @ REAR OF PROPERTY, SEISMIC & FOUNDATION UPGRADE.	APERRY	Under Review	Under Review	Under Review	Nob Hill		Northeast	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	SUPERVISORIAL DISTRICT 3	(37.79449877230, -122.41032449800)
APN 0694003	0	PL FILED	06/17/2015	1033 POLK ST		2014		9	9	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/09/2014	Build a new 8 story residential mixed-use building to the rear of an existing historic building.  The proposed program is for ground floor and second floor commercial/office space (3,175 sq.ft.) and 6 levels of residential space totaling 7,260 sq.ft. net		AA CONV	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Van Ness Corridor	Downtown	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 3	(37.78643416180, -122.42006518100)
APN 3703079	1	BP ISSUED	09/11/2015	1036 - 1040 MISSION ST		2014	201406269523	83	83	83	83			$30000000.00	APARTMENTS	963	963	0	0	0	0	0	0	0	0	963	963	0	0	01/16/2014	A 9 story mid-rise residential building, housing 83 afforable units ranging from studios (junior one-bedrooms to three bedroom flats. The project also includes common rooms, management offices, laundry, lobby, circulation & supportive service spaces desi	TO ERECT 9 STORIES, NO BASEMENT, 83 RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES & RETAIL SPACES.	KCONNER	Closed	Closed	Closed	South of Market	Downtown	Downtown	120-X	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.78058500840, -122.40978554900)
APN 4224018	1	BP APPROVED	12/01/2009	1036 MISSISSIPPI ST		2007	200705010119	2	2	0	0			$800000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2007	New construction of two buildings with two units each, total of four units on a vacant lot.	TO ERECT A NEW 3-STORY 2 DWELLING UNITS OVER BASEMENT	BFU	Closed	Closed	Closed	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 10	(37.75327718290, -122.39400858600)
APN 0693015	1	BP ISSUED	01/29/2016	1036 POLK ST		2015-004792PRJ	201502138346	37	1	0	0			$89000.00	APARTMENTS	15220	0	0	0	0	0	0	0	0	0	15220	0	0	0	02/13/2015	Proposed division of an existing dwelling unit to create an additional unit.  Requires variances from the rear yard, open space and dwelling unit exposure requirements.	APT 302/302A: CONVERT 2 BEDROOM APARTMENT INTO A STUDIO & ONE BEDROOM APARTMENT; 302A: ADD A KITCHEN, BATH AND W/D; 302: REMODEL (E) KITCHEN AND BATH ADD NEW LAUNDRY W/D; MAHER N/A	CGROB	Closed	Closed	Closed	Downtown/Civic Center		Downtown	80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 6	(37.78660156370, -122.41963960700)
APN 5826002	1	CONSTRUCTION	10/03/2014	104 BACHE ST		2008	200706265226	2	2	0	0			$507854.00	2 FAMILY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/26/2007	Rear yard and parking variance	TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG	CTEAGUE	Closed	Closed	Closed	Bernal Heights		Bernal Heights	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.73379094000, -122.41778190900)
APN 0181013	1	BP ISSUED	05/23/2016	1044 JACKSON ST			201411242420	3	1	0	0			$500000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/24/2014		VERTICAL ADDITION OF 1 FLOOR TO CREATE AN ADDITIONAL RESIDENTIAL UNIT.  4 BEDROOMS AND 2 BATHS AND 1 NEW KITCHEN IN THE NEW UNIT. JOB IS INCLUDING THREE UNITS.	CGROB				Nob Hill		Northeast	65-A	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 3	(37.79545860920, -122.41228593200)
APN 4937006A	0	BP FILED	12/02/2015	1050 GILMAN AV			201512023975	2	1	0	0			$8000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/02/2015		LEGALIZE EXISTING KITCHEN ON THE GROUND FLOOR. TO LEGALIZE 1 RESIDENTIAL UNIT UNDER UNIT LEGALIZATION ORD 43-14.	SAMONSKY				Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.71904482980, -122.38903715900)
APN 3617008	1	CONSTRUCTION	02/12/2016	1050 VALENCIA ST		2007	201012277437	15	15	0	0	Fee Payment	Ownership	$3764490.00	APARTMENTS	3500	1900	0	0	0	0	0	0	0	0	3500	1900	0	0	03/12/2010	New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replac	ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.	JBATTIS	Closed	Closed	Closed	Mission	Mission (EN)	Mission	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 8	(37.75594399060, -122.42131765200)
APN 3731021	0	PL FILED	06/23/2016	1052-1060 FOLSOM ST AND 190-194 RUSS ST		2016-004905PRJ		46	42	0	0			$0.00		3302	-8927	0	0	0	0	0	-8530	0	0	3302	-397	0	0	05/10/2016	All of the existing buildings will be demolished.  A new six story building consisting of five stories of wood frame construction above a one story concrete ground level podium will be constructed.  The first story in the podium will include commercial s		VBYRD	Application Accepted	Application Accepted	Application Accepted	South of Market	East SoMa (EN); South of Market	South of Market	65-X	NCT	SOMA NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 6	(37.77768515020, -122.40709824600)
APN 3703066	0	PL FILED	06/16/2014	1053 MARKET ST		2014		0	0	0	0			$23559190.00		74000	58000	0	0	0	0	0	0	0	0	4000	-12000	70000	70000	03/18/2014	The proposed project would demolish an existing commercial building and construct a 10-story tourist hotel with 155 rooms with a ground floor retail space.		LYEGAZU	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Downtown	Downtown	90-X	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.78100793860, -122.41115593000)
APN 1269167	1	CONSTRUCTION	03/23/2016	1055 ASHBURY ST		2013	201307313282	1	1	0	0			$600000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/31/2013	Construction of a 4 story single family home on empty lot	TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.	CJP	Closed	Closed	Closed	Haight Ashbury		Buena Vista	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 5	(37.76369221200, -122.44673806300)
