APN	BESTSTAT	BESTDATE	NAMEADDR	Alias	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	PLN_CASENO	BP_APPLNO	PROPUSE	COST	BP_DESC	PLN_DESC	PROJECT_TYPE	ENTITLEMENT	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPHONE	FirstFiled	PLANNER	PLAN_AREA	PUBLICREALM	STATUS	PLAN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	ZONING	HEIGHT_DISTRICT	NEIGHBORHOOD	Location
APN 7085017	BP FILED	02/06/2014	119 VERNON ST		1	1	0	0				201402067966	1 FAMILY DWELLING	$200000.00	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/06/2014	TKENNEDY				Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71468291960, -122.46827829800)
APN 6482021	BP ISSUED	08/23/2016	1192 NAPLES ST		2	1	0	0			2016-001214PRJ	201601227793	2 FAMILY DWELLING	$14280.00	UNIT LEGALIZATION ORDINANCE# 43-14. LEGALIZE 1ST FLOOR DWELLING UNIT.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/22/2016	JIMENEZS				South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Crocker Amazon	(37.71224299720, -122.43791319900)
APN 0043007	PL FILED	10/16/2015	1196 COLUMBUS AV		0	0	0	0			2014-002849PRJ			$0.00		Demolition of existing 5,750 sq ft single-story retail bldg and construct new four-story bldg for use as a hotel.  Existing building is vacant and last occupied by Tower Records.  40 ft high and 27,274 gsf.  Project would add 75 hotel rooms, lobby and gr	Vacant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Reuben, Junius and Rose, LLP		4155679000	12/17/2014	KGUY				Northeast	SUPERVISORIAL DISTRICT 3	C-2	COMMUNITY BUSINESS	Commercial	C-2	40-X	North Beach	(37.80502256210, -122.41659744000)
APN 4210013	CONSTRUCTION	07/03/2013	1196 HAMPSHIRE ST		2	1	0	0			2008	200710155355	2 FAMILY DWELLING	$75000.00	clarifing building is three story and legalizing 2nd unit. demo rear back porch and stairs. Build new 3 structure with decks and stairs to third story.	Parking Variance - Does not meet independent access requirement under 155(c)	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/15/2007	DSANCHEZ	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Mission	"Y
(37.75329796030, -122.40760652600)"
APN 3635014	CONSTRUCTION	01/03/2017	1198 VALENCIA ST		52	52	0	0	On-site BMR Project	Ownership	2012	201507141495	APARTMENTS	$14888000.00	CONSTRUCT (N) 5-STORY 52 RESIDENTIAL MIXED USE BUILDING	Demo gas station structure and construct 42 dwelling units over commercial ground floor.	Mixres	1	5050	4610	0	0	0	0	0	0	0	-440	5050	5050	0	0				07/05/2012	DVU	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 8	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-VALENCIA	55-X	Mission	"Y
(37.75393177390, -122.42118351600)"
APN 0212031	BP ISSUED	11/19/2015	135 WETMORE ST		5	5	0	0				201306038460	APARTMENTS	$2085383.00	"TO ERECT 4 STORIES OVER BASEMENT & FOUR DWELLING UNITS
"		Mixres	1	4000	2000	0	0	0	0	4000	2000	0	0	0	0	0	0				06/03/2013	EWATTY				Northeast	SUPERVISORIAL DISTRICT 3	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	Residential	RM-3	65-A	Nob Hill	(37.79419988960, -122.41064823800)
APN 6511018	BP FILED	05/17/2016	1199 DOLORES ST		3	1	0	0			2016-007319PRJ	201605177697	APARTMENTS	$50000.00	RENOVATE AND ADD BATH @ DWELLING UNIT @ 1/FL. CONSIST LIVING/DINING AREA, KITCHEN & BATH. NEW UNIT TO BE FULLY SPRINKLERS (1/FL ONLY). REMODEL KITCHEN AT UNIT 1197 @ 2/FL. REPLACE WINDOWS @1/FL & 2/FL, FACING THE STREET. INFILL @ LIGHTWELL,		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/17/2016	JIMENEZS	Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 8	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Mission	"Y
(37.75039338250, -122.42463055900)"
APN 0691005	BP FILED	09/26/2016	1200 VAN NESS AV		95	95	0	0			2015-012577PRJ	201609299193	APARTMENTS	$96500000.00	"TO ERECT 13 STORIES, 5 BASEMENTS, 95 UNITS RESIDENTIAL, COMMERCIAL, RETAIL & PARKING BUILDING.
** MAHER: N/A **"	The proposed project will be the construction of 130' high, 13-story, 272,796 gsf mixed use (retail/commercial/residential) building with a parking garage for 357 cars in five below grade levels.  The proposed project will have retail which may include a	Mixres	0	137749	38046	0	0	0	0	109045	55560	0	0	28704	-17514	0	0				09/21/2015	VBYRD	Van Ness Corridor			Downtown	SUPERVISORIAL DISTRICT 3	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	RC-4	130-V	Downtown/Civic Center	(37.78694360880, -122.42098584100)
APN 4172022	CONSTRUCTION	01/03/2017	1201 - 1225 TENNESSEE ST		263	263	34	34	On-site BMR Project	Rental	2012	201312234917	APARTMENTS	$73394456.00	ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.	Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.	Mixres	1	2260	-63076	0	0	0	0	0	0	0	-65336	2260	2260	0	0	Morton Rothman	Jesse Herzog	775-7005	04/11/2013	CTEAGUE	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	68-X	Potrero Hill	(37.75592797500, -122.38860297300)
APN 6404017	BP FILED	06/13/2016	1201 GENEVA AV		0	0	0	0			2016-001774PRJ	201602058959	CHURCH	$1000.00	CHANGE OF USE/OCCUPANCY FROM  EXISTING GROCERY STORY TO CHURCH.		CIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/05/2016	BERGERCH				South Central	SUPERVISORIAL DISTRICT 11	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	Mixed Use	NCD-EXCELSIOR	40-X	Excelsior	(37.71433687750, -122.43582765000)
APN 4175007	CONSTRUCTION	07/07/2016	1201 ILLINOIS ST		0	0	0	0			2015-007150PRJ	201402138486	WAREHOUSE,NO FRNITUR	$9500000.00	"TO ERECT 1 STORY, 1 BASEMENT, ELECTRICAL SWITCH STATION.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 IS REQUIRED **"		PDR	1	15708	15705	0	0	0	0	0	0	15708	15705	0	0	0	0				02/13/2014	DVU	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	South of Market	SUPERVISORIAL DISTRICT 10	M-2	HEAVY INDUSTRIAL	Industrial	M-2	65-X	Potrero Hill	(37.75675711740, -122.38662842500)
APN 1736033	CONSTRUCTION	06/06/2014	1208 15TH AV		2	2	0	0				200605111391	2 FAMILY DWELLING	$500000.00	TO ERECT 2 DWELLING UNIT WITH 3-STORY NEW BUILDING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/11/2006	ETOPE				Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Sunset	(37.76525058510, -122.47254232400)
APN 6404017	BP FILED	06/13/2016	1209 GENEVA AV		0	0	0	0			2016-001774PRJ	201606139830	CHURCH	$1.00	CHANGE OF USE FROM EXISTING RETAIL STORE TO CHURCH. N/A FOR MAHER ORDINANCE NO. 155-13.		CIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/13/2016	FLORESVE				South Central	SUPERVISORIAL DISTRICT 11	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	Mixed Use	NCD-EXCELSIOR	40-X	Excelsior	(37.71433687750, -122.43582765000)
