block lot	planning neighborhood	project status	project date	units	planning project description	dbi project description	zoning_generalized	zoning_simplified	taz	total gsf (commercial)	office	cult, inst, educ	medical	prod, dist, rep	ret, ent	visitor	dbi permit	planning filed	dbi filed	landuse	status group	net added units	net added sf	net cult, inst, educ	net medical	net office	net prod, dist, rep	net ret, ent	net visitor	sitearea	block	lot	zoning	heightlimit	supdist	Location 1
4846018	BVHP Area A,B	BP ISSUED	05/23/2008 07:00:00 AM +0000	0		ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE	Industrial	PDR-2	892	7500	1000	0	0	6500	0	0	200405285091		05/28/2004 07:00:00 AM +0000	PDR	BP Approved/Issued/Re-Instated	0	7500	0	0	1000	6500	0	0	5036	4846	018	PDR-2	40-X	10	"1351 Yosemite Av
(37.724347, -122.387592)"
3747012	Rincon Hill	BP ISSUED	12/17/2010 08:00:00 AM +0000	69	CU to amend previous approval to rearrange the interior space to create more units.  VZ to reduce the required parking spaces from 70 to 51.  No change to buildig envelope.	PERMIT TO RECOMMENCE WORK ON PERMIT APPLICATIONS 9913300S AND 200507208180S - BUILD 69 UNIT RESIDENT	High Density Residential	RH DTR	767	0	0	0	0	0	0	0	201012086338	07/08/2004 07:00:00 AM +0000	12/08/2010 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	69	0	0	0	0	0	0	0	6434	3747	012	RH DTR	85/250-R	6	"325 Fremont St
(37.787693, -122.393033)"
3639004A	Mission	BP ISSUED	10/06/2011 07:00:00 AM +0000	3	The project is the demolition of a vacant 11,423-sf industrial building constructed in 1935 and the lot subdivision and construction of two residential buildings to total 43,649-sf and 62 units, in an Eastern Neighborhoods C-M zoning district.  Twelve per	1 STORY ADDITION OVER PART OF (E) 2 STORIES BUILDING NEW RESIDENTIAL AT 2ND & 3RD FLOOR. (3 UNITS) E	Mixed Use	UMU	170	0	0	0	0	0	0	0	201012307638	09/16/2004 07:00:00 AM +0000	12/30/2010 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	3	-11423	0	0	0	-11423	0	0	13625	3639	004A	UMU	40-X	9	"2660 Harrison St
(37.754893, -122.412271)"
2330005E	Outer Sunset	BP ISSUED	07/03/2008 07:00:00 AM +0000	1		VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM	Residential	RH-2	136	0	0	0	0	0	0	0	200411098885		11/09/2004 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3029	2330	005E	RH-2	40-X	4	"2243 19th Av
(37.745933, -122.476036)"
5880002	South Central, Other	BP APPROVED	03/29/2011 07:00:00 AM +0000	2	REAR YARD VARIANCE FOR NEW CONSTRUCTION OF A 2-UNIT BLDG.	DEMOLISH A 1 STORY HARDWARE RETAIL STORE	Residential	RM-1	92	0	0	0	0	0	0	0	200412010421	09/28/2006 07:00:00 AM +0000	12/01/2004 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	-2250	0	0	0	0	-2250	0	7169	5880	002	RM-1	40-X	9	"2350 San Bruno Av
(37.733184, -122.406229)"
4019002	Mission	BP ISSUED	05/29/2007 07:00:00 AM +0000	0	Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).	ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC	Industrial	PDR-1-G	538	5650	0	0	0	5650	0	0	200412272194	02/03/2005 08:00:00 AM +0000	12/27/2004 08:00:00 AM +0000	PDR	BP Approved/Issued/Re-Instated	0	5650	0	0	0	5650	0	0	6175	4019	002	PDR-1-G	68-X	6	"550 Alabama St
(37.762264, -122.412253)"
0343014	Downtown	BP REINSTATED	03/10/2009 07:00:00 AM +0000	32	Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.	ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING	Mixed Use	RC-4	296	3060	0	0	0	0	3060	0	200608230323	03/16/2005 08:00:00 AM +0000	08/23/2006 07:00:00 AM +0000	Mixres	BP Approved/Issued/Re-Instated	32	3060	0	0	0	0	3060	0	4744	0343	014	RC-4	80-120-T	6	"181 Turk St
(37.78292, -122.411966)"
4143008	Mission	BP ISSUED	03/12/2009 07:00:00 AM +0000	2		VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR	Residential	RH-2	171	0	0	0	0	0	0	0	200503298688		03/29/2005 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2500	4143	008	RH-2	40-X	9	"948 Hampshire St
(37.756913, -122.40785)"
3584007	Central	BP REINSTATED	02/06/2012 08:00:00 AM +0000	2	To demolish the existing structures on the lot and construct a new 4-story, 2-unit residential building in an RH-3 district.	ERECT  4 STORIES OF 2 SWELLING UNITS.	Residential	RH-3	201	0	0	0	0	0	0	0	200505031415	02/09/2006 08:00:00 AM +0000	05/03/2005 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2625	3584	007	RH-3	40-X	8	"530 Sanchez St
(37.760651, -122.430683)"
1453033	Richmond	BP ISSUED	01/13/2012 08:00:00 AM +0000	1		2 FAMILY RESIDENCES ADDITION & REMODELING	Residential	RM-1	677	0	0	0	0	0	0	0	200505273609		05/27/2005 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2991	1453	033	RM-1	40-X	1	"346 22nd Av
(37.781273, -122.481432)"
5475007	BVHP Area A,B	BP ISSUED	05/03/2007 07:00:00 AM +0000	2	Construction of  a new three-story, two-unit residential building with a two-car garage. A front yard variance is sought.	ERECT 3 STORIES, 2 DWELLING UNITS BUILDING.	Residential	RM-1	905	0	0	0	0	0	0	0	200507066945	09/01/2005 07:00:00 AM +0000	07/06/2005 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	3096	5475	007	RM-1	40-X	10	"6534 03rd St
(37.719316, -122.397354)"
5327038	BVHP Area A,B	BP ISSUED	03/29/2011 07:00:00 AM +0000	2		ERECT 2 DWELLING UNITS OF 4 STORIES.	Residential	RH-2	406	0	0	0	0	0	0	0	200507137493		07/13/2005 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	2500	5327	038	RH-2	40-X	10	"1665 Palou Av
(37.734545, -122.392226)"
3613018B	Mission	BP APPROVED	12/31/2008 08:00:00 AM +0000	3	Construct  two stories vertical  and  four stories  horizontal addition to the rear of  the existing two-story, single-family house. The  proposal would also add two dwelling units and an underground parking garage.  A rear yard variance is sought for the	ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L	Residential	RH-3	170	0	0	0	0	0	0	0	200507147539	11/10/2005 08:00:00 AM +0000	07/14/2005 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	1616	3613	018B	RH-3	40-X	9	"2986 22nd St
(37.755873, -122.414062)"
3594016	Mission	BP APPROVED	10/21/2010 07:00:00 AM +0000	6	Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.	TO ERECT 4 STORY 6 DWELLING UNITS	Mixed Use	NC-2	188	0	0	0	0	0	0	0	200512200747	08/23/2005 07:00:00 AM +0000	12/20/2005 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	6	-4750	0	0	0	-4750	0	0	4750	3594	016	NC-2	45-X	9	"3360 20th St
(37.758952, -122.416099)"
3726047	East SoMa	BP ISSUED	03/21/2012 07:00:00 AM +0000	14	Demolish existing structure and construct 14 residential dwelling units and 14 parking spaces. 	TO ERECT 14 DWELLING UNIT WITH 4 STORY BLDG	Mixed Use	RED	669	5425	0	0	0	5425	0	0	200509011813	10/20/2005 07:00:00 AM +0000	09/01/2005 07:00:00 AM +0000	Mixres	BP Approved/Issued/Re-Instated	14	-5425	0	0	0	-5425	0	0	5399	3726	047	RED	45-X	6	"537 Natoma St
(37.779476, -122.408324)"
3775172	East SoMa	BP ISSUED	03/19/2007 07:00:00 AM +0000	8	Conversion of 2nd floor office space to two dwelling units with less than the required square footage of private usable open space, and  no rear yard .  Open space and Rear yard variances are being sought.	PERMIT APPLICATION IS FOR	Mixed Use	SPD	693	0	0	0	0	0	0	0	200608028296	09/01/2005 07:00:00 AM +0000	08/02/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	5678	3775	172	SPD	40-X	6	"181 South Park St
(37.780815, -122.394743)"
5258001	Other S Bayshore	BP ISSUED	12/04/2007 08:00:00 AM +0000	1		TO ERECT 2 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING BUILDING.	Residential	RH-1	410	0	0	0	0	0	0	0	200512150450		12/15/2005 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3000	5258	001	RH-1	40-X	10	"1409 Hudson Av
(37.737993, -122.384954)"
0619012	Northeast	BP ISSUED	11/17/2008 08:00:00 AM +0000	35	The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two su	TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.	Mixed Use	RC-4	343	1625	0	0	0	0	1625	0	200602215057	12/20/2005 08:00:00 AM +0000	02/21/2006 08:00:00 AM +0000	Mixres	BP Approved/Issued/Re-Instated	35	1625	0	0	0	0	1625	0	9203	0619	012	RC-4	80-D	3	"1860 Van Ness Av
(37.792726, -122.422633)"
1417003A	Richmond	BP ISSUED	10/17/2007 07:00:00 AM +0000	2	NEW CONSTRUCTION OF 2-UNIT BUILDING	ERECT 4 STORY, TYPE 5, 2 UNITS RESIDENTIAL BUILDING.	Residential	RH-2	306	0	0	0	0	0	0	0	200512281113	02/28/2006 08:00:00 AM +0000	12/28/2005 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3000	1417	003A	RH-2	40-X	1	"227 16th Av
(37.783712, -122.475498)"
0274008	Northeast	BP REINSTATED	04/10/2008 07:00:00 AM +0000	23		CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL	Mixed Use	RC-4	333	0	0	0	0	0	0	0	200512301345		12/30/2005 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	23	0	0	0	0	0	0	0	4103	0274	008	RC-4	65-A	3	"850 Bush St
(37.789991, -122.411288)"
7060020	Ingleside, Other	BP ISSUED	09/03/2008 07:00:00 AM +0000	1		TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-1	26	0	0	0	0	0	0	0	200601051583		01/05/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3430	7060	020	RH-1	40-X	11	"192 Majestic Av
(37.71576, -122.453084)"
4829010	BVHP Area A,B	BP APPROVED	11/04/2008 08:00:00 AM +0000	8	Demolition of the existing 3,900 sq. ft. industrial building and subdivide the parcel into four lots. New construction of four- two unit duplexes on each newly created parcels.	four permits for four duplexes, 8 total	Residential	RH-2	388	0							200710044644	01/11/2006 08:00:00 AM +0000	10/04/2007 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	8	-3900				-3900			7670	4829	010	RH-2	40-X	10	"2105 Keith St
(37.727957, -122.390551)"
5810009	Bernal Heights	BP ISSUED	10/19/2007 07:00:00 AM +0000	2	Relocation of pre-1900 812 sf cottage. Construct 2252sf sf home with 2 car parking.	TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.	Residential	RH-1	87	0							200601132102	04/13/2007 07:00:00 AM +0000	01/13/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0							1710	5810	009	RH-1	40-X	9	"842 Moultrie St
(37.73435, -122.416373)"
6955014	South Central, Other	BP APPROVED	07/26/2007 07:00:00 AM +0000	8	Demolish existing commercial building on lot 15 and demolish existing two-story mixed use building on lot 14 and construct new mixed use building with 8 residential units 8 parking spaces and one commercial space. CU required for demolition of residential	DEMOLISH 2 STORIES OF 1 DWELLING UNIT.	Mixed Use	NC-3	48	2000	0	0	0	0	2000	0	200612290749	02/09/2006 08:00:00 AM +0000	12/29/2006 08:00:00 AM +0000	Mixres	BP Approved/Issued/Re-Instated	7	400	0	0	0	0	400	0	5018	6955	014	NC-3	65-A	11	"4722 Mission St
(37.722746, -122.436485)"
1069004	Richmond	BP ISSUED	08/01/2008 07:00:00 AM +0000	2	DEMOLITION SFD	ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING	Residential	RH-2	687	0	0	0	0	0	0	0	200602134511	05/29/2007 07:00:00 AM +0000	02/13/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	2967	1069	004	RH-2	40-X	2	"21 Wood St
(37.783935, -122.448837)"
5825007	Bernal Heights	BP REINSTATED	02/16/2012 08:00:00 AM +0000	6	Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	200603025880	07/10/2006 07:00:00 AM +0000	03/02/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	6	0	0	0	0	0	0	0	6313	5825	007	RH-2	40-X	9	"782-786 Andover St
(37.733671, -122.417086)"
5825009	Bernal Heights	BP REINSTATED	02/16/2012 08:00:00 AM +0000	2	Construction of three new two-unit buildings.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	200603025880	07/10/2006 07:00:00 AM +0000	03/02/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	6313	5825	009	RH-2	40-X	9	"794 Andover St
(37.733593, -122.41701)"
5825008	Bernal Heights	BP APPROVED	09/08/2010 07:00:00 AM +0000	2		ERECT 3 STORIES 2 DWELLING UNITS  BLDG.	Residential	RH-2	87	0	0	0	0	0	0	0	200603025881		03/02/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	2	0	0	0	0	0	0	0	1781	5825	008	RH-2	40-X	9	"790 Andover St
(37.733619, -122.417035)"
1729023Q	Outer Sunset	BP ISSUED	03/13/2007 07:00:00 AM +0000	2		VERTICAL ADDITION OF ADDING A 3RD STORY, 2ND UNIT.	Residential	RH-2	556	0	0	0	0	0	0	0	200604058365		04/05/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3000	1729	023Q	RH-2	40-X	4	"1242 22nd Av
(37.764478, -122.480246)"
3732087	East SoMa	BP REINSTATED	08/22/2011 07:00:00 AM +0000	1	Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.	VERTICAL ADDITION IN BUILDING. CONVERT PROPERTY TO RESIDENTIAL. REMODEL EXISTING 2 STORIES. ADD 1 NE	Mixed Use	MUR	628	0	0	0	0	0	0	0	201108112225	04/06/2006 07:00:00 AM +0000	08/11/2011 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	3000	3732	087	MUR	45-X	6	"457 Tehama St
(37.780007, -122.405495)"
4087037	Mission	BP ISSUED	04/30/2008 07:00:00 AM +0000	2	The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will n	REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.	Residential	RM-1	186	0	0	0	0	0	0	0	200604259790	11/03/2006 08:00:00 AM +0000	04/25/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2500	4087	037	RM-1	40-X	9	"2219 Bryant St
(37.758714, -122.409543)"
4786043	BVHP Area A,B	BP ISSUED	02/27/2008 08:00:00 AM +0000	0	To legalize Block 4786, lot 043, a triangular lot that neither meets lot area nor lot width zoning regulations.	TO ERECT 1 STORY WARE HOUSE.	Industrial	PDR-2	902	2175	0	0	0	2175	0	0	200606073397	10/16/2006 07:00:00 AM +0000	06/07/2006 07:00:00 AM +0000	PDR	BP Approved/Issued/Re-Instated	0	2175	0	0	0	2175	0	0	2900	4786	043	PDR-2	40-X	10	"1171 Revere Av
(37.727212, -122.382449)"
5476014	BVHP Area A,B	BP REINSTATED	12/21/2011 08:00:00 AM +0000	1	"Construction of 6 residential units on 4 floors of 40-foot high,  5721 sf building to be constructed on vacant lot.
====
Zoning: RM-1
To construct on this vacant triangular-shaped lot a new three-story-over-garage, six-unit building for seniors with three"	ERECT 3 STORIES 1 SINGLE FAMILY BUILDING.	Residential	RM-1	905	0	0	0	0	0	0	0	200611308862	06/22/2006 07:00:00 AM +0000	11/30/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2548	5476	014	RM-1	40-X	10	"3595 Keith St
(37.719186, -122.398654)"
5556019	Bernal Heights	BP REINSTATED	06/14/2010 07:00:00 AM +0000	1		TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-1	114	0	0	0	0	0	0	0	200607106046		07/10/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2046	5556	019	RH-1	40-X	9	"162 Brewster St
(37.744057, -122.407352)"
3211010A	South Central, Other	BP REINSTATED	01/25/2008 08:00:00 AM +0000	6	The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area. A	TO ERECT 4 STORY 6 DWELLING UNITS	Mixed Use	NC-1	55	0	0	0	0	0	0	0	200607186852	01/31/2007 08:00:00 AM +0000	07/18/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	6	0	0	0	0	0	0	0	4510	3211	010A	NC-1	40-X	11	"270 Ocean Av
(37.723334, -122.442279)"
1505027	Richmond	BP ISSUED	08/11/2009 07:00:00 AM +0000	2	"2007.0179: The proposal would demolish an existing single-family building constructed in 1906, and construct a new two-unit residential building.
2008.0271: new 4 story, 2 unit building"	TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING	Residential	RH-2	294	0							200608179803	03/06/2008 08:00:00 AM +0000	08/17/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0							2964	1505	027	RH-2	40-X	1	"536 40th Av
(37.778556, -122.500535)"
7088056	Ingleside, Other	BP APPROVED	12/13/2007 08:00:00 AM +0000	8	To construct a mixed-use building with 8 market rate residential units with 1:1 off-street parking, a residential care facility with 18 rooms to accomodate up to 36 occupants and two retail/commercial spaces on ground floor.	DEMOLISH 2 STORIES RETAIL AND OFFICE BUILDING.	Mixed Use	NC-1	25	6258		5285			973		200608290926	01/21/2010 08:00:00 AM +0000	08/29/2006 07:00:00 AM +0000	Mixres	BP Approved/Issued/Re-Instated	8	6258	5285				973		7503	7088	056	NC-1	40-X	11	"320 Randolph St
(37.714412, -122.465553)"
6620014	Central	BP APPROVED	10/28/2009 07:00:00 AM +0000	2	Demolish existing single-family house (built before 1900) and construct new two-unit dwelling.	ERECT 3 STORIES 2 DWELLING UNITS BLDG.	Residential	RH-2	113	0	0	0	0	0	0	0	200609152421	08/31/2006 07:00:00 AM +0000	09/15/2006 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2850	6620	014	RH-2	40-X	8	"440 29th St
(37.743644, -122.429833)"
8709004	Mission Bay	BP ISSUED	06/03/2008 07:00:00 AM +0000	0	Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Missi	ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.	Mixed Use	MB-RA	653	245000	245000						200711097802	09/29/2006 07:00:00 AM +0000	11/09/2007 08:00:00 AM +0000	MIPS	BP Approved/Issued/Re-Instated	0	245000			245000				150407	8709	004	MB-RA	MB-RA	6	"1600 Owens St
(37.769169, -122.394204)"
8720016	Mission Bay	BP ISSUED	04/23/2010 07:00:00 AM +0000	0	Section 321 allocation for a total of up to 373,487 gsf of office development for three new buildings with approximately 380,999 gsf, 7,512 sf of ground floor retail space and 689 off-street parking spaces (to be located off-site on adjacent Block 27). Bu	NEW 10 STORY BLDG FOR OFFICE, LAB AND RETAIL CORE AND SHELL	Commercial	C-3-G	650	380999	373499				7500		200806104062	10/05/2006 07:00:00 AM +0000	06/10/2008 07:00:00 AM +0000	MIPS	BP Approved/Issued/Re-Instated	0	380999			373499		7500		364862	3837	007	C-3-G	150-S/320-S	6	"1455 03rd St
(37.771035, -122.389378)"
6168012	South Central, Other	BP ISSUED	12/31/2009 08:00:00 AM +0000	2	RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.	ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	30	0	0	0	0	0	0	0	200611036814	10/19/2006 07:00:00 AM +0000	11/03/2006 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	4097	6168	012	RH-1	40-X	10	"71 Bishop St
(37.718302, -122.404121)"
