PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Mixres	APN 3725093	5M	925 MISSION ST	PL APPROVED	01/04/2016	-1	688	688	58	58				2011.0409	Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.	617900	574800	17300	-23600	0	0	593500	591300	0	0	7100	7100	0	0	07/27/2011				KGUY	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Central SoMa / Downtown	160-F	C-3-S	DOWNTOWN SUPPORT	(37.78215365350, -122.40660110900)
Mixres	APN 3746001	201 FOLSOM ST	LUMINA	CONSTRUCTION	01/06/2016	-1	669	669	0	0	201207124717	Multiple Permits		2000.1073	Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa	23505	23505	0	0	0	0	0	0	0	0	23505	23505	0	0	07/11/2002				MSNYDER	South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Rincon Hill	85/200-R	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	(37.78841302600, -122.39151585000)
Resident	APN 3737012	245 01ST ST		BP ISSUED	12/10/2015	-1	603	603	0	0	201412234418	"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL"	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/23/2014					Financial District	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Transbay / Transit Center District	50/85/550-TB	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	(37.78790011200, -122.39459403900)
Resident	APN 4991075	5 THOMAS MELLON CIRCLE		PL FILED	10/06/2015	0	591	591	0	0				2015-009690PRJ	The project consists of demolishing an existing office building and surface parking lot and constructing a new residential development. The project is being submitted in conformity to the Executive Park Subarea Plan of the Bayview Hunters Point Area Plan	732481	633281	0	0	0	0	0	-99200	0	0	732481	732481	0	0	10/06/2015				SMENDRIN	Bayview	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point / Executive Park	65/240-EP	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY	(37.70999248450, -122.39379120000)
Mixres	APN 3505001	1601 - 1637 MARKET ST / 53 COLTON ST	LOCAL 38 PLUMBERS UNION HALL SITE	PL FILED	07/10/2015	0	584	584	107	107				2015-005848PRJ	"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hal"	36571	36571	0	0	0	0	27296	27296	0	0	9275	9275	0	0	07/10/2015					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	(37.77389146360, -122.42002993000)
Resident	APN 3911001	1 HENRY ADAMS ST		CONSTRUCTION	12/23/2015	-1	560	560	0	0	201306250394	Multiple Permits	APARTMENTS	2012.0701	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	0	15000	0	0	0	0	0	0	0	0	0	15000	0	0	05/31/2012	Robert Meyers	Robert Meyers	415-788-2777	DSIDER	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	68-X	UMU	URBAN MIXED USE	(37.76920143310, -122.40347298500)
Mixres	APN 3783001	801 BRANNAN ST		CONSTRUCTION	01/14/2016	-1	557	557	55	55	201309045886	ERECT 6-STORY, 437 DWELLING UNITS, TYPE 1A& 3A, RESIDENTIAL/RETAIL/PAQRKING BUILDING.	APARTMENTS	2012.07	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	8000	8000	0	0	0	0	0	0	0	0	8000	8000	0	0	05/31/2012	Bay West	Robert Me	415 788-2	JKUGLER	South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Showplace Square/Potrero Hill (EN)	68-X	UMU	URBAN MIXED USE	(37.77182385610, -122.40388263300)
Mixres	APN 3506002	1500-1580 MISSION ST	GOODWILL SITE	PL FILED	04/29/2015	0	550	550	110	110				2014-000362PRJ	The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residentia	513000	477318	0	0	0	0	462000	447009	0	-5700	51000	36009	0	0	10/23/2014	Related California Urban Housing		415-677-9000	KGUY	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia / Downtown	85-R-2	C-3-G	DOWNTOWN- GENERAL	(37.77433484280, -122.41800098600)
Resident	APN 3702391	TRINITY PLAZA, PHASE III	33 08TH ST	CONSTRUCTION	12/21/2015	-1	550	550	83	83	201209069080	ERECT 19 STORIES, 6 BASEMENT WITH RESIDENTIAL & COMMERCIAL BUILDING.				0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/06/2012					South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Downtown	240-S	C-3-G	DOWNTOWN- GENERAL	(37.77792576790, -122.41301348400)
Resident	APN 3736120	TRANSBAY BLOCK 9	500 FOLSOM ST	BP FILED	03/11/2015	0	545	545	0	0	201503110506	TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT BUILDING.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/11/2015					Financial District	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Transbay / Transit Center District	50/165/400-TB	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	(37.78720355450, -122.39510677100)
Mixres	APN 3702308	TRINITY PLAZA, PHASE IV	1169 MARKET ST	PL APPROVED	11/20/2015	-1	501	501	74	74	201511203265	TO ERECT 18 STORIES, 6 BASEMENTS, 501 UNITS RESIDENTIAL, RETAIL WITH PARKING BUILDING.				30000	30000	0	0	0	0	0	0	0	0	30000	30000	0	0	11/20/2015					South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Downtown	240-S	C-3-G	DOWNTOWN- GENERAL	(37.77844093530, -122.41347916200)
Mixres	APN 3833001	1000 16TH ST	POTRERO1010	CONSTRUCTION	12/24/2015	-1	470	470	94	94	201112070227			2003.0527	The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th	26500	26500	0	0	0	0	0	0	0	0	26500	26500	0	0	05/18/2000	Andy Stewart	Daniel Murphy	(650)359-535	KDURANDE	South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	68-X	UMU	URBAN MIXED USE	(37.76710834150, -122.39659516800)
Mixres	APN 3747320	399 FREMONT ST		CONSTRUCTION	01/07/2016	-1	452	452	0	0	200605161774	ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.		2002.0449	The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.	33000	-2256	0	0	0	0	24500	24500	0	-35256	8500	8500	0	0	04/18/2006	Katie Haley	Lucian Robert Blazej	415.695.1111	MSNYDER	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Rincon Hill	85/400-R	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	(37.78732243240, -122.39222370700)
Mixres	APN 0857001	55 LAGUNA ST		CONSTRUCTION	01/14/2016	-1	450	450	160	160	201209059006			2004.0773	Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for	3500	28090	0	12590	0	12000	0	0	0	0	3500	3500	0	0	10/31/2006	Ruthy Bennett	Ruthy Bennett	510-267-4679	JKUGLER	Western Addition	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista	Market and Octavia	40-X	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	(37.77234985470, -122.42627864400)
Mixres	APN 0814001	150 VAN NESS AV		PL FILED	04/23/2014	0	429	429	50	50				2013.0973	The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the	9000	-127558	0	0	0	0	0	-136558	0	0	9000	9000	0	0	10/25/2013	Marc Babsin	Marc Babsin	415-489-1313	GMOSQUER	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Market and Octavia / Downtown	120-R-2	C-3-G	DOWNTOWN- GENERAL	(37.77730065810, -122.41829544700)
Mixres	APN 3756003	350 08TH ST		CONSTRUCTION	11/02/2015	-1	410	410	62	62	201307303137	TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.		2007.1035	Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf	61700	56700	0	0	0	0	0	0	8700	3700	53000	53000	0	0	09/07/2007	Amir Massih	Amir Massih	415 503 2207	DSANCHEZ	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN) / South of Market	55/65-X	WMUG	WSOMA MIXED USE-GENERAL	(37.77369416470, -122.40965844200)
Resident	APN 3736078A	57 TEHAMA ST		CONSTRUCTION	12/31/2015	-1	403	403	0	0	201404304554	TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,				0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/30/2014	Birmingha	During As	415 986-0	JKUGLER	Financial District	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Transbay / Transit Center District / Downtown	360-S	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	(37.78739474860, -122.39609331300)
Resident	APN 8711021	1300 04TH ST		BP FILED	07/27/2015	0	143	143	0	0	201507272485	CONSTRUCT (N) RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES, RETAIL & RESTAURANT SHELL SPACE	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/27/2015					South of Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Mission Bay	MB-RA	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	(37.77140195950, -122.39177164800)
Resident	APN 3736074	41 TEHAMA ST		PL APPROVED	11/14/2013	-1	398	398	49	49				2013.0256	The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/08/2013	Nancy Clark	Nancy Clark	415-536-2883	JKUGLER	Financial District	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Transbay / Transit Center District / Downtown	360-S	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	(37.78697805360, -122.39662239800)
Resident	APN 0345017	351V TURK ST & 145 LEAVENWORTH ST	361 TURK ST	PL APPROVED	04/30/2014	-1	137	137	16	16				2012.1531		0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/13/2012				KCONNER	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown		80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	(37.78237567640, -122.41490512900)
Mixres	APN 3949001	1200 17TH ST		PL FILED	04/04/2012	0	395	395	0	0				2011.13	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;	24468	-85032	0	0	0	0	0	-4500	0	-105000	24468	24468	0	0	04/04/2012	Attn: Indrajit Obeysekere	Jay Murphy	415-833-1231	WWIETGRE	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	68-X	UMU	URBAN MIXED USE	(37.76612470880, -122.39547306100)
Resident	APN 3740030	TRANSBAY BLOCK 1	160 FOLSOM ST	BP FILED	06/25/2014	0	390	390	141	141	201406259481	TO ERECT 40 STORIES, 2 BASEMENTS, 390 UNITS RESIDENTIAL & RETAIL BUILDING.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/25/2014					Financial District	PERMIT TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Transbay / Transit Center District	50/85/300-TB	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	(37.78973655000, -122.39175327300)
Resident	APN 2636001	1530 - 1585  5TH AV		PL FILED	10/22/2015	0	460	374	55	55				2014.1584	Demolition of all buildings on site, reconfiguration of 5th Avenue ROW, construction of new streets/utilities, construction of new 6 apartment buildings.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/15/2014				KUCHIDA	Inner Sunset	CASE TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	(37.75936797800, -122.46064763000)
Mixres	APN 3748006	340 FREMONT ST		BP FILED	08/03/2012	-1	355	355	0	0	201208036505	TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.		2004.0552	Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.	2350	-42650	0	0	0	0	0	-45000	0	0	2350	2350	0	0	09/19/2005	Oyster Development Corp.	Andrew Junius	567-9000	JKUGLER	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Rincon Hill	85/250-R	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	(37.78711960580, -122.39323121600)
Mixres	APN 3505016	30 OTIS ST		PL FILED	01/11/2016	0	354	354	0	0				2015-010013PRJ	"The proposed project consist of demolition of the existing buildings and construction of a new approximately 250-foot tall mixed use building (the ""Project"").  The Project will feature 354 dwelling units on the top of 26 floors of the building.  Approxim"	17725	-32275	13125	3125	0	0	0	-15000	0	-15000	4600	-5400	0	0	09/28/2015					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia / Downtown	85-X	C-3-G	DOWNTOWN- GENERAL	(37.77291691490, -122.41939483400)
Resident	APN 3553052	1979 MISSION ST		BP FILED	12/17/2013	0	351	351	0	0	201312174382	ERECT 10-STORY MIXED-USE NEW BUILDING.	APARTMENTS	2013.1543	Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2013				DVU	Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	55-X	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	(37.76558137550, -122.41912307000)
Resident	APN 4105009	800 INDIANA ST		PL FILED	10/10/2013	0	340	340	0	0				2011.1374	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.	0	-78240	0	0	0	0	0	0	0	-78240	0	0	0	0	10/10/2013	Lou Vasquez	Joe Kirchofer	415-284-9080	RSUCRE	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Central Waterfront (EN)	58-X	UMU	URBAN MIXED USE	(37.75919640330, -122.39172904700)
Mixres	APN 4005001B	1601 - 1677 MARIPOSA STREET / 485 CAROLINA		PL FILED	07/09/2015	0	320	320	0	0				2012.1398	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	5265	5265	0	0	0	0	0	0	0	0	5265	5265	0	0	11/02/2012					Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	UMU	URBAN MIXED USE	(37.76293307420, -122.39899152800)
Resident	APN 3767305	429 BEALE ST	430 MAIN ST	PL FILED	11/10/2015	0	140	140	0	0			APARTMENTS	2014-002033PRJ		0	-2300	0	0	0	0	0	-2300	0	0	0	0	0	0	11/24/2014					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market	Rincon Hill	84-X	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	(37.78724763460, -122.39039559400)
Mixres	APN 0342001	950 MARKET ST		PL FILED	05/28/2014	0	316	316	0	0				2013.1049	The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim	229000	169834	0	0	0	0	24000	24000	0	0	15000	-6321	190000	152155	11/19/2013	Michelle  Lin	Michelle  Lin	394-9018	MHUE	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Downtown	120-X	C-3-G	DOWNTOWN- GENERAL	(37.78317543300, -122.40956831700)
Resident	APN 7330001	PARKMERCED, PHASE I	55 CHUMASERO DR	BP FILED	11/09/2015	0	313	313	0	0	201511092111	ERECT 14-STORY, TYPE 1-A, 3 BASEMENTS, 313 DWELLING UNITS RESIDENTIAL BUILDING.	APARTMENTS	2014.137		0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/09/2015					Lakeshore	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside	Parkmerced	65-PM	PM-R	PARKMERCED-RESIDENTIAL	(37.71373569250, -122.47204319800)
Mixres	APN 3701021	1270 MISSION ST		PL FILED	05/28/2015	0	312	312	0	0				2014.0926	The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199	3530	2338	0	0	0	0	0	0	0	0	3530	2338	0	0	06/13/2014					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Downtown	120-X	C-3-G	DOWNTOWN- GENERAL	(37.77680707690, -122.41452279000)
Mixres	APN 0350003	1066 MARKET ST		PL FILED	06/18/2014	0	304	304	0	0				2013.1753	The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim	4540	-526	0	0	0	0	0	0	0	0	4540	-526	0	0	06/18/2014	Thomas Hart	Thomas Hart	772-7000	IWILSON	Downtown/Civic Center	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Downtown	Downtown	120-X	C-3-G	DOWNTOWN- GENERAL	(37.78179900670, -122.41174159100)
Resident	APN 7326001	PARKMERCED, PHASE I	1208 JUNIPERO SERRA BL	BP FILED	10/26/2015	0	299	299	0	0	201510260810	ERECT A 299 RESIDENTIAL 17 STORY TYPE 1-A BUILDING.	APARTMENTS	2014.137		0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/26/2015					Lakeshore	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside	Parkmerced	65-PM	PM-R	PARKMERCED-RESIDENTIAL	(37.71602945580, -122.47317010600)
Resident	APN 3954016	1301 16TH STREET		PL FILED	09/16/2013	0	276	276	0	0				2013.0698	The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The	0	-38600	0	0	0	0	0	0	0	-38600	0	0	0	0	09/16/2013	William Mollard	William Mollard	409-9267	CTEAGUE	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	68-X	UMU	URBAN MIXED USE	(37.76584514550, -122.40023935600)
