PROJECT_TYPE	APN	NAMEADDR	PHASE	ALIAS	ENTITLEMENT	BESTSTAT	BESTDATE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	DA	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	HEIGHT_DISTRICT	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	PUBLICREALM	STATUS	Location
Resident	APN 4172028	1133 TENNESSEE ST			0	BP FILED	09/18/2015	3	1	0	0				2015-012830PRJ	The proposed project would establish a new dwelling unit for a total of three dwelling units, and undertake exterior alterations, including: Restoration of Primary Facade/Facade Alterations: The project would restore the primary facade facing Tennessee S	201509187456	NEW HORIZONTAL ADDITION AT REAR OF (E) 3 STORY BLDG, REMODEL + EXPANSION OF 2 (E) TOP FLOOR UNITS, & RENOVATION OF (E) GARAGE & ADDITION OF (N) 1 BEDROOM DWELLING UNIT, 2 (E) TOP UNITS HAVE 1 REMODELED KITCHEN & 1 REMODELED BATH, PLUS 1.5 BATHS EACH. NEW	$400000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE		ROBERT T NOELKE 2012 TR		Potrero Hill	NCT-2	Mixed Use	NEIGHBORHOOD COMMERCIAL TRANSIT-2	40-X	SUPERVISORIAL DISTRICT 10	South of Market	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	(37.75723293780, -122.38887559300)
Retail/Ent	APN 0669008	1138 SUTTER ST			0	BP FILED	10/27/2016	0	0	0	0				2016-014683PRJ	CHANGE OF USE FROM OFFICE TO LIMITED SERVICE RESTAURANT. PARTIAL REMODEL OF THE TENANT SPACE ON GROUND LEVEL OF AN EXISTING FIVE-STORY BUILDING. THIS PROJECT CREATES A NEW LIMITED RESTAURANT AND NEW COMMERCIAL KITCHE AREA. N/A FOR MAHER ORDINANCE NO.155-	201610271282	CHANGE OF USE FROM OFFICE TO LIMITED SERVICE RESTAURANT. PARTIAL REMODEL OF THE TENANT SPACE ON GROUND LEVEL OF AN EXISTING FIVE-STORY BUILDING. THIS PROJECT CREATES A NEW LIMITED RESTAURANT AND NEW COMMERCIAL KITCHE AREA. N/A FOR MAHER ORDINANCE NO.155-	$150000.00	FOOD/BEVERAGE HNDLNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL	Lemaris Bakery		9178363646	Downtown/Civic Center	NCD	Mixed Use	POLK STREET NEIGHBORHOOD COMMERCIAL	65-A	SUPERVISORIAL DISTRICT 3	Downtown				(37.78813187220, -122.41922818400)
Resident	APN 1220020	114 LYON ST			0	BP FILED	03/14/2016	2	-2	0	0				2016-003836PRJ	NO WORK. WE ARE APPLYING FOR A MERGER TO LEGALIZE THE USE THAT HAS BEEN IN PLACE FOR APPROX 20 YEARS.	201603141965	NO WORK. WE ARE APPLYING FOR A MERGER TO LEGALIZE THE USE THAT HAS BEEN IN PLACE FOR APPROX 20 YEARS.	$1.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LAJELLO	LEVY LESTER J & TILBURY MARY C LEVY	LEVY LESTER J & TILBURY MARY C		Haight Ashbury	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 5	Buena Vista				(37.77213770410, -122.44202276400)
Resident	APN 7138056	115 - 117 PLYMOUTH AV			1	BP ISSUED	08/26/2016	4	2	0	0				2014	Demolition of two-family dwelling and construction of four-family dwelling.	201407252206	CONSTRUCT NEW 3-STORY, 4-UNIT APARTMENT.	$1518640.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MSMITH	David Madfes	David Madfes	602	Ocean View	NC-1	Mixed Use	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	SUPERVISORIAL DISTRICT 11	Ingleside				(37.71196969180, -122.45623165200)
Resident	APN 0105065	115 TELEGRAPH HILL BL			1	BP ISSUED	08/10/2016	3	3	0	0				2015-006908PRJ	TO ERECT 4 STORIES, 1 BASEMENT, TYPE I/V B, 3 UNITS RESIDENTIAL BUILDING.	201505227051	TO ERECT 3 STORIES, 2 BASEMENTS, TYPE I/V B,  3 UNITS RESIDENTIAL BUILDING.	$4750000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASBAGHCL		115 TELEGRAPH LLC		North Beach	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 3	Northeast				(37.80160159300, -122.40575006200)
Resident	APN 4211011	1152 POTRERO AV			1	BP ISSUED	01/05/2017	3	2	0	0				2015-002632PRJ	HORIZONTAL & VERTICAL ADDITION TO EXISTING SINGLE HOME TO 3 UNIT APARTMENT BUILDING AND TWO CAR GARAGE.	201502249220	HORIZONTAL & VERTICAL ADDITION TO EXISTING SINGLE HOME TO 3 UNIT APARTMENT BUILDING AND TWO CAR GARAGE.	$950000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS		GARCIA BARTOLO		Mission	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75370945060, -122.40674426000)"
Resident	APN 6571017	1153 CAPP ST			0	BP FILED	05/31/2016	2	1	0	0						201605318684	TO LEGALIZATION OF DWELLING UNITS PER ORDINANCE 43-14. ADD STOVE & ASSOCIATED PIPING TO LEGALIZE IN LAW.	$300.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL				Mission	NCT	Mixed Use	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.74842537210, -122.41729503700)"
Resident	APN 5618007	116 ELSIE ST			1	CONSTRUCTION	03/03/2017	1	1	0	0						201411191947	TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.	$687500.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MPUTRA				Bernal Heights	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.74282279530, -122.41789962500)
Resident	APN 5643035	116 VIRGINIA AV			1	CONSTRUCTION	12/16/2016	2	1	0	0				2016-008517PRL	the project proposes a change of use from a single family dwelling to a two family dwelling. Please note there is no change to the building's envelope - slight changes to the rear fa├ºade only. All work is interior. Please note this is an approval for a	201606291163	INTERIOR BUILD OUT OF DWELLING UNIT AT GROUND FLOOR - KITCHEN & BATHROOM REMODEL, ADD BATHROOM AT UPPER UNIT	$200000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EOROPEZA	BLACK FRANK ANDREW	BLACK FRANK ANDREW		Bernal Heights	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.74227561250, -122.41989370500)
Resident	APN 0252011	1160 PINE ST			1	BP FILED	02/04/2015	18	3	0	0				2015-001806PRJ	INSTALLATION OF (3) NEW RESIDENTIAL UNITS FOR A TOTAL OF (18) UNITS.	201502047491	INSTALLATION OF (3) NEW RESIDENTIAL UNITS FOR A TOTAL OF (18) UNITS.	$80000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CGROB		CITY RING 1 LLC		Nob Hill	RM-4	Residential	RESIDENTIAL- MIXED, HIGH DENSITY	65-A	SUPERVISORIAL DISTRICT 3	Northeast				(37.79061672760, -122.41494618500)
Resident	APN 4757047	1167 PALOU AV			0	BP FILED	10/28/2014	2	1	0	0						201410280026	LEGALIZE IN LAW UNIT AT 1ST FLOOR PER ORINANCE 43-14. (1 BEDROOM, 1 BATHROOM, KITCHEN, LIVING, AND OFFICE)	$57944.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NFOSTER				Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.72918617920, -122.38299497600)
Resident	APN 2630017	1167 STANYAN ST			1	BP ISSUED	09/25/2013	1	1	0	0				2008	Existing 2-story 2-family dwelling 22-feet in height and a 1-story single-family unit 15-feet in height. Proposed two 3-story single-family dwellings with 7 total off-street parking spaces.	200803288274	TO ERECT SINGLE FAMILY DWELLING	$848879.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GCABRERO				Inner Sunset	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 5	Inner Sunset				(37.76294430830, -122.45256816400)
Resident	APN 2630018	1169 STANYAN ST			1	BP ISSUED	09/25/2013	2	2	0	0						200803288288	New construction of two residential units, 3 STORIES.	$944647.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GCABRERO				Inner Sunset	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 5	Inner Sunset				(37.76287312180, -122.45255312500)
MIPS	APN 3755029	1170 HARRISON ST			0	BP FILED	08/11/2016	0	0	0	0				2015-016239PRJ	The Project Sponsor proposes to make interior alterations to the existing building at 1170 Harrison Street.  The project involves transforming the existing one-story warehouse with a mezzanine into two-stories of office space.  There will be no expansion	201608114745	SITE PERMIT FOR CHANGE OF USE FROM PDR TO OFFICE, ADDITION OF NEW SECOND LEVEL OFFICE WITHIN(E) HISTORIC BUILDING STRUCTURE. MECHANICAL, ELECTRICAL, PLUMBING, LIFE SAFETY AND FIRE SPRINKLERS TO BE SUBMITTED UNDER SEPARATE PERMITS. N/A FOR MAHER ORDINANCE	$2500000.00	OFFICE	19025	19025	0	0	0	0	19025	19025	0	0	0	0	0	0	VBYRD	Reuben, Junius & Rose, LLP		4155679000	South of Market	WMUG	Mixed Use	WSOMA MIXED USE-GENERAL	55-X	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77439854450, -122.40813195500)
Mixres	APN 3730023	1174 - 1178 FOLSOM ST			1	BP ISSUED	07/18/2016	42	42	0	0				2012	The proposed project would involve merging two existing lots, demolition of two existing two-story structures, and the constuction of new 6 story, 65' tall building with basement parking. The proposed project would include retail on the first floor, offi	201508265383	ERECT 6-STORY, 1 BASEMENT FOR 42 DWELLING UNITS, RETAIL AND OFFICE BUILDING. TYPE 3-A CONSTRUCTION. MAHER ORDINANCE IS COMPLY.	$8300000.00	APARTMENTS	9888	288	0	0	0	0	5908	5908	0	-9600	3980	3980	0	0	JKUGLER	Erik Liu	Erik Liu	314-8700	South of Market	NCT	Mixed Use	FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT	65-X	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77571411710, -122.40974319500)
Resident	APN 6522027	1179 TREAT AV			0	PL FILED	11/08/2016	0	0	0	0				2016-002426PRJ	Lot subdivision to permit the conversion of a garage within the rear yard to a residential use.			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	MCHRISTE	Bary Bell & Associates		4159025400	Mission	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75143651280, -122.41258374900)"
Resident	APN 3636027	1181 VALENCIA ST			1	CONSTRUCTION	01/18/2017	3	1	0	0				2014-000347PRJ	Remodel and legalize ground floor dwelling unit.	201403100278	REMODEL & LEGALIZE RESIDENTIAL 3RD UNIT AT THE GROUND FLOOR. COMPLIANCE WITH ORDINANCE NO. 155-13 NOT REQUIRED. Sprinklers (NFPA-13R for unit, NFPA-13 for garage) on deferred submittal.	$78000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON	Ernie Selander			Mission	NCT	Mixed Use	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75406554320, -122.42048735400)"
Resident	APN 4757014	1187 PALOU AV			0	BP FILED	11/10/2015	2	1	0	0						201511102336	LEGALIZE GROUND FLOOR KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. REMOVE ILLEGAL KITCHEN IN THE 2ND FL PER PLAN. COMPLY WITH NOV #201569102, NOV #201569673, NOV #201567632.	$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN				Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.72938577590, -122.38334664700)
Resident	APN 6534029	1225 DOLORES ST			1	BP ISSUED	04/03/2015	3	3	0	0						200703307744	TO ERECT 4 STORIES, SINGLE FAMILY DWELLING.	$928000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MSMITH				Mission	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Mission	Mission District Streetscape Plan		Adopted	"Y
(37.74983703080, -122.42453984800)"
Mixres	APN 3726103	119 07TH ST			1	CONSTRUCTION	03/24/2017	39	39	0	0	Fee Payment			2012	A new 8-story residential development consisting of 48 dwelling units, 1 level of below-grade parking with 15 spaces, and 2,795 sf of ground floor retail.	201406249298	ERECT NEW MIXED-USED 8 STORY 39 RESIDENTIAL UNITS APARTMENT/PARKING LOT. MAHER ORDINANE IS NOT REQUIRED.	$17237620.00	APARTMENTS	1974	-30426	0	0	0	0	0	0	0	0	1974	1974	0	-32400	RSUCRE	Nicole Belcore	Andrew J. Junius	415 567-9000	South of Market	MUG	Mixed Use	MIXED USE-GENERAL	85-X	SUPERVISORIAL DISTRICT 6	Downtown	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77907287020, -122.41031238000)
Resident	APN 7085017	119 VERNON ST			0	BP FILED	02/06/2014	1	1	0	0						201402067966	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	$200000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TKENNEDY				Ocean View	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 11	Ingleside				(37.71468291870, -122.46827829900)
Resident	APN 6482021	1192 NAPLES ST			1	BP ISSUED	08/23/2016	2	1	0	0				2016-001214PRJ	UNIT LEGALIZATION ORDINANCE# 43-14. LEGALIZE 1ST FLOOR DWELLING UNIT.	201601227793	UNIT LEGALIZATION ORDINANCE# 43-14. LEGALIZE 1ST FLOOR DWELLING UNIT.	$14280.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	ANDREW & CINDY LY 2006 REVOC TR LY	ANDREW & CINDY LY 2006 REVOC TR		Crocker Amazon	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 11	South Central				(37.71224299630, -122.43791319900)
Visitor	APN 0043007	1196 COLUMBUS AV			0	PL FILED	10/16/2015	0	0	0	0				2014-002849PRJ	Demolition of existing 5,750 sq ft single-story retail bldg and construct new four-story bldg for use as a hotel.  Existing building is vacant and last occupied by Tower Records.  40 ft high and 27,274 gsf.  Project would add 75 hotel rooms, lobby and gr			$0.00		27274	21533	0	0	0	0	0	0	0	0	0	-5741	27274	27274	KGUY	Reuben, Junius and Rose, LLP		4155679000	North Beach	C-2	Commercial	COMMUNITY BUSINESS	40-X	SUPERVISORIAL DISTRICT 3	Northeast				(37.80502256300, -122.41659744000)
Mixres	APN 3635014	1198 VALENCIA ST			1	CONSTRUCTION	03/23/2017	49	49	6	6	On-site BMR Project	Ownership		2012	Demo gas station structure and construct 42 dwelling units over commercial ground floor.	201507141495	CONSTRUCT (N) 5-STORY 52 RESIDENTIAL MIXED USE BUILDING	$14888000.00	APARTMENTS	5050	4610	0	0	0	0	0	0	0	-440	5050	5050	0	0	DVU				Mission	NCT	Mixed Use	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75393177210, -122.42118351400)"
Resident	APN 6511018	1199 DOLORES ST			1	CONSTRUCTION	02/16/2017	3	1	0	0				2016-007319PRJ	RENOVATE DWELLING UNIT @ 1/FL. CONSIST LIVING/DINING AREA, KITCHEN & BATH. NEW UNIT TO BE FULLY SPRINKLERS (1/FL ONLY). REMODEL KITCHEN AT UNIT 1197 @ 2/FL. REPLACE WINDOWS @1/FL & 2/FL, FACING THE STREET. INFILL @ LIGHTWELL.	201605177697	RENOVATE AND ADD BATH @ DWELLING UNIT @ 1/FL. CONSIST LIVING/DINING AREA, KITCHEN & BATH. NEW UNIT TO BE FULLY SPRINKLERS (1/FL ONLY). REMODEL KITCHEN AT UNIT 1197 @ 2/FL. REPLACE WINDOWS @1/FL & 2/FL, FACING THE STREET. INFILL @ LIGHTWELL,	$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	CROWLEY MARK A CROWLEY	CROWLEY MARK A		Mission	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Mission	Mission District Streetscape Plan		Adopted	"Y
(37.75039338160, -122.42463055700)"
Resident	APN 5406004	12 NEPTUNE ST			0	BP FILED	01/19/2017	1	1	0	0				2017-001498PRJ	CONVERT (E) GARAGE SPACE INTO A ACCESSORY DWELLING UNIT PER ORDINANCE NO 162-16.	201701197464	CONVERT (E) GARAGE SPACE INTO A ACCESSORY DWELLING UNIT PER ORDINANCE NO 162-16.	$35000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALEXANDE	LIU WAI ON RUAN JIN ZHAO	LIU WAI ON & RUAN JIN ZHAO		Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.73084841530, -122.39725038000)
Mixres	APN 0691005	1200 VAN NESS AV			0	BP FILED	09/26/2016	95	95	0	0				2015-012577PRJ	The proposed project will be the construction of 130' high, 13-story, 272,796 gsf mixed use (retail/commercial/residential) building with a parking garage for 357 cars in five below grade levels.  The proposed project will have retail which may include a	201609299193	"TO ERECT 13 STORIES, 5 BASEMENTS, 95 UNITS RESIDENTIAL, COMMERCIAL, RETAIL & PARKING BUILDING.
** MAHER: N/A **"	$96500000.00	APARTMENTS	137749	38046	0	0	0	0	109045	55560	0	0	28704	-17514	0	0	VBYRD	Duane Morris, LLC	Alice Barkley	415-957-6116	Downtown/Civic Center	RC-4	Mixed Use	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	130-V	SUPERVISORIAL DISTRICT 3	Downtown	Van Ness Corridor			(37.78694361070, -122.42098583800)
