PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	BP_APPLNO	PROPUSE	PLN_DESC	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FILEDATE	PLANNER	APPLICANT	CONTACT	CONTACTPH	SOURCE	Supe_District	PLAN_AREA	PLAN_DISTRICT	NEIGHBORHOOD	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	Location
Mixres	APN 0857001	55 Laguna Street		CONSTRUCTION	07/30/2015	-1	2004.0773	201209059006		Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for		450	450	160	160	3500	28090	0	12590	0	12000	0	0	0	0	3500	3500	0	0	10/31/2006	JKUGLER	Ruthy Bennett	Ruthy Bennett	510-267-4679	CASE TRACKING	D8	Market and Octavia	Buena Vista	Western Addition	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	40-X	(37.77234985560, -122.42627864400)
Mixres	APN 0814001	150 VAN NESS AVE		PL FILED	04/23/2014	0	2013.0973			The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the		429	429	0	0	9000	-127558	0	0	0	0	0	-136558	0	0	9000	9000	0	0	10/25/2013	GMOSQUER	Marc Babsin	Marc Babsin	415-489-1313	CASE TRACKING	D6	Market and Octavia; Downtown	Downtown	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120-R-2	(37.77730065810, -122.41829544500)
Mixres	APN 3756003	350 08TH ST		CONSTRUCTION	07/30/2015	-1	2007.1035	201307303137		Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf	TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.	410	410	62	62	61700	56700	0	0	0	0	0	0	8700	3700	53000	53000	0	0	09/07/2007	DSANCHEZ	Amir Massih	Amir Massih	415 503 2207	CASE TRACKING	D6	Western SoMa (EN); South of Market	South of Market	South of Market	WMUG	WSOMA MIXED USE-GENERAL	55/65-X	(37.77369416660, -122.40965844000)
Resident	APN 3736078A	57 TEHAMA ST		BP REINSTATED	07/20/2015	-1		201404304554			TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,	403	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JKUGLER	Birmingha	During As	415 986-0	CASE TRACKING	D6	Transbay; Transit Center District; Downtown	South of Market	Financial District	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	360-S	(37.78739474860, -122.39609331300)
Resident	APN 3736074	41 TEHAMA ST		PL APPROVED	11/14/2013	-1	2013.0256			The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p		398	398	49	49	57927	39052	0	0	0	0	0	0	0	0	0	0	0	0	08/08/2013	JKUGLER	Nancy Clark	Nancy Clark	415-536-2883	CASE TRACKING	D6	Transbay; Transit Center District; Downtown	South of Market	Financial District	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	360-S	(37.78697805450, -122.39662239800)
Mixres	APN 3748006	340 FREMONT ST		BP FILED	08/03/2012	-1	2004.0552	201208036505		Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.	TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.	355	355	0	0	2350	-42650	0	0	0	0	0	-45000	0	0	2350	2350	0	0	05/12/2006	JKUGLER	Oyster Development Corp.	Andrew Junius	567-9000	CASE TRACKING	D6	Rincon Hill	South of Market	South of Market	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	85/250-R	(37.78711960580, -122.39323121400)
Resident	APN 3553052	1979 MISSION ST		BP FILED	12/17/2013	0	2013.1543	201312174382	APARTMENTS	Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements	ERECT 10-STORY MIXED-USE NEW BUILDING.	351	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		DVU				PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	(37.76558137550, -122.41912306800)
Resident	APN 3749059	45 LANSING ST	Jasper	CONSTRUCTION	07/14/2015	-1	2004.0481	201009140800	APARTMENTS	Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.	TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.	320	320	0	0	0	-14000	0	0	0	0	0	-15000	0	0	0	1000	0	0	05/19/2004	JKUGLER	Ezra Mersey	James A. Reuben	567-9000	CASE TRACKING	D6	Rincon Hill	South of Market	South of Market	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	65/400-R	(37.78587343080, -122.39374874100)
Mixres	APN 0342001	950 MARKET ST		PL FILED	11/19/2013	0	2013.1049			The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim		316	316	0	0	229000	169834	0	0	0	0	24000	24000	0	0	15000	-6321	190000	152155	11/19/2013	MHUE	Michelle  Lin	Michelle  Lin	394-9018	CASE TRACKING	D6	Downtown	Downtown	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120-X	(37.78317543390, -122.40956831600)
Mixres	APN 3701021	1270 MISSION ST		PL FILED	05/28/2015	0	2014.0926			The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199		312	312	0	0	3530	2338	0	0	0	0	0	0	0	0	3530	2338	0	0	06/13/2014					CASE TRACKING	D6	Downtown	Downtown	South of Market	C-3-G	DOWNTOWN- GENERAL	120-X	(37.77680707880, -122.41452278800)
Mixres	APN 0350003	1066 MARKET ST		PL FILED	06/18/2014	0	2013.1753			The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim		304	304	0	0	4540	-526	0	0	0	0	0	0	0	0	4540	-526	0	0	06/18/2014	IWILSON	Thomas Hart	Thomas Hart	772-7000	CASE TRACKING	D6	Downtown	Downtown	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120-X	(37.78179900770, -122.41174159000)
Mixres	APN 3708006	50 01ST ST		PL FILED	06/04/2014	0	2006.1523			The project site consist of three undeveloped lots and four buildings ranging from five to seven stories, totaling approx. 251,000 sq. ft. of office, retail, and commercial uses. There are no off-street parking or loading on the site. The proposed projec		292	292	0	0	1970000	1704000	0	0	0	0	1050000	806000	0	0	310000	288000	610000	610000	12/21/2006	KGUY	Mark Solit	Joel Yodowitz	415 567-9000	CASE TRACKING	D6	Transit Center District; Downtown	Downtown	Financial District	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	850-S-2	(37.78990468770, -122.39832080100)
Resident	APN 3954016	1301 16TH STREET		PL FILED	09/16/2013	0	2013.0698			The proposed project would involve demolition of an existing one-story warehouse and construction of a new 7-story, residential building.  The building would consist of 7 residential levels with 276 units, ground floor parking and mechanical spaces. The		276	276	0	0	0	-38600	0	0	0	0	0	0	0	-38600	0	0	0	0	09/16/2013	CTEAGUE	William Mollard	William Mollard	409-9267	CASE TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	68-X	(37.76584514460, -122.40023935500)
Resident	APN 4022001	2070 BRYANT ST		PL FILED	06/12/2014	0	2013.0677	201406239109	APARTMENTS	The proposed project is the demolition of the 50,000 sf warehouse building at 2070 Bryant Street and construction of a new 6-story residential building with garage parking using conventional parking and parking stackers. The proposed project would constr		274	271	0	0	0	-50000	0	0	0	0	0	0	0	-50000	0	0	0	0	06/12/2014	RSUCRE	Nick Podell	Linsey Perlov	415-296-8800	CASE TRACKING	D9	Mission (EN)	Mission	Mission	UMU	URBAN MIXED USE	68-X	(37.76149953700, -122.41058132900)
Resident	APN 8710004	718 LONG BRIDGE ST	Arden	CONSTRUCTION	07/15/2015	-1		201212246822	APARTMENTS		ERECT 16 STORIES & 263 DWELLING APARTMENT & PARKING.	263	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/24/2012	JBANALES				PERMIT TRACKING	D6	Mission Bay	South of Market	South of Market	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	MB-RA	(37.77142446960, -122.39436281500)
Mixres	APN 0647007	1634-1690 PINE ST		CONSTRUCTION	07/30/2015	-1	2011.1306	201312184508		1) Merge the six exiting assessor's lots, 2) demolish the existing five industrial/comercial bldgs. on the site and possibly maintain/incorporate some of the existing bldgs. facades into the new project and 3) construct a residential bldg. with some comm		260	260	31	31	4886	6666	0	0	0	0	0	0	0	0	4886	6666	0	0	09/28/2007	SSANCHEZ	AIS	AIS	415.215.6	CASE TRACKING	D2	Van Ness Corridor	Western Addition	Western Addition	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	130-E	(37.78959297530, -122.42295080900)
Mixres	APN 0794028	555 FULTON ST		CONSTRUCTION	07/14/2015	-1	2005.1085	201305036062	APARTMENTS		TO ERECT 5 STORIES OF 139 DWELLING UNITS, RETAIL, PARKING, STORAGE OFFICE UTILITY, ASSEMBLY	139	139	17	17	32800	13180	0	0	0	0	0	0	0	-19620	32800	32800	0	0		MJACINTO				PERMIT TRACKING	D5	Market and Octavia	Western Addition	Western Addition	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X/50-X	(37.77816804190, -122.42575227900)
Mixres	APN 4172022	1201-1225 TENNESSEE STREET		CONSTRUCTION	07/27/2015	-1	2012.0493	201312234917		Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.	ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.	259	259	34	34	5078	-139594	0	0	0	0	0	0	0	-79336	5078	-60258	0	0	04/11/2013	CTEAGUE	Morton Rothman	Jesse Herzog	775-7005	CASE TRACKING	D10	Central Waterfront (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	68-X	(37.75592797410, -122.38860297300)
Resident	APN 4167011	1395 22nd St		PL FILED	01/13/2014	0	2011.0671			The proposed project includes the construction of a mixed-use building with 251 dwelling units, 29,780 sq.ft of PDR, and 205 off-street parking spaces.		251	251	0	0	72856	72856	0	0	0	0	0	0	0	0	0	0	0	0	01/13/2014	BFU	Redmond Lyons	Redmond Lyons	415-810-3791	CASE TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	PDR-1-G	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL	40-X	(37.75620342330, -122.39359366900)
Mixres	APN 0813007	1390 MARKET ST		PL APPROVED	05/28/2009	-1	2005.0979		APARTMENTS	Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo		230	230	0	0	17500	-1500	0	0	0	0	0	-9500	0	0	17500	8000	0	0	10/19/2005	DLEWIS				PERMIT TRACKING	D6	Market and Octavia; Downtown	Downtown	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120-R-2	(37.77722361250, -122.41736136100)
Mixres	APN 3514043	1601 MISSION ST		PL FILED	02/11/2015	0	2014.1121			Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.		220	220	0	0	9900	5471	9900	5471	0	0	0	0	0	0	0	0	0	0	07/17/2014	TCHANG				CASE TRACKING	D6	Market and Octavia; Downtown	Mission	South of Market	C-3-G	DOWNTOWN- GENERAL	120-R-2	(37.77204073220, -122.41876324800)
Resident	APN 3703059	1095 MARKET ST		BP FILED	09/11/2014	0		201409116118	TOURIST HOTEL/MOTEL		CHANGE OF OCCUPANCY FROM OFFICE TO HOTEL. NEW 202 HOTEL ROOMS. NEW ROOF DECK. ADD NEW STORY WITHIN (	202	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		CGROB				PERMIT TRACKING	D6	Downtown	Downtown	South of Market	C-3-G	DOWNTOWN- GENERAL	90-X	(37.78032868840, -122.41201361100)
Mixres	APN 0350002	1028 MARKET ST		PL FILED	04/29/2014	0	2014.0241		CLUB	The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t		186	186	0	0	9675	9675	0	0	0	0	0	0	0	0	9675	9675	0	0	04/29/2014	DDWYER	Sally Maxwell	Sally Maxwell	883-0133	CASE TRACKING	D6	Downtown	Downtown	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120-X	(37.78188348190, -122.41132333400)
Mixres	APN 3706093	706 MISSION ST		PL APPROVED	07/31/2013	-1	2008.1084	201312204747		The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i		185	185	0	0	174400	25570	0	0	0	0	0	-119330	0	0	174400	144900	0	0	10/26/2012	SJONES	Sean Jeffries	Sean Jeffries	593-1100	CASE TRACKING	D6	Yerba Buena; Central SoMa; Downtown	Downtown	Financial District	C-3-R	DOWNTOWN- RETAIL	400-I	(37.78620609680, -122.40253249000)
Mixres	APN 0831023	PARCEL P - MARKET OCTAVIA		CONSTRUCTION	12/31/2014	-1	2011.0744	201210051462		Mixed Use Development - Residential over podium garage, approx. 182 units of apartments, 126 spaces maximum parking garage, leasing fitness and 3,900 sq.ft. corner retail space (at Octavia & Laguna Streets) in Hayes NCT, RTO Districts.	TO ERECT 5 STORIES, 182 UNITS APARTMENT, RETAIL & PARKING BUILDING.	182	182	0	0	3897	3897	0	0	0	0	0	0	0	0	3897	3897	0	0	08/03/2011	KGUY	Meg Spriggs	Meg Spriggs	415-284-9087	CASE TRACKING	D5	Market and Octavia	Western Addition	Western Addition	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	50-X	(37.77496211090, -122.42511956400)
Mixres	APN 0836002	1540 MARKET ST		PL FILED	02/27/2009	0	2009.0159			Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial build		180	180	0	0	34091	-13252	0	0	0	0	15281	-22827	0	0	18810	9575	0	0	02/27/2009	CROOS	Richard Johnson	Andrew Junius	415 567 9000	CASE TRACKING	D5	Market and Octavia; Downtown	Buena Vista	Downtown/Civic Center	C-3-G	DOWNTOWN- GENERAL	120/400-R-2	(37.77521496080, -122.41960726000)
Resident	APN 0671006	1450 FRANKLIN ST		CONSTRUCTION	04/14/2015	-1		200809252660	APARTMENTS		"ERECT A 13 STORIES 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING;
DEMOLISH A 2 STORY AUTO SALES AND SERVICE GARAGE"	69	69	9	9	0	-24000	0	0	0	0	0	0	0	0	0	-24000	0	0						PERMIT TRACKING	D2		Western Addition	Western Addition	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	130-E	(37.78805629210, -122.42325307300)
Mixres	APN 4886008	Hunters Point Expy	Bayview Waterfront	PL APPROVED	08/03/2010	-1	2007.0946			Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,		10500	10237	3345	3089	4110000	4110000	0	0	0	0	2756250	2756250	393750	393750	750000	750000	210000	210000	01/11/2010	JNAVARRE	SF Redevelopment Agency	Nicole Franklin		CASE TRACKING	D10	Bayview Hunters Point; Candlestick Point	South Bayshore	Bayview	P	PUBLIC	OS	(37.71468788590, -122.38030238900)
Mixres	APN 0855016	1700 MARKET ST		PL APPROVED	06/22/2015	-1	2013.1179			43 unit,  8 story residential building with ground floor commerical.		42	42	0	0	1474	-1926	0	0	0	0	0	0	0	0	1474	-1926	0	0	07/02/2014	TCHANG	Warner Schmalz	Warner Schmalz	415-252-7063	CASE TRACKING	D5	Market and Octavia	Buena Vista	Western Addition	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	85-X	(37.77295341530, -122.42244714200)
Mixres	APN 7303001	3711 19th Ave	Parkmerced	PL APPROVED	05/25/2011	-1	2008.0021			Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastru		8898	5677	284	284	521450	478383	0	0	0	0	91390	80615	0	0	430060	397768	0	0	12/07/2009	EWATTY	Seth Mallen	Barbara Sahm	415.536.2883	CASE TRACKING	D7	Parkmerced	Ingleside	Lakeshore	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.72122008190, -122.48361033900)
Mixres	APN 5087003	SCHLAGE LOCK	Schlage Lock Project	PL APPROVED	07/22/2014	-1	2014.114			Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.		1679	1679	252	252	38000	38000	0	0	0	0	18000	18000	0	0	20000	20000	0	0	07/22/2014	CFLORES				manual	D10	Schlage Lock	South Bayshore	Visitacion Valley	MUG	MIXED USE-GENERAL	57-X	(37.71165296750, -122.40222246200)
Mixres	APN 9900048	PIER 48	Seawall Lot 337 / Mission Rock	PL FILED	04/23/2013	0	2013.0208			The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 s		1500	1500	0	0	1950000	1950000	0	0	0	0	1700000	1700000	0	0	250000	250000	0	0	06/04/2013	TSHEYNER	Jon Knorpp	Jon Knorpp	972-1760	CASE TRACKING	D6		South of Market	South of Market	M-2	HEAVY INDUSTRIAL	40-X	(37.77570376350, -122.38613510900)
Mixres	APN 4110001	PIER 70	Waterfront Site	PL FILED	02/10/2015	0	2014-001272PRJ			"The proposed project would involve development of a 28-acre site into a mixed-use development, including parks, roads, and infrastructure. Below is a breakdown of the use types of the pier 70-waterfront site development. 

Residential ? Development of"		1100	1100	0	0	3449050	3449050	0	0	0	0	2024050	2024050	468000	468000	0	0	0	0	11/10/2014	ACONTRER		Forest City Development California	415)(	CASE TRACKING	D10	Central Waterfront (EN)	South of Market	Potrero Hill	M-2	HEAVY INDUSTRIAL	65-X	(37.75975413610, -122.38699351400)
Mixres	APN 4167004	HOPE SF Potrero	HOPE SF Potrero	PL FILED	06/30/2010	0	2010.0515		APARTMENTS	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new		1600	994	0	0	30000	30000	0	0	0	0	10000	10000	0	0	20000	20000	0	0	06/30/2010	MSNYDER				PERMIT TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	(37.75582048020, -122.39514414500)
Mixres	APN 6310001	HOPE SF Sunnydale	HOPE SF Sunnydale	PL FILED	04/28/2010	0	2010.0305			The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentitie		1700	915	1700	915	88700	59424	0	0	0	0	0	0	0	0	88700	59424	0	0	04/28/2010	MSNYDER				manual	D10		South Central	Visitacion Valley	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	(37.71308743010, -122.41899015200)
Mixres	APN 3953002	88 ARKANSAS ST		PL FILED	03/25/2015	0	2015-000453PRJ			Priority Processing application for both Affordable Housing and LEED Platinum.  The proposed project at 88 Arkansas Street proposes to demolish two existing single-story buildings on separate lots in order to build a new five story 127-unit Type 1 reside		146	146	25	25	3275	3275	3275	3275	0	0	0	0	0	0	0	0	0	0	01/14/2015	KCONNER	Fifth Historic Properties, LLC/Mart	Julie Heinzler	415-348-4644	CASE TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	48-X	(37.76535613160, -122.39904772400)
