PROJECT_TYPE	APN	NAMEADDR	Alias	Entitled	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLENET	SECTION415	AFF_TARGET	TENURE_TYPE	DA	CASENO	PLN_DESC	BPAPPLNO	BP_DESC	COST	EXISTUSE	PROPUSE	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	VISIT_EXIST	VISIT	VISITNET	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEWNEIGHBO	Zoning_Simplified	Zoning_Generalized	ZONING	HEIGHTLIMIT	SUPDIST	PLNGAREA	Location
Mixres	APN 3506004	10 SOUTH VAN NESS AV		FALSE	PL FILED	04/11/2016 12:00:00 AM	855	855							2015-004568PRJ	New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, with						28100	-71900	0			0			0			0			100000	28100	-71900	0			VBYRD											(37.7742576599, -122.4194869995)
Mixres	APN 3725093	5M	925 MISSION ST	TRUE	PL APPROVED	01/04/2016 12:00:00 AM	688	688	58	58	On-site BMR Project; Land Dedication	90% AMI; 	Ownership	5M	2011.0409	Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.						617900	574800	0	17300	-23600	0			0	593500	591300	0			0	7100	7100	0			KGUY											(37.7821540833, -122.4066009521)
Resident	APN 4591C001	HUNTERS POINT SHIPYARD		TRUE	PL APPROVED	10/09/2014 12:00:00 AM	634	634						HPS I	2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I		Multiple Permits				0	0	0			0			0			0			0			0			AA CONV											(37.7298355103, -122.37084198)
Mixres	APN 4991075	EXECUTIVE PARK - YERBY CO.	5 THOMAS MELLON CIRCLE	TRUE	PL APPROVED	12/01/2016 12:00:00 AM	586	586	72	72	On-site BMR Project 	90% AMI; 	Ownership/Rental		2015-009690PRJ	The project consists of demolishing an existing office building and surface parking lot and constructing a new residential development. The project is being submitted in conformity to the Executive Park Subarea Plan of the Bayview Hunters Point Area Plan,	MULTIPLE					6730	-93270	0			0			99200	0	-99200	0			800	6730	5930	0			SMENDRIN	Michael Liu	OCEAN LANDING LLC	4154454558								(37.7099914551, -122.3937911987)
Mixres	APN 3505001	1601 - 1637 MARKET ST / 53 COLTON ST	LOCAL 38 PLUMBERS UNION HALL SITE	FALSE	PL FILED	07/10/2015 12:00:00 AM	584	584	107	107					2015-005848PRJ	"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hall"						36571	36571	0			0			0	27296	27296	0			0	9275	9275	0			VBYRD	Strada Brady, LLC		4152724387								(37.773891449, -122.4200286865)
Resident	APN 1032003	3333 CALIFORNIA ST		FALSE	PL FILED	10/07/2016 12:00:00 AM	558	558							2015-014028PRJ	Demolish annex building and surface parking lots, reuse existing office building as residential with ground floor commercial uses, construct three (3) 45 foot tall residential and retail mixed-use buildings, construct a 30-45 foot tall office building, an						0	0	0			0			0			0			0			0			BBENDIX	Prado Group, Inc.		4153950880								(37.7860984802, -122.448387146)
Mixres	APN 3737012	TRANSBAY BLOCK 8	245 01ST ST	TRUE	CONSTRUCTION	09/25/2017 12:00:00 AM	546	546	150	150		50% AMI; 	Rental	Transbay Zone 1			201412234418	"TO ERECT 56 STORIES TOWER, 2.5 BASEMENT, 9 STORIES ELEMENT HIGH RISE bUILDING, WITH 546 UNITS RESIDENTIAL, RETAIL & PARKING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIED; ROUTE TO DPH **"	207680000		APARTMENTS	0	0	0			0			0			0			0			0			MSMALL											(37.7878990173, -122.3945922852)
Resident	APN 3736120	TRANSBAY BLOCK 9	500 FOLSOM ST	TRUE	CONSTRUCTION	09/11/2017 12:00:00 AM	545	545	109	109		50% AMI; 	Rental	Transbay Zone 1			201503110506	TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT WITH COMMERCIAL MIXED USE BUILDING.	189838000		APARTMENTS	0	0	0			0			0			0			0			0														(37.7872047424, -122.3951034546)
Mixres	APN 3506002	1500 - 1580 MISSION ST	GOODWILL SITE	TRUE	BP APPROVED	09/07/2017 12:00:00 AM	540	540	110	110		50% AMI; 	Rental		2014-000362PRJ	The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residential	201606200387	TO ERECT 16 STORIES, 2 BASEMENT, OFFICE BUILDING & 39 STORIES, 2 BASEMENT, 540 RESIDENTIAL UNITS BUILDING. BOTH BUILDINGS ARE OVER A SHARED TWO LEVEL SUBTERRANEAN BASEMENT PARKING GARAGE. (R-2,B,A-3,I-4,S-2)	400000000		APARTMENTS	605300	518318	0			0			14991	567300	552309	57000	0	-57000	14991	38000	23009	0			KGUY	Related California Urban Housing		415-677-9000								(37.7743339539, -122.4179992676)
Resident	APN 3702391	TRINITY PLAZA	33 08TH ST	TRUE	CONSTRUCTION	02/21/2017 12:00:00 AM	540	540	82	82	On-site BMR Project 	55% AMI; 	Rental	Trinity Plaza	2002.1179	The proposed project is to demolish the existing 263,602gsf, 377 unit apartment complex and construction of a 1,500,000gsf three connected residential buildings over a 2-story podium, containing about 1,410 dwelling units, 20,000gsf of ground-floor retail	201209069080	ERECT 19 STORIES, 6 BASEMENT WITH RESIDENTIAL & COMMERCIAL BUILDING.	133333000		APARTMENTS	0	0	0			0			0			0			0			0			TCHANG											(37.7779273987, -122.4130172729)
Mixres	APN 3702308	TRINITY PLAZA	1169 MARKET ST	TRUE	BP ISSUED	10/24/2016 12:00:00 AM	501	501	74	74	On-site BMR Project 		Rental	Trinity Plaza	2002.1179	The proposed project is to demolish the existing 263,602gsf, 377 unit apartment complex and construction of a 1,500,000gsf three connected residential buildings over a 2-story podium, containing about 1,410 dwelling units, 20,000gsf of ground-floor retail	201511203265	TO ERECT 18 STORIES, 6 BASEMENTS, 501 UNITS RESIDENTIAL, RETAIL WITH PARKING BUILDING.	177300000		APARTMENTS	30000	30000	0			0			0			0			0	30000	30000	0			TCHANG											(37.7784423828, -122.413482666)
Mixres	APN 3787026	655 04TH ST		FALSE	PL FILED	05/17/2016 12:00:00 AM	449	449							2014-000203PRJ	Demolition of existing structures.  New project will provide 2 below grade levels of parking with +/-100 stalls, +/-10,000 sq.ft. of retail at the ground floor and residential units above.  The residential component will include a tower sitting on an 85 f						40000	-20000	0			0			0			0			60000	40000	-20000	0			VBYRD	655 4th Property Holder, LP	Tishman Speyer	295-4501								(37.7777175903, -122.3952484131)
Mixres	APN 3783001	801 BRANNAN ST		TRUE	CONSTRUCTION	09/28/2017 12:00:00 AM	434	434	55	55	On-site BMR Project 		Rental		2012.0700	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,0	201309045886	"TO ERECT 6 STORIES, NO BASEMENT, 434 DWELLING UNITS, TYPE 1A & 3A, RESIDENTIAL/RETAIL/PARKING BUILDING. 
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	127060484		APARTMENTS	31420	-133129	0			0			0			164549	0	-164549	0	31420	31420	0			JKUGLER	Bay West	Robert Me	415 788-2	Showplace Sq. & Potr	UMU	Mixed Use	UMU	68-X	6		(37.7718238831, -122.4038848877)
Mixres	APN 0814001	150 VAN NESS AV		TRUE	CONSTRUCTION	09/21/2017 12:00:00 AM	431	431	50	50	On-site BMR Project 	55% AMI; 	Rental		2013.0973	The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the 	201406138394	ERECT 13 STORIES ,431 DWELLING UNITS.	108000000		APARTMENTS	9000	-127558	0			0			0	0	-136558	0			0	9000	9000	0			GMOSQUER	Marc Babsin	Marc Babsin	415-489-1313		C-3-G	Commercial	C-3-G	120-R2	6		(37.7773017883, -122.418296814)
Mixres	APN 3732100	921 HOWARD ST		FALSE	PL FILED	03/29/2017 12:00:00 AM	205	205	205	205					2017-000275PRJ	The proposed project includes construction of a new 180' High-Rise, eighteen story, mixed-use residential tower and podium containing approximately 205 residential units. Off-street parking will be located at the ground floor with access from Tehama St. a						4999	-14869													19868	4999	-14869					5th and Howard Associates, L.P.		4153583921								(37.780834198, -122.405166626)
Mixres	APN 3505016	30 OTIS ST		FALSE	BP FILED	11/28/2016 12:00:00 AM	404	404							2015-010013PRJ	"The proposed project consist of demolition of the existing buildings and construction of a new approximately 250-foot tall mixed use building (the ""Project"").  The Project will feature 354 dwelling units on the top of 26 floors of the building.  Approxima"	201611283577	TO ERECT 27 STORIES, 2 BASEMENT, 404 RESIDNETIAL UNITS, REATIL, BALLET SCHOOL & COMMERCIAL.	99200000		APARTMENTS	18263	-31737	0	13125	3125	0			0	0	-15000	0	0	-15000	10000	5138	-4862	0			TCHANG	Reuben, Junius and Rose, LLP		4155679000								(37.7729187012, -122.4193954468)
Resident	APN 3736074	41 TEHAMA ST		TRUE	CONSTRUCTION	09/11/2017 12:00:00 AM	403	403	49	49	On-site BMR Project 	90% AMI; 	Ownership	Transbay Zone 2	2013.0256	The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet pa	201404304554	TO ERECT 35 STORIES, 3 BASEMENT, 403 RESIDENTIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,M,H-3,S-2)	106869000		APARTMENTS	0	0	0			0			0			0			0			0			KGUY	Nancy Clark	Nancy Clark	415-536-2883	Transbay	C-3-O(SD)	Commercial	C-3-O(SD)	360-S	6		(37.7869796753, -122.3966217041)
Mixres	APN 0331016	231 ELLIS ST		FALSE	PL FILED	01/24/2006 12:00:00 AM	400	400	400	400					2002.1077	The proposed project involves the demolition of seven buildings containing a mixture of commercial, residential and retail uses totaling about 105,000gsf and construction of a 735,000gsf affordable housing complex containing 11,000gsf of office space, 11,			120000000			22000	22000		0	0		0	0		11000	11000		0	0		11000	11000		0	0	TBLOMGRE	Glide Eco	Glide Eco	415 923 4	Rest of the City	RC-4	Mixed Use	RC-4	80-130-T	6		(37.7848815918, -122.4102554321)
Mixres	APN 3949001	901 16TH ST	1200 17TH ST	TRUE	PL APPROVED	05/12/2016 12:00:00 AM	395	395	42	42	On-site BMR Project; Fee Payment		Rental 		2011.1300	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street; 			141000000			24468	-85032	0			0			0	0	-4500	0	0	-105000	0	24468	24468	0			WWIETGRE	Attn: Indrajit Obeysekere	Jay Murphy	415-833-1231	Showplace Square & Potr	UMU	Mixed Use	UMU	68-X	10		(37.7661247253, -122.3954696655)
Mixres	APN 3740030	TRANSBAY BLOCK 1	160 FOLSOM ST	TRUE	CONSTRUCTION	09/25/2017 12:00:00 AM	390	390	156	156		100% AMI; 120% AMI; 	Ownership	Transbay Zone 1			201406259481	TO ERECT 40 STORIES, 2 BASEMENTS, 390 UNITS RESIDENTIAL & RETAIL BUILDING.	195723000		APARTMENTS	0	0	0			0			0			0			0			0							Transbay			C-3-O(SD)/TB DTR				(37.7897377014, -122.3917541504)
Mixres	APN 3755023	1144 - 1150 HARRISON ST		FALSE	PL FILED	12/02/2016 12:00:00 AM	381	381							2016-001738PRJ	Demolition of a 2-story, 76,345 sf brick masonry building occupied by German Motors Collision Center and construction of a 65' tall mixed-use development with 3,000 sf ground floor retail, 381 residential units, 30,580 sf open space, 404 bicycle parking s						3000	-72625										75625	0	-75625	0	3000	3000					1140 Harrison Associates, LP		9254902990								(37.7749824524, -122.4078445435)
Mixres	APN 3763001	400 - 416 02ND ST		FALSE	PL FILED	04/29/2016 12:00:00 AM	377	377							2012.1384	Demolition of existing 1-to-4 story buildings and construction of 3 new buildings.						819400	672928	0			0			0	535000	421516	0	32988	0	0	47412	47412	0	204000	204000	AA CONV											(37.7838973999, -122.3952331543)
Mixres	APN 3786014	330 TOWNSEND ST		FALSE	PL FILED		374	374							2016-009102PRJ	Demo existing 2 story & partial basement Office Building. Construct new mixed-use retail and residential building 31 stories tall and approximately 300 feet in height. The proposed project includes 374 dwelling units, 11,500 square feet of retail space, a						11500	11500													0	11500	11500															(37.77684021, -122.3960800171)
Mixres	APN 3721013	524 HOWARD ST		TRUE	PL APPROVED	12/07/2015 12:00:00 AM	334	334	50	50	On-site BMR Project 	55% AMI; 	Rental	Transbay Zone 1	2013.0882	The proposed project is to replace the existing surface parking lot at 524 Howard Street (Block 3721, Lot 013) with a 48-story, 495-foot tall residential tower with 300,052 square feet of residential uses over 1,470 square feet of ground floor retail uses						7800	7800													0	7800	7800				AA CONV											(37.7882232666, -122.3970184326)
Mixres	APN 3553052	1979 MISSION ST		FALSE	BP FILED	12/17/2013 12:00:00 AM	331	331	40	40					2013.1543	Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements 	201312174382	ERECT 10-STORY MIXED-USE NEW BUILDING.	82125960		APARTMENTS	34198	-2558	0			0			0			0			36756	34198	-2558	0			DVU					Mission St NCT	Neighborhood Commercial	Mission St NCT	55-X/105-E	9		(37.7655830383, -122.4191207886)
Mixres	APN 3735012	95 HAWTHORNE ST		FALSE	PL FILED	09/28/2016 12:00:00 AM	330	330							2016-001794PRJ	The project proposes to demolish the existing non-historic office building and construct a new 32 story above ground building featuring residential units and amenities above approximately 8,000 square feet of ground floor retail. The Project proposes 330 			0			4026	-80349			0			0		0	-84375			0		4026	4026			0	VBYRD	Trammell Crow Residential		4153813001								(37.7850494385, -122.397895813)
Resident	APN 4591C001	CANDLESTICK POINT (BP FILED)		TRUE	BP FILED	10/27/2015 12:00:00 AM	328	328						CP HPS II	2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	MULTIPLE	Multiple Permits				0	0	0			0			0			0			0			0			AA CONV											(37.7298355103, -122.37084198)
Resident	APN 4105009	800 INDIANA ST	AVALON DOGPATCH	TRUE	CONSTRUCTION	09/28/2017 12:00:00 AM	326	326			Fee Payment 				2011.1374	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage. 	201406259383	"TO ERECT 5 STORIES, 1 BASEMENT, 326 DWELLING UNITS RESIDENTIAL, PARKING, ACCESSORY USES BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	115000000		APARTMENTS	0	-74847	0			0			0			74847	0	-74847	0			0			RSUCRE	Lou Vasquez	Joe Kirchofer	415-284-9080		UMU	Mixed Use	UMU	58-X	10		(37.7591972351, -122.3917312622)
Mixres	APN 0350003	1066 MARKET ST		TRUE	PL APPROVED	03/17/2016 12:00:00 AM	304	304	36	36	Land Dedication				2013.1753	The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxima	201406128212	TO ERECT 14 STORIES, 2 BASEMENT, 304 RESIDENTIAL & RETAIL BUILDING.	86400000		APARTMENTS	4540	-526	0			0			0			0			0	4540	-526	0			IWILSON	Thomas Hart	Thomas Hart	772-7000	Mid-Market	C-3-G	Commercial	C-3-G	120-X	6		(37.7817993164, -122.4117431641)
Mixres	APN 0836002	1500 MARKET ST	ONE OAK	FALSE	BP FILED	03/17/2016 12:00:00 AM	300	300							2009.0159	Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial buildi	201612094535	ERECT 40 STORIES OF 300 DWELLING UNIT MIX USE TYPE ONE CONTRATION.	156880000		APARTMENTS	3120	-46005								0	-48225					3120	2220				TCHANG	Richard Johnson	Andrew Junius	415 567 9000								(37.7752151489, -122.4196090698)
Mixres	APN 3701021	1270 MISSION ST		TRUE	BP FILED	11/30/2016 12:00:00 AM	299	299	64	64	On-site BMR Project 	55% AMI; 90% AMI; 	Rental		2014.0926	The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199 	201611303826	ERECT 20 STORIES, TYPE I CONSTRUCTION, 299 DWELLING UNIT MIX USE RESIDENTAILA/COMMERCIAL.	81500000		APARTMENTS	2012	820	0			0			0			0			1192	2012	820	0			AA CONV											(37.7768058777, -122.4145202637)
Mixres	APN 3786035	636 - 648 04TH ST		FALSE	PL FILED	09/16/2015 12:00:00 AM	271	271							2015-003880PRJ	Demolish two existing one and two story commercial buildings and general advertising billboard.  Construct 350 foot tall primarily residential tower with 427 units and ground floor commercial space.  The project would provide 119 parking spaces, and 3,165						4450	-9940	0			0			5000	0	-5000	0			9390	4450	-4940	0			VBYRD	Solbach Property Group		4156377373								(37.7777290344, -122.3962402344)
Resident	APN 4167013	1395 22ND ST		TRUE	BP ISSUED	05/18/2017 12:00:00 AM	256	256		0							201512145054	"TO ERECT 8 STORIES, 1 BASEMENT, 256 RESIDNETIAL, INDUSTRIAL BUILDING. 
(R-2,A-3,F-1,S-2)
** MAHER: N/A **"	80000000		APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE											(37.7569770813, -122.394744873)
Mixres	APN 0342001	950 - 974 MARKET ST		TRUE	BP APPROVED	04/19/2017 12:00:00 AM	242	242			Land Dedication 				2013.1049	The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxima	201602089004	AT BLOCK 0342, LOT 001 & 014. ERECT 12-STORY, TYPE 1, 2 BASEMENT, 470 UNITS, CONDO, HOTEL, RETAIL BUILDING.	114272000		TOURIST HOTEL/MOTEL	229000	169834	0			0			0	24000	24000	0			0	15000	-6321	0	190000	152155	MHUE	Michelle  Lin	Michelle  Lin	394-9018		C-3-G	Commercial	C-3-G	120-X	6		(37.7831764221, -122.4095687866)
Mixres	APN 0714016	1001 VAN NESS AV		TRUE	PL APPROVED	10/21/2016 12:00:00 AM	239	239			Fee Payment				2014.1305	Demolition of existing commercial office buiding and construction of a new mixed-use (multi-family residential over retail) building.	201607142409	ERECT 14-STORY, 1 BASEMENT, TYPE 1-A, 239 DWELLING UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.	93600000		APARTMENTS	5151	-84347	0			0			89498	0	-89498	0			0	5151	5151	0			AA CONV											(37.7849311829, -122.421913147)
Resident	APN 0697037	1333 GOUGH ST / 1481 POST ST		FALSE	PL FILED	11/13/2013 12:00:00 AM	231	231							2005.0679	The project is the construction of a 30-story 231-unit residential tower in addition to the existing 14-story residential building on the block, and consolidation of all residential parking for both buildings in a new below-ground parking structure for 40						0	0	0			0			0			0			0			0			RCOOPER	Tay Via	Tay Via	415 391 4800	Geary Corridor	RM-4	Residential	RM-4	240-E	5		(37.7857322693, -122.4256057739)
Mixres	APN 3750082	667 FOLSOM ST, 120 & 126 HAWTHORNE ST		TRUE	PL APPROVED	01/05/2017 12:00:00 AM	229	229	34	34					2015-002604PRJ	The proposal entails demolition of 126 Hawthorne Street, a 2 story concrete building and 667 Folsom Street, a 2 story concrete building.  The 19,589 square foot project site comprises three adjoining rectangular lots.  Following demolition, the proposal e						8873	-17041	0			0			21914	0	-21914	4000	0	-4000	0	8873	8873	0			CTOWNES	EQR-Soma II LP, a Delaware limited		4157677188								(37.7842216492, -122.3976287842)
Resident	APN 5087004	2201 BAYSHORE BL		FALSE	PL FILED	02/04/2016 12:00:00 AM	229	229	45	45					2016-001605PRJ	The proposed project consists of three separate building components on two parcels totaling approximately 49,462 square feet. The three building components are as follows: a multi-family residential building totaling 183 units, a series of two-unit townho						0	0	0			0			0			0			0			0			VBYRD	Martin Building Company	Julie Heinzler	415-348-4644								(37.7108078003, -122.4019241333)
Resident	APN 4591C001	HUNTERS POINT SHIPYARD (BP FILED)		TRUE	BP FILED	12/14/2015 12:00:00 AM	225	225						HPS I	2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	MULTIPLE	Multiple Permits				0	0	0			0			0			0			0			0			AA CONV											(37.7298355103, -122.37084198)
Resident	APN 4591C001	HUNTERS POINT SHIPYARD (BP APPROVED)		TRUE	BP APPROVED	09/21/2015 12:00:00 AM	223	223						HPS I	2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	MULTIPLE	Multiple Permits				0	0	0			0			0			0			0			0			AA CONV											(37.7298355103, -122.37084198)
Mixres	APN 3514043	1601 MISSION ST		TRUE	BP APPROVED	05/02/2017 12:00:00 AM	220	220			Fee Payment 				2014.1121	Proposing New Construction of a 120' tall building consisting of 11-stories, containing a total of 200 dwelling units, ground floor retail/commercial space, 103 bicycle parking spaces, 2-car share spaces and 93 off-street parking spaces.	201612165221	ERECT 13 STORIES OF 220 DWELLING MIX USE TYPE 1 CONSTRUCTION.	75000000		APARTMENTS	7097	2668													4429	7097	2668				TCHANG											(37.7720413208, -122.418762207)
