PROJECT_TYPE	APN	NAMEADDR	Alias	BESTDATE	BESTSTAT	Entitlement	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	RET	NET_RET	MIPS	NET_MIPS	PDR	NET_PDR	MED	NET_MED	CIE	NET_CIE	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	SUPE_DISTRICT	HEIGHT_DISTRICT	ZONING	ZONING_DISTRICT	PLANNER	LOCATION
Resident	APN 4937006A	1050 GILMAN AV		12/02/2015	BP FILED	0			201512023975	LEGALIZE EXISTING KITCHEN ON THE GROUND FLOOR. TO LEGALIZE 1 RESIDENTIAL UNIT UNDER UNIT LEGALIZATIO	$8000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/02/2015				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7190448298, -122.389037)
Resident	APN 4224015	1004 MISSISSIPPI ST		03/15/2016	BP APPROVED	-1	2008.0705	Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.	200705010141	ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.	$7000000.00		28	28	3	3	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2007	John Conomos	Bruce Baumann	415-551-7884	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	AHOLLIST	(37.7536194639, -122.394042)
Resident	APN 3833002	1006 / 1050 16TH ST & 1380 07TH ST	POTRERO1010	03/30/2016	CONSTRUCTION	-1	2003.0527	The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th	201112070234	ERECT 6 STORY 393 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	$98068000.00	APARTMENTS	393	393	94	94	26500	26500	0	0	0	0	0	0	0	0	0	0	05/09/2003				South of Market	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	68-X	UMU	URBAN MIXED USE	KDURANDE	(37.7666898720, -122.397182)
Mixres	APN 0346003A	101 HYDE ST		06/27/2013	BP FILED	-1	2012.0086	The existing post office is scheduled for closure.  The proposed development would demolish the existing one-story building (built in 1960) and rebuild ground floor retail with residential units above.	201306270692	ERECT (N) 8-STORY MULTI-RESIDENTIAL & RETAIL BUILDING.	$17000000.00		85	85	10	10	4923	4923	0	0	0	0	0	0	0	0	0	0	08/15/2012	Albert Costa	Albert Costa	415.986.0101	Downtown/Civic Center	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	80-X	C-3-G	DOWNTOWN- GENERAL	KCONNER	(37.7818037359, -122.415897)
Resident	APN 6250036	101 LELAND AV		01/21/2016	CONSTRUCTION	-1	2007.1472	Demolish an existing 1-story 992 sqft cottage and construct a 4-story mixed use building with underground parking for 8 cars.	200705221925	"DEMOLISH 1 STORY OF 1 DEWELLING UNIT. (200705221924)

TO ERECT 4 STORIES, 4 UNITS OF COMMERCIAL / RESIDENTIAL."	$1200000.00	FOOD/BEVERAGE HNDLNG	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/22/2007				Visitacion Valley	Schlage Lock	South Central	SUPERVISORIAL DISTRICT 10	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE		(37.7117660653, -122.405831)
Resident	APN 1273017	1010 STANYAN ST		12/17/2015	BP FILED	0			201512175322	ERECT 4 STORIES OF 4 DWELLING UNIT MULTI FAMILY RES'D. TYPE 5 CONSTRUCTION.	$1250000.00	APARTMENTS	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2015				Haight Ashbury		Buena Vista	SUPERVISORIAL DISTRICT 5	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7652324781, -122.452420)
Resident	APN 4937018	1014 GILMAN AV		10/22/2013	BP ISSUED	-1			201209109355	ERECT 3-STORY, NO BASEMENT, TYPE 5 SINGLE FAMILY DWELLING.	$780000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/10/2012				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7185391968, -122.388233)
Resident	APN 4159004	1016 DE HARO ST		06/22/2015	BP FILED	0			201506229512	CONSTRUCT (N) 2-FAMILY RESENDENTIAL.	$880000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/22/2015				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7568322350, -122.401149)
Resident	APN 4158060	1019 KANSAS ST		10/29/2014	BP FILED	0			201410290258	LEGALIZATION OF (E) UNAUTHORIZED (WITH COOKING FARLURES) 2ND DWELLING UNIT. UNIT LEGALIZATION ORDINA	$6300.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/29/2014				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7567530763, -122.402460)
Resident	APN 1219018	102 BAKER ST		11/25/2014	BP FILED	0			201411252470	COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT &	$50000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/25/2014				Haight Ashbury		Buena Vista	SUPERVISORIAL DISTRICT 5	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7720172859, -122.440249)
Resident	APN 0150054	1020 BROADWAY		03/24/2014	PL APPROVED	-1	2006.1202	Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet i			$3498200.00		6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/03/2007	Steve Kendrick	Brad Brewster	415-896-5900	Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	KCONNER	(37.7972167593, -122.413811)
Retail/Ent	APN 3731095	1025 HOWARD ST		04/24/2015	PL FILED	0	2015-005200PRJ	The proposed project consists of the demolition of an existing building on site and construction of a new 8 story high hotel with a ground floor retail space and below ground parking.			$0.00		0	0	0	0	780	-17220	0	0	0	0	0	0	0	0	71800	71800	04/24/2015		Michael Stanton		South of Market	East SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	65-X	MUG	MIXED USE-GENERAL	DVU	(37.7789480534, -122.407524)
Resident	APN 4224049	1087 MISSISSIPPI ST		10/01/2015	BP REINSTATED	-1			201308295550	CONVERT (E) 2ND FLOOR VACANT LIGHT INDUSTRIAL SPACE INTO RESIDENTIAL UNIT	$600000.00		3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/29/2013	Quickdraw	Quickdraw	552-1888	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	UMU	URBAN MIXED USE	JMARTIN	(37.7529043718, -122.393348)
Mixres	APN 0350002	1028 MARKET ST		04/29/2014	PL FILED	0	2014.0241	The property is currently improved by a vacant two-story structure.  The project would demolish the existing 2-story commercial building and construct a 13-story mixed use building with 12 floors of residential use above ground floor retail, as well as t			$70000000.00	CLUB	186	186	0	0	9657	9657	0	0	0	0	0	0	0	0	0	0	04/29/2014	Sally Maxwell	Sally Maxwell	883-0133	Downtown/Civic Center	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	120-X	C-3-G	DOWNTOWN- GENERAL	DDWYER	(37.7818834810, -122.411323)
Resident	APN 6428007	103 WALBRIDGE ST		01/30/2012	BP REINSTATED	-1			201201242773	ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.	$300000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/24/2012				Crocker Amazon		South Central	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7090593769, -122.423833)
Retail/Ent	APN 0191008A	1030 WASHINGTON ST		11/24/2015	PL FILED	0	2015-006347PRJ	Change of use from existing non-residential use to a new Restaurant.			$0.00		0	0	0	0	450	450	0	0	0	0	0	0	0	-450	0	0	05/20/2015		SACARDUS PROPERTIES LLC	415-812-7648	Nob Hill		Northeast	SUPERVISORIAL DISTRICT 3	65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	ABRASK	(37.7948286179, -122.410298)
Resident	APN 0158010	1032 PACIFIC AV		10/20/2015	BP FILED	-1	2015-015804PRJ		201510200295	ERECT 5 STORY 6 UNITS RESIDENTIAL BUILDING.	$1800000.00	APARTMENTS	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/20/2015				Nob Hill		Northeast	SUPERVISORIAL DISTRICT 3	65-A	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY		(37.7963705567, -122.412263)
Resident	APN 0694003	1033 POLK ST		06/17/2015	PL FILED	0	2014.0914	Build a new 8 story residential mixed-use building to the rear of an existing historic building.  The proposed program is for ground floor and second floor commercial/office space (3,175 sq.ft.) and 6 levels of residential space totaling 7,260 sq.ft. net			$0.00		9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/09/2014				Downtown/Civic Center	Van Ness Corridor	Downtown	SUPERVISORIAL DISTRICT 3	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY		(37.7864341618, -122.420065)
Mixres	APN 3703079	1036 - 1040 MISSION ST		09/11/2015	BP ISSUED	-1	2014.0103	A 9 story mid-rise residential building, housing 83 afforable units ranging from studios (junior one-bedrooms to three bedroom flats. The project also includes common rooms, management offices, laundry, lobby, circulation & supportive service spaces desi	201406269523	TO ERECT 9 STORIES, NO BASEMENT, 83 RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES & RETAIL SPACES.	$30000000.00	APARTMENTS	83	83	83	83	963	963	0	0	0	0	0	0	0	0	0	0	01/16/2014	Nick Griffin	Nick Griffin	415.776.2151	South of Market	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	120-X	C-3-G	DOWNTOWN- GENERAL	KCONNER	(37.7805850084, -122.409786)
Resident	APN 4224018	1036 MISSISSIPPI ST		12/01/2009	BP APPROVED	-1	2007.0713	New construction of two buildings with two units each, total of four units on a vacant lot.	200705010119	TO ERECT A NEW 3 STORY 2 DWELLING UNITS	$800000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2007				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7532771829, -122.394009)
Resident	APN 4108010	1067 TENNESSEE ST		09/08/2010	BP REINSTATED	-1			201006073967	PROPOSE NEW UNDERGROUND GARAGE WITH 3 CAR GARAGE PARKING. PROPOSED HORIZONTAL ADDITION AT 1ST FLOOR	$550000.00	APARTMENTS	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/07/2010				Potrero Hill	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7584373354, -122.388988)
Mixres	APN 0693015	1036 POLK ST		01/29/2016	BP ISSUED	-1	2015-004792PRJ	Proposed division of an existing dwelling unit to create an additional unit.  Requires variances from the rear yard, open space and dwelling unit exposure requirements.	201502138346	CONVERT 2 BEDROOM APARTMENT INTO A STUDIO & ONE BEDROOM APARTMENT, ADD A KITCHEN, BATH AND 2 W/D,REMODEL  KITCHEN AND BATH, MAKE UNIT 302 INTO 302 & 302A; MAHER N/A	$89000.00	APARTMENTS	37	1	0	0	15220	0	0	0	0	0	0	0	0	0	0	0	02/13/2015	Reuben, Junius & Rose LLP		4155679000	Downtown/Civic Center		Downtown	SUPERVISORIAL DISTRICT 6	80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	CGROB	(37.7866015637, -122.419640)
Resident	APN 4219004	1036 WISCONSIN ST		10/06/2009	PL APPROVED	-1	2008.0870	Existing one-story single-family residence at 18-feet tall and 850 sqft with no off-street parking to be demolished. Proposed new 4-story, 2-unit residence at 40-feet tall and 3,765 sqft with 2 off-street parking spaces.			$0.00		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/24/2008	Denise Lindsay			Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	BBOLLING	(37.7541910458, -122.398956)
Resident	APN 5826002	104 BACHE ST		10/03/2014	CONSTRUCTION	-1	2008.0382	Rear yard and parking variance	200706265226	TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG	$135000.00	2 FAMILY	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/26/2007				Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7337909400, -122.417782)
Resident	APN 0181013	1044 JACKSON ST		11/24/2014	BP FILED	0			201411242420	VERTICAL ADDITION OF 2 FLOORS TO CREATE AN ADDITIONAL RESIDENTIAL UNIT.  4 BEDROOMS AND 2 BATHS AND	$350000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/24/2014				Nob Hill		Northeast	SUPERVISORIAL DISTRICT 3	65-A	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7954586092, -122.412286)
Mixres	APN 3617008	1050 VALENCIA ST		02/12/2016	CONSTRUCTION	-1	2007.1457	New Construction of 16-du Res Mixed Use bldg, w/25,000-gsf residential, 2,000-gsf retail, and 2,800 full basement storage, totalling 30,480 with one loading space retained.  Demolition of 1970-constrone-story SPORK restaurant bldg and parking, and replac	201012277437	ERECT 5 STORIES OF 15 DWELLING UNITS, WITH COMMERCIAL,TYPE 5.	$2000000.00		15	15	0	0	3500	1900	0	0	0	0	0	0	0	0	0	0	03/12/2010	Stephen Antonaros	Stephen Antonaros	415.864.2261	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 8	55-X	NCT-VALENCIA	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	JBATTIS	(37.7559439906, -122.421318)
Visitor	APN 3703066	1053 MARKET ST		06/16/2014	PL FILED	0	2014.0408	The proposed project would demolish an existing commercial building and construct a 10-story tourist hotel with 155 rooms with a ground floor retail space.			$23559190.00		0	0	0	0	4000	-12000	0	0	0	0	0	0	0	0	70000	70000	06/16/2014	Michael Stanton	Lisa Zhuo	415-865-9600	South of Market	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	90-X	C-3-G	DOWNTOWN- GENERAL	LYEGAZU	(37.7810079386, -122.411156)
Resident	APN 1269167	1055 ASHBURY ST		03/23/2016	CONSTRUCTION	-1	2013.0771	Construction of a 4 story single family home on empty lot	201307313282	TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.	$0.00		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/31/2013	Derrel My	Chris Fol	577-9885	Haight Ashbury		Buena Vista	SUPERVISORIAL DISTRICT 5	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	CJP	(37.7636922120, -122.446738)
Resident	APN 4224022	1058 MISSISSIPPI ST		12/31/2015	BP FILED	0	2016-000814PRJ		201512316217	TO ERECT 3 STORIES OF 2 FAMILY DWELLING.	$800000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2015				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7530033585, -122.393982)
Vacant	APN 3731023	1060 FOLSOM ST		02/17/2016	BP Filed	0	2016-002535PRJ		201602179843	CHANGE OF USE FROM INDUSTRIAL/WEARHOUSE TO ASSEEMBLY AND SOCIAL SERVICE USE (DBA ALCHEMY) AND REMOVE	$1.00	OFFICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/17/2016				South of Market	East SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	65-X	NCT-SOMA	SOMA NEIGHBORHOOD COMMERCIAL TRANSIT		(37.7775933301, -122.407165)
Resident	APN 4937014	1060 GILMAN AV		11/04/2010	BP REINSTATED	-1			200610245911	ERECT 3 STORIES 1 DWELLING UNIT BLDG.	$450000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/24/2006				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7191086990, -122.389150)
Mixres	APN 0350003	1066 MARKET ST		03/17/2016	PL APPROVED	-1	2013.1753	The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxim	201406128212	TO ERECT 14 STORIES, 2 BASEMENT, 304 RESIDENTIAL & RETAIL BUILDING.	$86400000.00	APARTMENTS	304	304	0	0	4540	-526	0	0	0	0	0	0	0	0	0	0	06/18/2014	Thomas Hart	Thomas Hart	772-7000	Downtown/Civic Center	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	120-X	C-3-G	DOWNTOWN- GENERAL	IWILSON	(37.7817990067, -122.411742)
Mixres	APN 3703062	1075 MARKET ST		11/13/2015	PL APPROVED	-1	2013.1690	The project sponsor proposes to demolish the existing commercial building (former adult entertainment complex) and replace with a new 8-story mixed use (retail and residential) building with approximately 7,500 sf of retail space, 99 units and 24 parking	201405286908		$27000000.00		90	90	0	0	0	-23000	0	0	0	0	0	0	0	0	0	0	02/12/2014	Robert Huggins	Robert Huggins	561-0600	South of Market	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	90-X	C-3-G	DOWNTOWN- GENERAL		(37.7806442145, -122.411615)
MIPS	APN 3726026	1076 HOWARD ST		11/17/2015	PL FILED	0	2015-015152PRJ	Change of use from PDR to Office and a vertical addition of 1 additional story.			$0.00		0	0	0	0	0	0	18671	15580	0	-8781	0	0	0	0	0	0	11/17/2015	Vantage Property Investors		3105456013	South of Market	East SoMa (EN); South of Market	Downtown	SUPERVISORIAL DISTRICT 6	85-X	MUG	MIXED USE-GENERAL	RSUCRE	(37.7786890212, -122.409098)
Resident	APN 4158011	1076 RHODE ISLAND ST		12/12/2014	BP FILED	0			201412123641	ADDITION OF 3RD FL ABOVE 2ND FL (40'x25'), BUSEMENT ADDITION OF (40'X25')REAR ADDITION OF BLDG AND 1	$200000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/12/2014				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7561577623, -122.402056)
Resident	APN 5428D037	108 ORSI CR		07/23/2014	BP FILED	0			201407231943	LEGALIZEING PERVIOUS BUILT W/O PERMIT. CONVERT PATIO GARAGE TO 2ND UNIT. 1 BEDROOM, 1 BATH & KITCHEN	$25000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/23/2014				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	65-J	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7282105051, -122.398218)
Resident	APN 4965029	1083 HOLLISTER AV		11/10/2015	BP FILED	0			201511102331	LEGALIZE GROUND FL KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEALIZATION PROGRAM. LEGALIZE G	$10000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/10/2015				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7193339273, -122.392284)
