PROJECT_TYPE	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	PLN_DESC	PROPUSE	BP_APPLNO	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPH	COST	FirstFiled	PLANNER	APN	PLAN_AREA	PLN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	NEIGHBORHOOD	HEIGHT_DISTRICT	Location
Retail/Ent	1226 09TH AV		BP FILED	04/15/2016	0	2016-005323PRJ	CHANGE OF USE FROM RETAIL-PROFESSIONAL SERVICES (790.108) TO LIMITED RESTAURANT (790.90) (FOUR BARREL COFFEE).	FOOD/BEVERAGE HNDLNG	201604154918	FOR PLANNING REVIEW ONLY.  CHANGE OF USE FROM RETAIL-PROFESSIONAL SERVICES (790.108) TO LIMITED RESTAURANT (790.90). No work performed on this permit.	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1.00	04/15/2016	CCAMPBEL	APN 1742032		Inner Sunset	SUPERVISORIAL DISTRICT 5	NCD	INNER SUNSET NEIGHBORHOOD COMMERCIAL	Mixed Use	Inner Sunset	40-X	(37.76536205120, -122.46607402800)
PDR	1228 25TH ST		PL FILED	10/28/2015	0	2015-005968PRJ	Construction of a new Small Enterprise Workspace building on a lot currently used as container storage.		201510281067	CONSTRUCT(N) 5-STORY COMMERCIAL BUILDING	0	0	0	0			13940	13940	0	0	0	0	0	0	11475	11475	2465	2465	0	0				$0.00	06/24/2005	VBYRD	APN 4227013A	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	PDR-1-G	PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL	Industrial	Potrero Hill	58-X	(37.75293983390, -122.39139724800)
Mixres	1228 FOLSOM ST / 723-725 CLEMENTINA		BP FILED	09/25/2015	0	2014	Three lots merged to construct a new mixed-use occupancy, 6 story building in NCT-Folsom zoning and 4 story in RED-MX zoning, with a basement garage.  Single-family residential R3 occupancy over ground floor commercial B occupancy over basement/private p	APARTMENTS	201509258131	ERECT 5 STORIES OF 24 DWELLING UNIT. MIX USE COMMERCIAL & RESIDENTIAL.	24	24	0	0			1109	-6106	0	0	0	0	0	-7215	0	0	1109	1109	0	0				$6214650.00	09/25/2015	DISALVOJ	APN 3729011	Western SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	NCT	FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	South of Market	65-X	(37.77473164860, -122.41080813900)
Mixres	1200 VAN NESS AV		BP FILED	09/26/2016	0	2015-012577PRJ	The proposed project will be the construction of 130' high, 13-story, 272,796 gsf mixed use (retail/commercial/residential) building with a parking garage for 357 cars in five below grade levels.  The proposed project will have retail which may include a	APARTMENTS	201609299193	"TO ERECT 13 STORIES, 5 BASEMENTS, 95 UNITS RESIDENTIAL, COMMERCIAL, RETAIL & PARKING BUILDING.
** MAHER: N/A **"	135	135	0	0			137749	38046	0	0	0	0	109045	55560	0	0	28704	-17514	0	0				$96500000.00	09/21/2015	VBYRD	APN 0691005	Van Ness Corridor	Downtown	SUPERVISORIAL DISTRICT 3	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	Downtown/Civic Center	130-V	(37.78694360880, -122.42098584100)
Mixres	1201 - 1225 TENNESSEE ST		CONSTRUCTION	09/29/2016	1	2012	Existing commercial structure to be demolished and replacde with 6 story mixed use building including approximately 300 dwelling units and 5,000 square feet of retail.	APARTMENTS	201312234917	ERECT A 6 STORY RESIDENTIAL AND COMMERCIAL BUILDING.	263	263	34	34	On-site BMR Project	Rental	2260	-63076	0	0	0	0	0	0	0	-65336	2260	2260	0	0	Morton Rothman	Jesse Herzog	775-7005	$73394456.00	04/11/2013	CTEAGUE	APN 4172022	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	Potrero Hill	68-X	(37.75592797500, -122.38860297300)
CIE	1201 GENEVA AV		BP FILED	06/13/2016	0	2016-001774PRJ	Legalize existing churches (formerly retail stores) to abate Enforcement Case 2016-001816ENF. No building expansion or facade changes proposed. Sign legalization under separate permit.	CHURCH	201602058959	CHANGE OF USE/OCCUPANCY FROM  EXISTING GROCERY STORY TO CHURCH.	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1000.00	02/05/2016	BERGERCH	APN 6404017		South Central	SUPERVISORIAL DISTRICT 11	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	Mixed Use	Excelsior	40-X	(37.71433687750, -122.43582765000)
PDR	1201 ILLINOIS ST		CONSTRUCTION	07/07/2016	1	2015-007150PRJ	TO ERECT 1 STORY, 1 BASEMENT, 15,705 gross sq. ft. PG&E ELECTRICAL SWITCH STATION. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 IS REQUIRED **	WAREHOUSE,NO FRNITUR	201402138486	"TO ERECT 1 STORY, 1 BASEMENT, ELECTRICAL SWITCH STATION.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 IS REQUIRED **"	0	0	0	0			15708	15705	0	0	0	0	0	0	15708	15705	0	0	0	0				$9500000.00	02/13/2014	DVU	APN 4175007	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	M-2	HEAVY INDUSTRIAL	Industrial	Potrero Hill	65-X	(37.75675711740, -122.38662842500)
Resident	1208 15TH AV		CONSTRUCTION	06/06/2014	1			2 FAMILY DWELLING	200605111391	TO ERECT 2 DWELLING UNIT WITH 3-STORY NEW BUILDING.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$500000.00	05/11/2006	ETOPE	APN 1736033		Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Inner Sunset	40-X	(37.76525058510, -122.47254232400)
Resident	1208 JUNIPERO SERRA BL	PARKMERCED, PHASE I	BP FILED	10/26/2015	1	2014	Phase 1 is comprised of four development subphases: Subphase A through Subphase D. The parcels subject to Phase 1 are shown by subphase on the attached Existing Phase 1 Site Plan diagram and further described by block number and area on page 4 of this ap	APARTMENTS	201510260810	ERECT A 299 RESIDENTIAL 17 STORY TYPE 1-A BUILDING.	299	299	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$61748161.00	10/26/2015	TRANNANC	APN 7326001	Parkmerced	Ingleside	SUPERVISORIAL DISTRICT 7	PM-R	PARKMERCED-RESIDENTIAL	Residential	Lakeshore	65-PM	(37.71602945490, -122.47317010400)
CIE	1209 GENEVA AV		BP FILED	06/13/2016	0	2016-001774PRJ	Legalize existing churches (formerly retail stores) to abate Enforcement Case 2016-001816ENF. No building expansion or facade changes proposed. Sign legalization under separate permit.	CHURCH	201606139830	CHANGE OF USE FROM EXISTING RETAIL STORE TO CHURCH. N/A FOR MAHER ORDINANCE NO. 155-13.	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1.00	06/13/2016	FLORESVE	APN 6404017		South Central	SUPERVISORIAL DISTRICT 11	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	Mixed Use	Excelsior	40-X	(37.71433687750, -122.43582765000)
Resident	1210 UTAH ST		BP ISSUED	09/02/2016	1	2015-014923PRJ	Interior modifications to the ground floor level to create two (2) dwelling units.	APARTMENTS	201608094585	(PER ORDINANCE 30-15) ADD 2 NEW UNITS AT GROUND LEVEL UNDER SOFT STORY SEISMIC PROGRAM APPROVED STRUCTURAL DRAWINGS APP #201608044222	5	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		MIRANDA MARTHA E & MERCANO ROS	4156856099	$113000.00	11/10/2015	ESAMONSK	APN 4212002	Showplace Square/Potrero Hill (EN)	Mission	SUPERVISORIAL DISTRICT 10	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Mission	40-X	(37.75392010220, -122.40572541400)
Resident	123 YUKON ST		BP FILED	11/02/2015	0			2 FAMILY DWELLING	201511021410	CONVERSION OF REAR PORTION OF GARAGE TO STUDIO/ADU W/ FULL BATH & KITCHEN SINK. (N) SLAB ON GRADE & FOUNDATION REPAIR FOR SEISMIC UPGRADE.	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$20000.00	11/02/2015	CLARKECO	APN 2716037		Central	SUPERVISORIAL DISTRICT 8	RH-1(S)	RESIDENTIAL- HOUSE, ONE FAMILY- SECONDARY UNIT	Residential	Castro/Upper Market	40-X	(37.75759614260, -122.44206057500)
Resident	1230 21ST AV		BP FILED	07/31/2015	0	2015-010694PRJ	HORIZONAL ADDITION AT REAR YARD. (E) 3-STORY SINGLE FAMILY HOUSE - CONVERT TO 2-UNIT RESIDENTIAL 3-STORY REAR YARD ADDITION, (2) ROOF DECKS AT (E) UNIT. RENOVATE KITCHEN & BATH, ADD FULL BATH & 1/2 BATH. ADD (N) BEDROOM @ (N) UNIT. (N) KITCHEN, (2)(N) FU	2 FAMILY DWELLING	201507313053	HORIZONAL ADDITION AT REAR YARD. (E) 3-STORY SINGLE FAMILY HOUSE - CONVERT TO 2-UNIT RESIDENTIAL 3-STORY REAR YARD ADDITION, (2) ROOF DECKS AT (E) UNIT. RENOVATE KITCHEN & BATH, ADD FULL BATH & 1/2 BATH. ADD (N) BEDROOM @ (N) UNIT. (N) KITCHEN, (2)(N) FU	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$600000.00	07/31/2015	ALEXANDE	APN 1730037		Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Outer Sunset	40-X	(37.76472512370, -122.47904354400)
Resident	1230 TWIN PEAKS BL		BP APPROVED	05/26/2010	1			1 FAMILY DWELLING	200810224855	VACANT LOT - ERECT A THREE STORY SINGLE FAMILY DWELLING.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1100000.00	10/22/2008	CRAWFORD	APN 2821022		Inner Sunset	SUPERVISORIAL DISTRICT 7	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Twin Peaks	40-X	(37.74643619870, -122.45048851100)
MED	1231 CORTLAND AV		CONSTRUCTION	05/25/2016	1	2015-012518PRJ	CHANGE OF USE FROM RETAIL TO MEDICAL/CHIROPRACTOR	CLINICS-MEDIC/DENTAL	201509177220	CHANGE OF USE FROM RETAIL TO MEDICAL/CHIROPRACTIC	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1.00	09/17/2015	IOMOKARO	APN 5654044		Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bernal Heights	40-X	(37.73997943610, -122.41150836800)
Mixres	1234 GRANT AV		BP FILED	07/09/2015	0	2015-009551PRJ	CHANGE OF USE: (E) 2ND & 3RD FL DINING AREAS CHANGE TO 4 APARTMENT UNITS. (N) GARDEN ROOF DECK.	FOOD/BEVERAGE HNDLNG	201507091099	CHANGE OF USE: (E) 2ND & 3RD FL DINING AREAS CHANGE TO 4 APARTMENT UNITS. (N) GARDEN ROOF DECK.	4	4	0	0			3218	-2910	0	0	0	0	0	-2910	0	0	3218	0	0	0				$120000.00	07/09/2015	CASBAGH	APN 0145044		Northeast	SUPERVISORIAL DISTRICT 3	NCD	NORTH BEACH NEIGHBORHOOD COMMERCIAL	Mixed Use	North Beach	40-X	(37.79864786540, -122.40700243200)
Resident	1236 19TH AV		BP APPROVED	09/07/2016	1	2014	CONVERT SINGLE FAM RESIDENCE INTO 3 UNITS, ADD 3RD FLOOR & REAR YARD ADDITION.	APARTMENTS	201402078043	HORIZ'L & VERT ADDITION. CONVERT SINGLE FAM RESIDENCE INTO 3 UNITS, ADD 3RD FLOOR & REAR YARD ADDITION. EACH UNIT HAS 1 KITCHEN, 2 BATHRMS & 3 BEDRMS, LOWER UNIT HAS ONLY 2 BEDRMS, (NEW 1/F UNIT 1: 2 BEDRM/1 KITCH, UNIT 2 2/F : 3 BEDRM, 2 BATHRM/1 KITCHE	3	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$803500.00	02/07/2014	MBOUDREA	APN 1732037		Inner Sunset	SUPERVISORIAL DISTRICT 4	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	Inner Sunset	40-X	(37.76468243580, -122.47687473200)
Resident	1236 ARGUELLO BL		BP REINSTATED	05/23/2016	1			APARTMENTS	201405236581	VERTICAL & HORIZONTAL ADDITIONS TO EXISTING SINGLE FAMILY BLDG, TO CREATE 3 FAMILY BLDG. NEW WINDOW AND DOORS AND BUILD SYSTEMS.	3	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$650000.00	05/23/2014	BBENDIX	APN 1265019		Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Inner Sunset	40-X	(37.76526818840, -122.45734108100)
Resident	1238 45TH AV		BP FILED	10/09/2015	0			2 FAMILY DWELLING	201510099392	TO ERECT A 3 STORIES OF TWO FAMILY DWELLINGS	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$650000.00	10/09/2015		APN 1706037		Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Outer Sunset	40-X	(37.76345205170, -122.50473704100)
Resident	1281 GREENWICH ST		BP ISSUED	11/12/2015	1			1 FAMILY DWELLING	201410179272	INTERIOR REMODEL & SEISMIC UPGRADE. EXPAND (E) BASEMENT FOR NEW ELEVATOR. NEW PRINCIPLE FACADE.	1	-1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1500000.00	10/17/2014	CGROB	APN 0095024		Northeast	SUPERVISORIAL DISTRICT 2	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	Residential	Russian Hill	40-X	(37.80072388610, -122.42068295600)
Resident	1290 SHAFTER AV		BP FILED	11/20/2015	0			2 FAMILY DWELLING	201511203280	(UNIT LEGALIZATION ORDINANCE 43-14) LEGALIZE G/F KITCHEN TO ADD 1 NEW RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM PER PLAN COMPLY NOV #201569672,NOV#201569112 NOV#201567631	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$5000.00	11/20/2015	YEUNGMIN	APN 4787012A	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bayview	40-X	(37.72791956080, -122.38476288400)
Mixres	1296 SHOTWELL ST		PL FILED	04/04/2016	0	2015-018056PRJ	Demolition of existing 1-story building and construction of new 9 story Multi-Unit Affordable Senior Housing building with 96 units, including 20 units for formerly homeless seniors.				96	96	96	96			850	-10814	0	0	0	0	850	850	0	-11664	0	0	0	0				$0.00	04/04/2016		APN 6571051	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	Mission	65-X	(37.74864031080, -122.41520050200)
Resident	457 WALLER ST		BP ISSUED	01/19/2016	1			1 FAMILY DWELLING	201404012185	REAR BUILDING. ERECT A 3 STORIES, NO BASEMENT, TYPE 5, SINGLE FAMILY DWELLING.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$523000.00	04/01/2014	LAJELLO	APN 0867031	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 5	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	Residential	Western Addition	40-X	(37.77079797290, -122.43115891100)
Resident	1298 FITZGERALD AV	2889 JENNINGS ST	BP FILED	10/10/2014	0	2014	Demolition of an existing 2,190 sq. ft. dwelling and construction of a four-story, 22,803 sq. ft. nine-unit dwelling with ten off-street parking spaces and 1,.975 sf of combined private/common open space.	APARTMENTS	201410108662	CONSTRUCT 4-STORY, 9 DWELLING UNITS BUILDING.	9	9	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1500000.00	10/10/2014	DVU	APN 4913011	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	Bayview	40-X	(37.72212533730, -122.39279638600)
Mixres	1298 HOWARD ST		BP FILED	06/06/2014	0	2014	The proposed project would contain 121 residential units, 10,050 sq.ft. of flex office/retail space.  Also proposed is a pedestrian alley connecting Howard and Natoma Streets.  The design of the project embraces the intent of Western SOMA zoning, respect	APARTMENTS	201406067752	ERECT A FIVE STORY 125 DWELLING UNITS WITH COMMERCIAL. COMPLY W/ ORDINANCE NO. 155-13 REQUIRED.	155	130	34	9			14000	9000	0	0	0	0	12000	12000	0	0	2000	-3000	0	0	John Kevlin	John Kevlin	415.567.9000	$34000000.00	12/31/2013	DVU	APN 3728019	Western SoMa (EN); South of Market	Downtown	SUPERVISORIAL DISTRICT 6	RED-MX	RESIDENTIAL ENCLAVE-MIXED	Mixed Use	South of Market	45-X	(37.77562857860, -122.41277867700)
Resident	13 LUCKY ST		BP FILED	03/21/2013	0			1 FAMILY DWELLING	201303212751	ERECT 3-STORY, TYPE 5, SINGLE FAMILY RESIDENCE.	1	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$322873.00	03/21/2013	DSANCHEZ	APN 6521004	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Mission	40-X	(37.75223594820, -122.41325780200)
Resident	1300 04TH ST		BP ISSUED	01/22/2016	1			APARTMENTS	201507272485	CONSTRUCT (N) RESIDENTIAL APARTMENTS, RESIDENTIAL SUPPORT SPACES, RETAIL & RESTAURANT SHELL SPACE	143	143	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$48657306.00	07/27/2015		APN 8711021	Mission Bay	South of Market	SUPERVISORIAL DISTRICT 6	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	Mixed Use	South of Market	MB-RA	(37.77140196040, -122.39177164900)
PDR	1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 1 OF 2)	1314 FITZGERALD AV	BP APPROVED	06/29/2016	1	2014	Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.	WAREHOUSE, FURNITURE	201409166483	ERECT 1-STORY, TYPE 5, WAREHOUSE BUILDING.	0	0	0	0			28200	1030	0	0	0	0	0	0	28200	1030	0	0	0	0				$2180000.00	06/20/2014	RSUCRE	APN 4912001	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	Industrial	Bayview	40-X	(37.72256883240, -122.39298550000)
Resident	1601 - 1677 MARIPOSA ST / 485 CAROLINA (BLDG 1 OF 2)	1601 MARIPOSA ST	BP ISSUED	09/12/2016	1	2012	The proposed project would involve demolition of an existing 1-story industrial buildings and  bus repair shop and the construction of a new mixed-use project with 316 dwelling-units, 8,823 sf ft. of commercial space, and 261 off-street parking spaces.	APARTMENTS	201603031058	"TO ERECT 4 STORIES, NO BASEMENT, 145 UNITS RESIDENTIAL & COMMERCIAL BUILDING.
** MAHER: EXEMPTED; SEE APPROVAL LETTER FROM DPH ON THE PLANS **"	145	145	0	0	On-site BMR Project	Rental	0	0	0	0	0	0	0	0	0	0	0	0	0	0				$40000000.00	11/02/2012	CTOWNES	APN 4006006	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	Potrero Hill	40-X	(37.76323623990, -122.39976097500)
