PROJECT_TYPE	BLKLOT	NAMEADDR	Entitled	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLENET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANTNET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM_PROP	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	supervisor	PLAN_DISTRICT	PLAN_AREA	Location 1
Mixres	3506004	10 SOUTH VAN NESS AV	No	PL FILED	04/11/2016 12:00:00 AM	855	855						2015-004568PRJ	New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, with		28100	-71900	0			0			0			0			100000	28100	-71900		0	0						VBYRD				South of Market	C-3-G	Commercial	C-3-G	6	8 - Mission	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	(37.7742576599, -122.4194869995)
Mixres	3725093	5M	Yes	PL APPROVED	01/04/2016 12:00:00 AM	688	688	58	58	On-site BMR Project; Land Dedication	90% AMI; 	Ownership	2011.0409	Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.		617900	574800	0	17300	-23600	0			0	593500	591300	0			0	7100	7100		0	0						KGUY				South of Market	C-3-S	Commercial	C-3-S	6	4 - Downtown	Downtown	(37.7821540833, -122.4066009521)
Resident	4591C001	CANDLESTICK POINT (BP FILED)	Yes	BP FILED	10/27/2015 12:00:00 AM	662	662						2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	Multiple Permits	0	0	0			0			0			0			0				0	0						AA CONV				Bayview	HP-RA	Mixed Use	HP-RA	10	10 - South Bayshore	Hunters Point Shipyard	(37.7298355103, -122.37084198)
Resident	4591C001	HUNTERS POINT SHIPYARD	Yes	PL APPROVED	10/09/2014 12:00:00 AM	634	634						2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	Multiple Permits	0	0	0			0			0			0			0				0	0						AA CONV				Bayview	HP-RA	Mixed Use	HP-RA	10	10 - South Bayshore	Hunters Point Shipyard	(37.7298355103, -122.37084198)
Mixres	3505001	1601 - 1637 MARKET ST / 53 COLTON ST	Yes	PL Approved	10/20/2017 12:00:00 AM	584	584	107	107				2015-005848PRJ	"The proposed project is redevelopment of site for a mixed-use, mixed-income project, including a supportive affordable housing building. New units include 107 affordable, supportive housing efficiency units. ""Other"" use is the Local 38 Plumbers Union hall"		36571	36571	0			0			0	27296	27296	0			0	9275	9275		0	0						VBYRD	Strada Brady, LLC		4152724387	South of Market	NCT-3	Mixed Use	NCT-3	6	8 - Mission	Market and Octavia; Market Octavia Living Alleys; The Market Street Hub Project	(37.773891449, -122.4200286865)
Resident	1032003	3333 CALIFORNIA ST	No	PL FILED	10/07/2016 12:00:00 AM	558	558						2015-014028PRJ	Demolish annex building and surface parking lots, reuse existing office building as residential with ground floor commercial uses, construct three (3) 45 foot tall residential and retail mixed-use buildings, construct a 30-45 foot tall office building, an		0	0	0			0			0			0			0				0	0						BBENDIX	Prado Group, Inc.		4153950880	Presidio Heights	RM-1	Residential	RM-1	2	1 - Richmond		(37.7860984802, -122.448387146)
Mixres	3737012	TRANSBAY BLOCK 8	Yes	CONSTRUCTION	10/25/2017 12:00:00 AM	546	546	150	150		50% AMI; 	Rental			"TO ERECT 56 STORIES TOWER, 2.5 BASEMENT, 9 STORIES ELEMENT HIGH RISE bUILDING, WITH 546 UNITS RESIDENTIAL, RETAIL & PARKING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIED; ROUTE TO DPH **"	0	0	0			0			0			0			0					0						MSMALL				Financial District	TB DTR	Residential	TB DTR	6	9 - South of Market	Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay	(37.7878990173, -122.3945922852)
Resident	3736120	TRANSBAY BLOCK 9	Yes	CONSTRUCTION	10/24/2017 12:00:00 AM	545	545	109	109		50% AMI; 	Rental			TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT WITH COMMERCIAL MIXED USE BUILDING.	0	0	0			0			0			0			0				0	0										Financial District	TB DTR	Residential	TB DTR	6	9 - South of Market	Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay	(37.7872047424, -122.3951034546)
Mixres	3506002	1500 - 1580 MISSION ST	Yes	BP ISSUED	10/03/2017 01:24:00 PM	540	540	110	110		50% AMI; 	Rental	2014-000362PRJ	The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residential	TO ERECT 16 STORIES, 2 BASEMENT, OFFICE BUILDING & 39 STORIES, 2 BASEMENT, 540 RESIDENTIAL UNITS BUILDING. BOTH BUILDINGS ARE OVER A SHARED TWO LEVEL SUBTERRANEAN BASEMENT PARKING GARAGE. (R-2,B,A-3,I-4,S-2)	605300	518318	0			0			14991	567300	552309	57000	0	-57000	14991	38000	23009		0	0						KGUY	Related California Urban Housing		415-677-9000	South of Market	C-3-G	Commercial	C-3-G	6	8 - Mission	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	(37.7743339539, -122.4179992676)
Mixres	3702308	TRINITY PLAZA	Yes	BP ISSUED	10/24/2016 02:16:00 PM	501	501	74	74	On-site BMR Project 		Rental	2002.1179	The proposed project is to demolish the existing 263,602gsf, 377 unit apartment complex and construction of a 1,500,000gsf three connected residential buildings over a 2-story podium, containing about 1,410 dwelling units, 20,000gsf of ground-floor retail	TO ERECT 18 STORIES, 6 BASEMENTS, 501 UNITS RESIDENTIAL, RETAIL WITH PARKING BUILDING.	30000	30000	0			0			0			0			0	30000	30000		0	0						TCHANG				South of Market	C-3-G	Commercial	C-3-G	6	4 - Downtown	Downtown	(37.7784423828, -122.413482666)
Mixres	3787026	655 04TH ST	No	PL FILED	05/17/2016 12:00:00 AM	449	449						2014-000203PRJ	Demolition of existing structures.  New project will provide 2 below grade levels of parking with +/-100 stalls, +/-10,000 sq.ft. of retail at the ground floor and residential units above.  The residential component will include a tower sitting on an 85 f		40000	-20000	0			0			0			0			60000	40000	-20000		0	0						VBYRD	655 4th Property Holder, LP	Tishman Speyer	295-4501	South of Market	SLI	Industrial	SLI	6	9 - South of Market	East SoMa (EN); Central SoMa	(37.7777175903, -122.3952484131)
Mixres	3783001	801 BRANNAN ST	Yes	CONSTRUCTION	10/31/2017 12:00:00 AM	434	434	55	55	On-site BMR Project 		Rental	2012.0700	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,0	"TO ERECT 6 STORIES, NO BASEMENT, 434 DWELLING UNITS, TYPE 1A & 3A, RESIDENTIAL/RETAIL/PARKING BUILDING. 
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	31420	-133129	0			0			0			164549	0	-164549	0	31420	31420			0						JKUGLER	Bay West	Robert Me	415 788-2	South of Market	UMU	Mixed Use	UMU	6	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.7718238831, -122.4038848877)
Mixres	0814001	150 VAN NESS AV	Yes	CONSTRUCTION	10/31/2017 12:00:00 AM	431	431	50	50	On-site BMR Project 	55% AMI; 	Rental	2013.0973	The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the 	ERECT 13 STORIES ,431 DWELLING UNITS.	9000	-127558	0			0			0	0	-136558	0			0	9000	9000			0						GMOSQUER	Marc Babsin	Marc Babsin	415-489-1313	Downtown/Civic Center	C-3-G	Commercial	C-3-G	6	4 - Downtown	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project; Civic Center Public Realm Plan	(37.7773017883, -122.418296814)
Resident	1517022	562 28TH AV	No	PL FILED	06/07/2016 12:00:00 AM	6	5						2015-015199PRJ	Proposed demolition of (E) 3-bedroom 2-bath SFH and construction of (N) 6-unit family dwelling.		0	0	0			0			0			0			0				0	0						SCISNERO	Stephen Antonaros Architect	Stephen Antonaros	4158642261	Outer Richmond	RM-1	Residential	RM-1	1	1 - Richmond		(37.7787361145, -122.4875259399)
Mixres	3505010	30 OTIS ST	No	BP Filed	11/28/2016 12:00:00 AM	418	418						2015-010013PRJ	The proposed project consist of demolition of the existing buildings and construction of a new 250-foot tall, 27-story mixed use building with 406 dwelling units, 12,130 sf of commercial space to be used by the City Ballet School, 7,843 square feet of gro	TO ERECT 27 STORIES, 2 BASEMENT, 404 RESIDNETIAL UNITS, REATIL, BALLET SCHOOL & COMMERCIAL.	18263	-31737		13125	3125			0		0	-15000		0	-15000		5138	-4862		0			0					Reuben, Junius and Rose, LLP		4155679000	South of Market	C-3-G	Commercial	C-3-G	6	8 - Mission	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	(37.7732086182, -122.419342041)
Mixres	3505016	30 OTIS ST	No	BP FILED	11/28/2016 12:00:00 AM	404	404						2015-010013PRJ	"The proposed project consist of demolition of the existing buildings and construction of a new approximately 250-foot tall mixed use building (the ""Project"").  The Project will feature 354 dwelling units on the top of 26 floors of the building.  Approxima"	TO ERECT 27 STORIES, 2 BASEMENT, 404 RESIDNETIAL UNITS, REATIL, BALLET SCHOOL & COMMERCIAL.	18263	-31737	0	13125	3125	0			0	0	-15000	0	0	-15000	10000	5138	-4862		0	0						TCHANG	Reuben, Junius and Rose, LLP		4155679000	South of Market	C-3-G	Commercial	C-3-G	6	8 - Mission	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	(37.7729187012, -122.4193954468)
Resident	3736074	41 TEHAMA ST	Yes	CONSTRUCTION	10/30/2017 12:00:00 AM	403	403	49	49	On-site BMR Project 	90% AMI; 	Ownership	2013.0256	The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet pa	TO ERECT 35 STORIES, 3 BASEMENT, 403 RESIDENTIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,M,H-3,S-2)	0	0	0			0			0			0			0					0						KGUY	Nancy Clark	Nancy Clark	415-536-2883	Financial District	C-3-O(SD)	Commercial	C-3-O(SD)	6	9 - South of Market	Downtown; Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay	(37.7869796753, -122.3966217041)
Mixres	0331016	231 ELLIS ST	No	PL FILED	01/24/2006 12:00:00 AM	400	400	400	400				2002.1077	The proposed project involves the demolition of seven buildings containing a mixture of commercial, residential and retail uses totaling about 105,000gsf and construction of a 735,000gsf affordable housing complex containing 11,000gsf of office space, 11,		22000	22000		0	0		0	0		11000	11000		0	0		11000	11000				0	0				TBLOMGRE	Glide Eco	Glide Eco	415 923 4	Downtown/Civic Center	RC-4	Mixed Use	RC-4	6	4 - Downtown		(37.7848815918, -122.4102554321)
Mixres	3949001	901 16TH ST	Yes	PL APPROVED	05/12/2016 12:00:00 AM	395	395	42	42	On-site BMR Project; Fee Payment		Rental 	2011.1300	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street; 		24468	-85032	0			0			0	0	-4500	0	0	-105000	0	24468	24468			0						WWIETGRE	Attn: Indrajit Obeysekere	Jay Murphy	415-833-1231	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.7661247253, -122.3954696655)
Resident	4591C001	CANDLESTICK POINT (BP ISSUED)	Yes	BP FILED	10/27/2015 12:00:00 AM	393	393						2013.0196	Hunters Point Shipyard Phase 1 D4D amendments and associated review of buildings within Phase I	Multiple Permits	0	0	0			0			0			0			0				0	0						AA CONV				Bayview	HP-RA	Mixed Use	HP-RA	10	10 - South Bayshore	Hunters Point Shipyard	(37.7298355103, -122.37084198)
Mixres	3740030	TRANSBAY BLOCK 1	Yes	CONSTRUCTION	09/27/2017 12:00:00 AM	390	390	156	156		100% AMI; 120% AMI; 	Ownership			TO ERECT 40 STORIES, 2 BASEMENTS, 390 UNITS RESIDENTIAL & RETAIL BUILDING.	0	0	0			0			0			0			0				0	0										Financial District	TB DTR	Residential	TB DTR	6	9 - South of Market	Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay	(37.7897377014, -122.3917541504)
Mixres	3755023	1144 - 1150 HARRISON ST	No	PL FILED	12/02/2016 12:00:00 AM	381	381						2016-001738PRJ	Demolition of a 2-story, 76,345 sf brick masonry building occupied by German Motors Collision Center and construction of a 65' tall mixed-use development with 3,000 sf ground floor retail, 381 residential units, 30,580 sf open space, 404 bicycle parking s		3000	-72625										75625	0	-75625	0	3000	3000		0								1140 Harrison Associates, LP		9254902990	South of Market	WMUG	Mixed Use	WMUG	6	9 - South of Market	Western SoMa (EN)	(37.7749824524, -122.4078445435)
Mixres	3763001	400 - 416 02ND ST	No	PL FILED	04/29/2016 12:00:00 AM	377	377						2012.1384	Demolition of existing 1-to-4 story buildings and construction of 3 new buildings.		819400	672928	0			0			0	535000	421516	0	32988	0	0	47412	47412		0	0	204000	204000	0	501	501	AA CONV				South of Market	SSO	Commercial	SSO	6	9 - South of Market	East SoMa (EN); Central SoMa	(37.7838973999, -122.3952331543)
Mixres	3786014	330 TOWNSEND ST	No	PL FILED		374	374						2016-009102PRJ	Demo existing 2 story & partial basement Office Building. Construct new mixed-use retail and residential building 31 stories tall and approximately 300 feet in height. The proposed project includes 374 dwelling units, 11,500 square feet of retail space, a		11500	11500													0	11500	11500													South of Market	WMUO	Mixed Use	WMUO	6	9 - South of Market	Western SoMa (EN); Central SoMa	(37.77684021, -122.3960800171)
Mixres	3721013	524 HOWARD ST	Yes	PL APPROVED	12/07/2015 12:00:00 AM	334	334	50	50	On-site BMR Project 	55% AMI; 	Rental	2013.0882	The proposed project is to replace the existing surface parking lot at 524 Howard Street (Block 3721, Lot 013) with a 48-story, 495-foot tall residential tower with 300,052 square feet of residential uses over 1,470 square feet of ground floor retail uses		7800	7800													0	7800	7800		0							AA CONV				Financial District	C-3-O(SD)	Commercial	C-3-O(SD)	6	4 - Downtown	Downtown; Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan; Transbay	(37.7882232666, -122.3970184326)
Resident	0317007	450 OFARRELL ST	No	PL FILED	03/04/2016 12:00:00 AM	184	184						2013.1535	"Fifth Church of Christ Scientist plans to demolish its existing facility and build a new church on the site.  In addition, the project includes housing.  The proposed project includes a blend of ""group occupancy"" and dwelling units.  Other uses include re"		0	0	0			0			0			0			0				0	0						AA CONV				Downtown/Civic Center	RC-4	Mixed Use	RC-4	6	4 - Downtown		(37.7861442566, -122.4124069214)
Mixres	3553052	1979 MISSION ST	No	BP FILED	12/17/2013 12:00:00 AM	331	331	40	40				2013.1543	Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements 	ERECT 10-STORY MIXED-USE NEW BUILDING.	34198	-2558	0			0			0			0			36756	34198	-2558			0						DVU				Mission	NCT	Mixed Use	NCT-MISSION	9	8 - Mission	Mission (EN); Mission District Streetscape Plan; Mission Public Life Plan	(37.7655830383, -122.4191207886)
Mixres	3735012	95 HAWTHORNE ST	No	PL FILED	09/28/2016 12:00:00 AM	330	330						2016-001794PRJ	The project proposes to demolish the existing non-historic office building and construct a new 32 story above ground building featuring residential units and amenities above approximately 8,000 square feet of ground floor retail. The Project proposes 330 		4026	-80349			0			0		0	-84375			0		4026	4026		0			0				VBYRD	Trammell Crow Residential		4153813001	Financial District	C-3-O(SD)	Commercial	C-3-O(SD)	6	9 - South of Market	Downtown; Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan	(37.7850494385, -122.397895813)
Resident	4105009	800 INDIANA ST	Yes	CONSTRUCTION	10/31/2017 12:00:00 AM	326	326	0	0	Fee Payment 			2011.1374	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage. 	"TO ERECT 5 STORIES, 1 BASEMENT, 326 DWELLING UNITS RESIDENTIAL, PARKING, ACCESSORY USES BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	0	-74847	0			0			0			74847	0	-74847	0					0						RSUCRE	Lou Vasquez	Joe Kirchofer	415-284-9080	Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7591972351, -122.3917312622)
Mixres	0350003	1066 MARKET ST	Yes	PL APPROVED	03/17/2016 12:00:00 AM	304	304	85	85	BMR	TBD		2013.1753	The proposed project is the demolition of existing 2-story commercial building and parking lot and new construction of a 14-story building to house approximately up to 330 residential units, approximately 1,885 sq.ft. of retail on Market Street, approxima	TO ERECT 14 STORIES, 2 BASEMENT, 304 RESIDENTIAL & RETAIL BUILDING.	4540	-526	0			0			0			0			0	4540	-526			0						IWILSON	Thomas Hart	Thomas Hart	772-7000	Downtown/Civic Center	C-3-G	Commercial	C-3-G	6	4 - Downtown	Downtown; Civic Center Public Realm Plan	(37.7817993164, -122.4117431641)
Mixres	0836002	1500 MARKET ST	No	BP FILED	03/17/2016 12:00:00 AM	300	300						2009.0159	Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial buildi	ERECT 40 STORIES OF 300 DWELLING UNIT MIX USE TYPE ONE CONTRATION.	3120	-46005								0	-48225					3120	2220		0							TCHANG	Richard Johnson	Andrew Junius	415 567 9000	Downtown/Civic Center	C-3-G	Commercial	C-3-G	5	6 - Buena Vista	Market and Octavia; Market Octavia Living Alleys; Downtown; The Market Street Hub Project	(37.7752151489, -122.4196090698)
Mixres	3701021	1270 MISSION ST	Yes	BP FILED	11/30/2016 12:00:00 AM	299	299	64	64	On-site BMR Project 	55% AMI; 90% AMI; 	Rental	2014.0926	The proposal includes the demolition of a one-story, 1,192 sq.ft. building currently being operated as a pizza shop and surface parking lot on the project site and construction of an approximately 120 foot tall, 13 story mixed-use building containing 199 	ERECT 20 STORIES, TYPE I CONSTRUCTION, 299 DWELLING UNIT MIX USE RESIDENTAILA/COMMERCIAL.	2012	820	0			0			0			0			1192	2012	820		0	0						AA CONV				South of Market	C-3-G	Commercial	C-3-G	6	4 - Downtown	Downtown	(37.7768058777, -122.4145202637)
Mixres	3786035	636 - 648 04TH ST	No	PL FILED	09/16/2015 12:00:00 AM	271	271						2015-003880PRJ	Demolish two existing one and two story commercial buildings and general advertising billboard.  Construct 350 foot tall primarily residential tower with 427 units and ground floor commercial space.  The project would provide 119 parking spaces, and 3,165		4450	-9940	0			0			5000	0	-5000	0			9390	4450	-4940		0	0						VBYRD	Solbach Property Group		4156377373	South of Market	MUO	Mixed Use	MUO	6	9 - South of Market	East SoMa (EN); Central SoMa	(37.7777290344, -122.3962402344)
Resident	4167013	1395 22ND ST	Yes	BP ISSUED	05/18/2017 02:03:00 PM	256	256								"TO ERECT 8 STORIES, 1 BASEMENT, 256 RESIDNETIAL, INDUSTRIAL BUILDING. 
(R-2,A-3,F-1,S-2)
** MAHER: N/A **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0				RSUCRE				Potrero Hill	UMU	Mixed Use	UMU	10	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.7569770813, -122.394744873)
Mixres	0342001	950 - 974 MARKET ST	Yes	BP APPROVED	04/19/2017 02:02:00 PM	242	242	0	0	Land Dedication 			2013.1049	The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxima	AT BLOCK 0342, LOT 001 & 014. ERECT 12-STORY, TYPE 1, 2 BASEMENT, 470 UNITS, CONDO, HOTEL, RETAIL BUILDING.	229000	169834	0			0			0	24000	24000	0			0	15000	-6321			0	190000	152155	0	232	232	MHUE	Michelle  Lin	Michelle  Lin	394-9018	Downtown/Civic Center	C-3-G	Commercial	C-3-G	6	4 - Downtown	Downtown	(37.7831764221, -122.4095687866)
